{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.9907299878698042, 'speedup_best_over_ref': 0.9907299878698042, 'xsmm_custom_avg': 3.0942066666666665, 'xsmm_custom_best': 3.0942066666666665, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 3.0655233333333336, 'xsmm_reference_best': 3.0655233333333336, 'xsmm_reference_cpu_freq': 2.9999, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.9802332595092619, 'speedup_best_over_ref': 0.9802332595092619, 'xsmm_custom_avg': 1.4478866666666665, 'xsmm_custom_best': 1.4478866666666665, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.4192666666666667, 'xsmm_reference_best': 1.4192666666666667, 'xsmm_reference_cpu_freq': 2.999894, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.9707196973487996, 'speedup_best_over_ref': 0.9707196973487996, 'xsmm_custom_avg': 3.3305666666666665, 'xsmm_custom_best': 3.3305666666666665, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 3.2330466666666666, 'xsmm_reference_best': 3.2330466666666666, 'xsmm_reference_cpu_freq': 2.999963, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.9716477223188432, 'speedup_best_over_ref': 0.9716477223188432, 'xsmm_custom_avg': 1.4527933333333334, 'xsmm_custom_best': 1.4527933333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.4116033333333333, 'xsmm_reference_best': 1.4116033333333333, 'xsmm_reference_cpu_freq': 2.9999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.9839569171467714, 'speedup_best_over_ref': 0.9839569171467714, 'xsmm_custom_avg': 3.0681966666666667, 'xsmm_custom_best': 3.0681966666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 3.0189733333333333, 'xsmm_reference_best': 3.0189733333333333, 'xsmm_reference_cpu_freq': 2.999893, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.9855089614628467, 'speedup_best_over_ref': 0.9855089614628467, 'xsmm_custom_avg': 6.9854666666666665, 'xsmm_custom_best': 6.9854666666666665, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 6.88424, 'xsmm_reference_best': 6.88424, 'xsmm_reference_cpu_freq': 2.99986, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 105600, 'speedup_avg_over_ref': 1.1324276450683919, 'speedup_best_over_ref': 1.1324276450683919, 'xsmm_custom_avg': 8.599966666666665, 'xsmm_custom_best': 8.599966666666665, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 9.73884, 'xsmm_reference_best': 9.73884, 'xsmm_reference_cpu_freq': 2.999988, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 105600, 'speedup_avg_over_ref': 1.044530393126764, 'speedup_best_over_ref': 1.044530393126764, 'xsmm_custom_avg': 14.821936666666668, 'xsmm_custom_best': 14.821936666666668, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 15.481963333333333, 'xsmm_reference_best': 15.481963333333333, 'xsmm_reference_cpu_freq': 2.999929, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 105600, 'speedup_avg_over_ref': 1.153678433940817, 'speedup_best_over_ref': 1.153678433940817, 'xsmm_custom_avg': 12.072936666666665, 'xsmm_custom_best': 12.072936666666665, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 13.928286666666667, 'xsmm_reference_best': 13.928286666666667, 'xsmm_reference_cpu_freq': 2.999935, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.9954482162987135, 'speedup_best_over_ref': 0.9954482162987135, 'xsmm_custom_avg': 10.937836666666668, 'xsmm_custom_best': 10.937836666666668, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 10.88805, 'xsmm_reference_best': 10.88805, 'xsmm_reference_cpu_freq': 2.999933, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.9528069163471782, 'speedup_best_over_ref': 0.9528069163471782, 'xsmm_custom_avg': 7.749370000000001, 'xsmm_custom_best': 7.749370000000001, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 7.383653333333333, 'xsmm_reference_best': 7.383653333333333, 'xsmm_reference_cpu_freq': 2.999915, 'xsmm_reference_kernel_type': 'wide-sparse'}
