{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.9994181654237949, 'speedup_best_over_ref': 0.9994181654237949, 'xsmm_custom_avg': 10.942400000000001, 'xsmm_custom_best': 10.942400000000001, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 10.936033333333334, 'xsmm_reference_best': 10.936033333333334, 'xsmm_reference_cpu_freq': 2.49997, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.9733483338510751, 'speedup_best_over_ref': 0.9733483338510751, 'xsmm_custom_avg': 19.851166666666664, 'xsmm_custom_best': 19.851166666666664, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 19.3221, 'xsmm_reference_best': 19.3221, 'xsmm_reference_cpu_freq': 2.499975, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.98034122535462, 'speedup_best_over_ref': 0.98034122535462, 'xsmm_custom_avg': 30.708933333333334, 'xsmm_custom_best': 30.708933333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 30.105233333333334, 'xsmm_reference_best': 30.105233333333334, 'xsmm_reference_cpu_freq': 2.499951, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 81600, 'speedup_avg_over_ref': 1.0099017691857377, 'speedup_best_over_ref': 1.0099017691857377, 'xsmm_custom_avg': 49.13936666666667, 'xsmm_custom_best': 49.13936666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 49.625933333333336, 'xsmm_reference_best': 49.625933333333336, 'xsmm_reference_cpu_freq': 2.499984, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 81600, 'speedup_avg_over_ref': 1.078682107214666, 'speedup_best_over_ref': 1.078682107214666, 'xsmm_custom_avg': 89.9709, 'xsmm_custom_best': 89.9709, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 97.05, 'xsmm_reference_best': 97.05, 'xsmm_reference_cpu_freq': 2.499972, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.9703675016522462, 'speedup_best_over_ref': 0.9703675016522462, 'xsmm_custom_avg': 180.66313333333335, 'xsmm_custom_best': 180.66313333333335, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 175.30963333333332, 'xsmm_reference_best': 175.30963333333332, 'xsmm_reference_cpu_freq': 2.499946, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.9909161963175543, 'speedup_best_over_ref': 0.9909161963175543, 'xsmm_custom_avg': 11.173733333333333, 'xsmm_custom_best': 11.173733333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 11.072233333333333, 'xsmm_reference_best': 11.072233333333333, 'xsmm_reference_cpu_freq': 2.499973, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 81600, 'speedup_avg_over_ref': 1.0007914847161572, 'speedup_best_over_ref': 1.0007914847161572, 'xsmm_custom_avg': 19.541333333333334, 'xsmm_custom_best': 19.541333333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 19.5568, 'xsmm_reference_best': 19.5568, 'xsmm_reference_cpu_freq': 2.499928, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.9159274407594397, 'speedup_best_over_ref': 0.9159274407594397, 'xsmm_custom_avg': 31.7111, 'xsmm_custom_best': 31.7111, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 29.045066666666667, 'xsmm_reference_best': 29.045066666666667, 'xsmm_reference_cpu_freq': 2.499892, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 81600, 'speedup_avg_over_ref': 1.0346528790549891, 'speedup_best_over_ref': 1.0346528790549891, 'xsmm_custom_avg': 49.25516666666667, 'xsmm_custom_best': 49.25516666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 50.962, 'xsmm_reference_best': 50.962, 'xsmm_reference_cpu_freq': 2.499906, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.9918735306434923, 'speedup_best_over_ref': 0.9918735306434923, 'xsmm_custom_avg': 90.26060000000001, 'xsmm_custom_best': 90.26060000000001, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 89.5271, 'xsmm_reference_best': 89.5271, 'xsmm_reference_cpu_freq': 2.499912, 'xsmm_reference_kernel_type': 'sparse'}
