{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.9954152946254216, 'speedup_best_over_ref': 0.9954152946254216, 'xsmm_custom_avg': 11.043966666666666, 'xsmm_custom_best': 11.043966666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 10.993333333333334, 'xsmm_reference_best': 10.993333333333334, 'xsmm_reference_cpu_freq': 2.499904, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.9818056947092855, 'speedup_best_over_ref': 0.9818056947092855, 'xsmm_custom_avg': 20.627333333333333, 'xsmm_custom_best': 20.627333333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 20.252033333333333, 'xsmm_reference_best': 20.252033333333333, 'xsmm_reference_cpu_freq': 2.49994, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.9777505948663199, 'speedup_best_over_ref': 0.9777505948663199, 'xsmm_custom_avg': 30.847266666666666, 'xsmm_custom_best': 30.847266666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 30.160933333333332, 'xsmm_reference_best': 30.160933333333332, 'xsmm_reference_cpu_freq': 2.499933, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 81600, 'speedup_avg_over_ref': 1.0065069446269523, 'speedup_best_over_ref': 1.0065069446269523, 'xsmm_custom_avg': 49.4651, 'xsmm_custom_best': 49.4651, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 49.786966666666665, 'xsmm_reference_best': 49.786966666666665, 'xsmm_reference_cpu_freq': 2.499936, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 81600, 'speedup_avg_over_ref': 1.0789968003428732, 'speedup_best_over_ref': 1.0789968003428732, 'xsmm_custom_avg': 90.218, 'xsmm_custom_best': 90.218, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 97.34493333333333, 'xsmm_reference_best': 97.34493333333333, 'xsmm_reference_cpu_freq': 2.499955, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.969959891168492, 'speedup_best_over_ref': 0.969959891168492, 'xsmm_custom_avg': 180.65846666666667, 'xsmm_custom_best': 180.65846666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 175.23146666666665, 'xsmm_reference_best': 175.23146666666665, 'xsmm_reference_cpu_freq': 2.499979, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.9882249373729735, 'speedup_best_over_ref': 0.9882249373729735, 'xsmm_custom_avg': 11.283733333333334, 'xsmm_custom_best': 11.283733333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 11.150866666666667, 'xsmm_reference_best': 11.150866666666667, 'xsmm_reference_cpu_freq': 2.499969, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.9943484493429128, 'speedup_best_over_ref': 0.9943484493429128, 'xsmm_custom_avg': 19.4165, 'xsmm_custom_best': 19.4165, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 19.306766666666665, 'xsmm_reference_best': 19.306766666666665, 'xsmm_reference_cpu_freq': 2.499942, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.9212582961857078, 'speedup_best_over_ref': 0.9212582961857078, 'xsmm_custom_avg': 31.570733333333333, 'xsmm_custom_best': 31.570733333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 29.084799999999998, 'xsmm_reference_best': 29.084799999999998, 'xsmm_reference_cpu_freq': 2.499938, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 81600, 'speedup_avg_over_ref': 1.0371602379387628, 'speedup_best_over_ref': 1.0371602379387628, 'xsmm_custom_avg': 49.4525, 'xsmm_custom_best': 49.4525, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 51.290166666666664, 'xsmm_reference_best': 51.290166666666664, 'xsmm_reference_cpu_freq': 2.499934, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.993174485624634, 'speedup_best_over_ref': 0.993174485624634, 'xsmm_custom_avg': 90.38146666666667, 'xsmm_custom_best': 90.38146666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 89.76456666666667, 'xsmm_reference_best': 89.76456666666667, 'xsmm_reference_cpu_freq': 2.499941, 'xsmm_reference_kernel_type': 'sparse'}
