{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0391229751826463, 'speedup_best_over_ref': 1.0391229751826463, 'xsmm_custom_avg': 4.138233333333334, 'xsmm_custom_best': 4.138233333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 4.300133333333333, 'xsmm_reference_best': 4.300133333333333, 'xsmm_reference_cpu_freq': 2.999894, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0280248998210642, 'speedup_best_over_ref': 1.0280248998210642, 'xsmm_custom_avg': 6.613166666666667, 'xsmm_custom_best': 6.613166666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 6.7985000000000015, 'xsmm_reference_best': 6.7985000000000015, 'xsmm_reference_cpu_freq': 2.999904, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9934844200652688, 'speedup_best_over_ref': 0.9934844200652688, 'xsmm_custom_avg': 11.776900000000001, 'xsmm_custom_best': 11.776900000000001, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 11.700166666666666, 'xsmm_reference_best': 11.700166666666666, 'xsmm_reference_cpu_freq': 2.999863, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.8773000614384032, 'speedup_best_over_ref': 0.8773000614384032, 'xsmm_custom_avg': 21.484933333333334, 'xsmm_custom_best': 21.484933333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 18.848733333333332, 'xsmm_reference_best': 18.848733333333332, 'xsmm_reference_cpu_freq': 2.999845, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.907341387653543, 'speedup_best_over_ref': 0.907341387653543, 'xsmm_custom_avg': 41.2615, 'xsmm_custom_best': 41.2615, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 37.438266666666664, 'xsmm_reference_best': 37.438266666666664, 'xsmm_reference_cpu_freq': 2.999813, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.8070649801282528, 'speedup_best_over_ref': 0.8070649801282528, 'xsmm_custom_avg': 82.46213333333334, 'xsmm_custom_best': 82.46213333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 66.5523, 'xsmm_reference_best': 66.5523, 'xsmm_reference_cpu_freq': 2.999928, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0534532333989117, 'speedup_best_over_ref': 1.0534532333989117, 'xsmm_custom_avg': 4.184966666666667, 'xsmm_custom_best': 4.184966666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 4.408666666666666, 'xsmm_reference_best': 4.408666666666666, 'xsmm_reference_cpu_freq': 2.999876, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.127767374672302, 'speedup_best_over_ref': 1.127767374672302, 'xsmm_custom_avg': 6.230333333333333, 'xsmm_custom_best': 6.230333333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 7.026366666666666, 'xsmm_reference_best': 7.026366666666666, 'xsmm_reference_cpu_freq': 2.999892, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9834574373026745, 'speedup_best_over_ref': 0.9834574373026745, 'xsmm_custom_avg': 11.191333333333334, 'xsmm_custom_best': 11.191333333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 11.0062, 'xsmm_reference_best': 11.0062, 'xsmm_reference_cpu_freq': 2.999894, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.8689540694697063, 'speedup_best_over_ref': 0.8689540694697063, 'xsmm_custom_avg': 22.6516, 'xsmm_custom_best': 22.6516, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 19.6832, 'xsmm_reference_best': 19.6832, 'xsmm_reference_cpu_freq': 2.999811, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.8254789665203951, 'speedup_best_over_ref': 0.8254789665203951, 'xsmm_custom_avg': 40.928399999999996, 'xsmm_custom_best': 40.928399999999996, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 33.78553333333333, 'xsmm_reference_best': 33.78553333333333, 'xsmm_reference_cpu_freq': 2.999878, 'xsmm_reference_kernel_type': 'sparse'}
