{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.070338167457604, 'speedup_best_over_ref': 1.070338167457604, 'xsmm_custom_avg': 4.017733333333335, 'xsmm_custom_best': 4.017733333333335, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 4.300333333333333, 'xsmm_reference_best': 4.300333333333333, 'xsmm_reference_cpu_freq': 2.999908, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.037783629448026, 'speedup_best_over_ref': 1.037783629448026, 'xsmm_custom_avg': 6.6078, 'xsmm_custom_best': 6.6078, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 6.857466666666666, 'xsmm_reference_best': 6.857466666666666, 'xsmm_reference_cpu_freq': 2.999909, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9220827331864414, 'speedup_best_over_ref': 0.9220827331864414, 'xsmm_custom_avg': 12.057233333333333, 'xsmm_custom_best': 12.057233333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 11.117766666666666, 'xsmm_reference_best': 11.117766666666666, 'xsmm_reference_cpu_freq': 2.999896, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.8763279266207182, 'speedup_best_over_ref': 0.8763279266207182, 'xsmm_custom_avg': 21.869933333333332, 'xsmm_custom_best': 21.869933333333332, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 19.165233333333333, 'xsmm_reference_best': 19.165233333333333, 'xsmm_reference_cpu_freq': 2.999906, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9209474518044843, 'speedup_best_over_ref': 0.9209474518044843, 'xsmm_custom_avg': 40.60716666666667, 'xsmm_custom_best': 40.60716666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 37.39706666666667, 'xsmm_reference_best': 37.39706666666667, 'xsmm_reference_cpu_freq': 2.999936, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.7934877440797673, 'speedup_best_over_ref': 0.7934877440797673, 'xsmm_custom_avg': 83.44266666666665, 'xsmm_custom_best': 83.44266666666665, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 66.21073333333332, 'xsmm_reference_best': 66.21073333333332, 'xsmm_reference_cpu_freq': 2.999921, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.073613040809073, 'speedup_best_over_ref': 1.073613040809073, 'xsmm_custom_avg': 4.126533333333334, 'xsmm_custom_best': 4.126533333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 4.4303, 'xsmm_reference_best': 4.4303, 'xsmm_reference_cpu_freq': 2.999832, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9282746187638987, 'speedup_best_over_ref': 0.9282746187638987, 'xsmm_custom_avg': 6.7303, 'xsmm_custom_best': 6.7303, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 6.247566666666668, 'xsmm_reference_best': 6.247566666666668, 'xsmm_reference_cpu_freq': 2.999917, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9506531161439357, 'speedup_best_over_ref': 0.9506531161439357, 'xsmm_custom_avg': 11.1976, 'xsmm_custom_best': 11.1976, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 10.645033333333334, 'xsmm_reference_best': 10.645033333333334, 'xsmm_reference_cpu_freq': 2.999895, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.8736894498914229, 'speedup_best_over_ref': 0.8736894498914229, 'xsmm_custom_avg': 21.965966666666667, 'xsmm_custom_best': 21.965966666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 19.191433333333332, 'xsmm_reference_best': 19.191433333333332, 'xsmm_reference_cpu_freq': 2.999864, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.8261036371806457, 'speedup_best_over_ref': 0.8261036371806457, 'xsmm_custom_avg': 41.09593333333333, 'xsmm_custom_best': 41.09593333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 33.9495, 'xsmm_reference_best': 33.9495, 'xsmm_reference_cpu_freq': 2.999912, 'xsmm_reference_kernel_type': 'sparse'}
