{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 81600, 'speedup_avg_over_ref': 1.0286400626882735, 'speedup_best_over_ref': 1.0286400626882735, 'xsmm_custom_avg': 10.3794, 'xsmm_custom_best': 10.3794, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 10.676666666666666, 'xsmm_reference_best': 10.676666666666666, 'xsmm_reference_cpu_freq': 2.999901, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.982638289226393, 'speedup_best_over_ref': 0.982638289226393, 'xsmm_custom_avg': 19.687, 'xsmm_custom_best': 19.687, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 19.3452, 'xsmm_reference_best': 19.3452, 'xsmm_reference_cpu_freq': 2.999896, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.9249037920926653, 'speedup_best_over_ref': 0.9249037920926653, 'xsmm_custom_avg': 30.532833333333333, 'xsmm_custom_best': 30.532833333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 28.239933333333333, 'xsmm_reference_best': 28.239933333333333, 'xsmm_reference_cpu_freq': 2.999861, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.8581503752840675, 'speedup_best_over_ref': 0.8581503752840675, 'xsmm_custom_avg': 55.03386666666667, 'xsmm_custom_best': 55.03386666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 47.227333333333334, 'xsmm_reference_best': 47.227333333333334, 'xsmm_reference_cpu_freq': 2.999929, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.9096697922480456, 'speedup_best_over_ref': 0.9096697922480456, 'xsmm_custom_avg': 100.57506666666667, 'xsmm_custom_best': 100.57506666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 91.4901, 'xsmm_reference_best': 91.4901, 'xsmm_reference_cpu_freq': 2.999834, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.8072892388167279, 'speedup_best_over_ref': 0.8072892388167279, 'xsmm_custom_avg': 199.5078, 'xsmm_custom_best': 199.5078, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 161.0605, 'xsmm_reference_best': 161.0605, 'xsmm_reference_cpu_freq': 2.999865, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 81600, 'speedup_avg_over_ref': 1.045910591409356, 'speedup_best_over_ref': 1.045910591409356, 'xsmm_custom_avg': 10.279399999999999, 'xsmm_custom_best': 10.279399999999999, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 10.751333333333333, 'xsmm_reference_best': 10.751333333333333, 'xsmm_reference_cpu_freq': 2.999835, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.9804454165500988, 'speedup_best_over_ref': 0.9804454165500988, 'xsmm_custom_avg': 19.659499999999998, 'xsmm_custom_best': 19.659499999999998, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 19.275066666666664, 'xsmm_reference_best': 19.275066666666664, 'xsmm_reference_cpu_freq': 2.999934, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.9284605024691153, 'speedup_best_over_ref': 0.9284605024691153, 'xsmm_custom_avg': 30.0715, 'xsmm_custom_best': 30.0715, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 27.9202, 'xsmm_reference_best': 27.9202, 'xsmm_reference_cpu_freq': 2.999894, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.8764475714314783, 'speedup_best_over_ref': 0.8764475714314783, 'xsmm_custom_avg': 55.696733333333334, 'xsmm_custom_best': 55.696733333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 48.815266666666666, 'xsmm_reference_best': 48.815266666666666, 'xsmm_reference_cpu_freq': 2.999898, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.8258914053513053, 'speedup_best_over_ref': 0.8258914053513053, 'xsmm_custom_avg': 100.3481, 'xsmm_custom_best': 100.3481, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 82.87663333333333, 'xsmm_reference_best': 82.87663333333333, 'xsmm_reference_cpu_freq': 2.999918, 'xsmm_reference_kernel_type': 'sparse'}
