{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 81600, 'speedup_avg_over_ref': 1.0504157782165728, 'speedup_best_over_ref': 1.0504157782165728, 'xsmm_custom_avg': 10.145633333333334, 'xsmm_custom_best': 10.145633333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 10.657133333333336, 'xsmm_reference_best': 10.657133333333336, 'xsmm_reference_cpu_freq': 2.999907, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.9754782663813221, 'speedup_best_over_ref': 0.9754782663813221, 'xsmm_custom_avg': 19.983633333333334, 'xsmm_custom_best': 19.983633333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 19.4936, 'xsmm_reference_best': 19.4936, 'xsmm_reference_cpu_freq': 2.99992, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.9432508857962071, 'speedup_best_over_ref': 0.9432508857962071, 'xsmm_custom_avg': 30.377566666666667, 'xsmm_custom_best': 30.377566666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 28.653666666666666, 'xsmm_reference_best': 28.653666666666666, 'xsmm_reference_cpu_freq': 2.999918, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.8573930030685317, 'speedup_best_over_ref': 0.8573930030685317, 'xsmm_custom_avg': 54.97743333333333, 'xsmm_custom_best': 54.97743333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 47.13726666666666, 'xsmm_reference_best': 47.13726666666666, 'xsmm_reference_cpu_freq': 2.999861, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.9101788649698697, 'speedup_best_over_ref': 0.9101788649698697, 'xsmm_custom_avg': 100.86193333333334, 'xsmm_custom_best': 100.86193333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 91.8024, 'xsmm_reference_best': 91.8024, 'xsmm_reference_cpu_freq': 2.999931, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.8046969714193626, 'speedup_best_over_ref': 0.8046969714193626, 'xsmm_custom_avg': 199.39373333333333, 'xsmm_custom_best': 199.39373333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 160.45153333333334, 'xsmm_reference_best': 160.45153333333334, 'xsmm_reference_cpu_freq': 2.999877, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 81600, 'speedup_avg_over_ref': 1.0212510269504003, 'speedup_best_over_ref': 1.0212510269504003, 'xsmm_custom_avg': 10.346166666666667, 'xsmm_custom_best': 10.346166666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 10.566033333333333, 'xsmm_reference_best': 10.566033333333333, 'xsmm_reference_cpu_freq': 2.99986, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.9837249256264966, 'speedup_best_over_ref': 0.9837249256264966, 'xsmm_custom_avg': 19.5186, 'xsmm_custom_best': 19.5186, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 19.200933333333335, 'xsmm_reference_best': 19.200933333333335, 'xsmm_reference_cpu_freq': 2.999893, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.920600457657813, 'speedup_best_over_ref': 0.920600457657813, 'xsmm_custom_avg': 30.1681, 'xsmm_custom_best': 30.1681, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 27.772766666666666, 'xsmm_reference_best': 27.772766666666666, 'xsmm_reference_cpu_freq': 2.999894, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.8792917351973685, 'speedup_best_over_ref': 0.8792917351973685, 'xsmm_custom_avg': 55.77386666666666, 'xsmm_custom_best': 55.77386666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 49.0415, 'xsmm_reference_best': 49.0415, 'xsmm_reference_cpu_freq': 2.999861, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.8285706828898926, 'speedup_best_over_ref': 0.8285706828898926, 'xsmm_custom_avg': 99.62123333333334, 'xsmm_custom_best': 99.62123333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 82.54323333333333, 'xsmm_reference_best': 82.54323333333333, 'xsmm_reference_cpu_freq': 2.999911, 'xsmm_reference_kernel_type': 'sparse'}
