{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0460454439438764, 'speedup_best_over_ref': 1.0460454439438764, 'xsmm_custom_avg': 0.2715433333333333, 'xsmm_custom_best': 0.2715433333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.28404666666666667, 'xsmm_reference_best': 0.28404666666666667, 'xsmm_reference_cpu_freq': 2.499905, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.1154220515870872, 'speedup_best_over_ref': 1.1154220515870872, 'xsmm_custom_avg': 0.12328666666666666, 'xsmm_custom_best': 0.12328666666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.13751666666666668, 'xsmm_reference_best': 0.13751666666666668, 'xsmm_reference_cpu_freq': 2.499981, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0314808938851365, 'speedup_best_over_ref': 1.0314808938851365, 'xsmm_custom_avg': 0.29414666666666667, 'xsmm_custom_best': 0.29414666666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.30340666666666666, 'xsmm_reference_best': 0.30340666666666666, 'xsmm_reference_cpu_freq': 2.499949, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.1169742301812624, 'speedup_best_over_ref': 1.1169742301812624, 'xsmm_custom_avg': 0.12210666666666666, 'xsmm_custom_best': 0.12210666666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.13639, 'xsmm_reference_best': 0.13639, 'xsmm_reference_cpu_freq': 2.499909, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0305260692137934, 'speedup_best_over_ref': 1.0305260692137934, 'xsmm_custom_avg': 0.27037, 'xsmm_custom_best': 0.27037, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.27862333333333333, 'xsmm_reference_best': 0.27862333333333333, 'xsmm_reference_cpu_freq': 2.499944, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.03017691578423, 'speedup_best_over_ref': 1.03017691578423, 'xsmm_custom_avg': 0.62233, 'xsmm_custom_best': 0.62233, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.64111, 'xsmm_reference_best': 0.64111, 'xsmm_reference_cpu_freq': 2.499932, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.069488774313228, 'speedup_best_over_ref': 1.069488774313228, 'xsmm_custom_avg': 0.48876, 'xsmm_custom_best': 0.48876, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.5227233333333333, 'xsmm_reference_best': 0.5227233333333333, 'xsmm_reference_cpu_freq': 2.499981, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0227093336328381, 'speedup_best_over_ref': 1.0227093336328381, 'xsmm_custom_avg': 1.06843, 'xsmm_custom_best': 1.06843, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.0926933333333333, 'xsmm_reference_best': 1.0926933333333333, 'xsmm_reference_cpu_freq': 2.499997, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0866163851360304, 'speedup_best_over_ref': 1.0866163851360304, 'xsmm_custom_avg': 0.6289033333333333, 'xsmm_custom_best': 0.6289033333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.6833766666666666, 'xsmm_reference_best': 0.6833766666666666, 'xsmm_reference_cpu_freq': 2.499985, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0586419420336728, 'speedup_best_over_ref': 1.0586419420336728, 'xsmm_custom_avg': 0.92755, 'xsmm_custom_best': 0.92755, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.9819433333333333, 'xsmm_reference_best': 0.9819433333333333, 'xsmm_reference_cpu_freq': 2.499974, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0945912545029057, 'speedup_best_over_ref': 1.0945912545029057, 'xsmm_custom_avg': 0.6338499999999999, 'xsmm_custom_best': 0.6338499999999999, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.6938066666666667, 'xsmm_reference_best': 0.6938066666666667, 'xsmm_reference_cpu_freq': 2.499965, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m3.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0725267654226334, 'speedup_best_over_ref': 1.0725267654226334, 'xsmm_custom_avg': 0.4869466666666667, 'xsmm_custom_best': 0.4869466666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.5222633333333333, 'xsmm_reference_best': 0.5222633333333333, 'xsmm_reference_cpu_freq': 2.499933, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m6.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0269009212987, 'speedup_best_over_ref': 1.0269009212987, 'xsmm_custom_avg': 1.0658866666666666, 'xsmm_custom_best': 1.0658866666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.0945600000000002, 'xsmm_reference_best': 1.0945600000000002, 'xsmm_reference_cpu_freq': 2.499959, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m132.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0842051775780914, 'speedup_best_over_ref': 1.0842051775780914, 'xsmm_custom_avg': 0.6232000000000001, 'xsmm_custom_best': 0.6232000000000001, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.6756766666666667, 'xsmm_reference_best': 0.6756766666666667, 'xsmm_reference_cpu_freq': 2.499951, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m460.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.065370311644132, 'speedup_best_over_ref': 1.065370311644132, 'xsmm_custom_avg': 0.9249866666666666, 'xsmm_custom_best': 0.9249866666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.9854533333333334, 'xsmm_reference_best': 0.9854533333333334, 'xsmm_reference_cpu_freq': 2.499905, 'xsmm_reference_kernel_type': 'wide-sparse'}
