{'M_BLOCKING=12_avg': 250.472, 'M_BLOCKING=12_best': 250.472, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 251.084, 'M_BLOCKING=16_best': 251.084, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 247.842, 'M_BLOCKING=1_best': 247.842, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 248.56100000000004, 'M_BLOCKING=2_best': 248.56100000000004, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 248.172, 'M_BLOCKING=3_best': 248.172, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 248.908, 'M_BLOCKING=6_best': 248.908, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 1800000, 'xsmm_reference_avg': 244.351, 'xsmm_reference_best': 244.351, 'xsmm_reference_cpu_freq': 2.999913, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 359.885, 'M_BLOCKING=12_best': 359.885, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 358.47900000000004, 'M_BLOCKING=16_best': 358.47900000000004, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 357.711, 'M_BLOCKING=1_best': 357.711, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 357.199, 'M_BLOCKING=2_best': 357.199, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 356.519, 'M_BLOCKING=3_best': 356.519, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 357.242, 'M_BLOCKING=6_best': 357.242, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 1500000, 'xsmm_reference_avg': 355.68100000000004, 'xsmm_reference_best': 355.68100000000004, 'xsmm_reference_cpu_freq': 2.999915, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 388.267, 'M_BLOCKING=12_best': 388.267, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 382.85400000000004, 'M_BLOCKING=16_best': 382.85400000000004, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 372.105, 'M_BLOCKING=1_best': 372.105, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 372.537, 'M_BLOCKING=2_best': 372.537, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 376.31500000000005, 'M_BLOCKING=3_best': 376.31500000000005, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 385.641, 'M_BLOCKING=6_best': 385.641, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 411.634, 'xsmm_reference_best': 411.634, 'xsmm_reference_cpu_freq': 2.999932, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 431.31, 'M_BLOCKING=12_best': 431.31, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 424.66999999999996, 'M_BLOCKING=16_best': 424.66999999999996, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 396.85, 'M_BLOCKING=1_best': 396.85, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 396.796, 'M_BLOCKING=2_best': 396.796, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 411.31399999999996, 'M_BLOCKING=3_best': 411.31399999999996, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 412.025, 'M_BLOCKING=6_best': 412.025, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 750000, 'xsmm_reference_avg': 430.918, 'xsmm_reference_best': 430.918, 'xsmm_reference_cpu_freq': 2.999937, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 474.73800000000006, 'M_BLOCKING=12_best': 474.73800000000006, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 476.981, 'M_BLOCKING=16_best': 476.981, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 443.87800000000004, 'M_BLOCKING=1_best': 443.87800000000004, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 441.913, 'M_BLOCKING=2_best': 441.913, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 455.759, 'M_BLOCKING=3_best': 455.759, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 461.375, 'M_BLOCKING=6_best': 461.375, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 450000, 'xsmm_reference_avg': 498.171, 'xsmm_reference_best': 498.171, 'xsmm_reference_cpu_freq': 2.99989, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 623.412, 'M_BLOCKING=12_best': 623.412, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 610.737, 'M_BLOCKING=16_best': 610.737, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 615.2660000000001, 'M_BLOCKING=1_best': 615.2660000000001, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 607.9839999999999, 'M_BLOCKING=2_best': 607.9839999999999, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 617.681, 'M_BLOCKING=3_best': 617.681, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 638.79, 'M_BLOCKING=6_best': 638.79, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 249984, 'xsmm_reference_avg': 577.025, 'xsmm_reference_best': 577.025, 'xsmm_reference_cpu_freq': 2.999933, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 236.832, 'M_BLOCKING=12_best': 236.832, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 241.774, 'M_BLOCKING=16_best': 241.774, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 235.51300000000003, 'M_BLOCKING=1_best': 235.51300000000003, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 235.873, 'M_BLOCKING=2_best': 235.873, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 235.548, 'M_BLOCKING=3_best': 235.548, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 236.761, 'M_BLOCKING=6_best': 236.761, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 1800000, 'xsmm_reference_avg': 236.671, 'xsmm_reference_best': 236.671, 'xsmm_reference_cpu_freq': 2.999914, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 361.201, 'M_BLOCKING=12_best': 361.201, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 355.708, 'M_BLOCKING=16_best': 355.708, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 355.23699999999997, 'M_BLOCKING=1_best': 355.23699999999997, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 353.957, 'M_BLOCKING=2_best': 353.957, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 354.882, 'M_BLOCKING=3_best': 354.882, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 355.35, 'M_BLOCKING=6_best': 355.35, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 1500000, 'xsmm_reference_avg': 359.045, 'xsmm_reference_best': 359.045, 'xsmm_reference_cpu_freq': 2.999888, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 386.122, 'M_BLOCKING=12_best': 386.122, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 377.34, 'M_BLOCKING=16_best': 377.34, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 397.932, 'M_BLOCKING=1_best': 397.932, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 371.373, 'M_BLOCKING=2_best': 371.373, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 375.185, 'M_BLOCKING=3_best': 375.185, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 380.884, 'M_BLOCKING=6_best': 380.884, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 1124976, 'xsmm_reference_avg': 400.022, 'xsmm_reference_best': 400.022, 'xsmm_reference_cpu_freq': 2.999912, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 429.53099999999995, 'M_BLOCKING=12_best': 429.53099999999995, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 423.53, 'M_BLOCKING=16_best': 423.53, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 397.822, 'M_BLOCKING=1_best': 397.822, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 400.81, 'M_BLOCKING=2_best': 400.81, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 403.812, 'M_BLOCKING=3_best': 403.812, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 411.63199999999995, 'M_BLOCKING=6_best': 411.63199999999995, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 750000, 'xsmm_reference_avg': 442.617, 'xsmm_reference_best': 442.617, 'xsmm_reference_cpu_freq': 2.999934, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 471.226, 'M_BLOCKING=12_best': 471.226, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 470.611, 'M_BLOCKING=16_best': 470.611, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 442.189, 'M_BLOCKING=1_best': 442.189, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 442.08299999999997, 'M_BLOCKING=2_best': 442.08299999999997, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 455.33900000000006, 'M_BLOCKING=3_best': 455.33900000000006, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 466.938, 'M_BLOCKING=6_best': 466.938, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 450000, 'xsmm_reference_avg': 440.771, 'xsmm_reference_best': 440.771, 'xsmm_reference_cpu_freq': 2.999839, 'xsmm_reference_kernel_type': 'sparse'}
