{'M_BLOCKING=12_avg': 623.098, 'M_BLOCKING=12_best': 623.098, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 630.7919999999999, 'M_BLOCKING=16_best': 630.7919999999999, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 595.153, 'M_BLOCKING=1_best': 595.153, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 597.302, 'M_BLOCKING=2_best': 597.302, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 619.376, 'M_BLOCKING=3_best': 619.376, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 634.687, 'M_BLOCKING=6_best': 634.687, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_1024_p_0.05_uniq_64.txt', 'size_n': 249984, 'xsmm_reference_avg': 3970.747, 'xsmm_reference_best': 3970.747, 'xsmm_reference_cpu_freq': 2.999919, 'xsmm_reference_kernel_type': 'dense'}
{'M_BLOCKING=12_avg': 248.879, 'M_BLOCKING=12_best': 248.879, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 249.82, 'M_BLOCKING=16_best': 249.82, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 249.372, 'M_BLOCKING=1_best': 249.372, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 248.934, 'M_BLOCKING=2_best': 248.934, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 249.377, 'M_BLOCKING=3_best': 249.377, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 249.837, 'M_BLOCKING=6_best': 249.837, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 252.843, 'xsmm_reference_best': 252.843, 'xsmm_reference_cpu_freq': 2.999951, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 485.525, 'M_BLOCKING=12_best': 485.525, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 472.599, 'M_BLOCKING=16_best': 472.599, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 423.62300000000005, 'M_BLOCKING=1_best': 423.62300000000005, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 426.912, 'M_BLOCKING=2_best': 426.912, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 438.604, 'M_BLOCKING=3_best': 438.604, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 434.573, 'M_BLOCKING=6_best': 434.573, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 393.896, 'xsmm_reference_best': 393.896, 'xsmm_reference_cpu_freq': 2.999893, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 681.131, 'M_BLOCKING=12_best': 681.131, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 661.628, 'M_BLOCKING=16_best': 661.628, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 559.492, 'M_BLOCKING=1_best': 559.492, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 521.928, 'M_BLOCKING=2_best': 521.928, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 533.847, 'M_BLOCKING=3_best': 533.847, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 577.554, 'M_BLOCKING=6_best': 577.554, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 359.34, 'xsmm_reference_best': 359.34, 'xsmm_reference_cpu_freq': 2.999979, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 860.957, 'M_BLOCKING=12_best': 860.957, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 815.096, 'M_BLOCKING=16_best': 815.096, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 763.239, 'M_BLOCKING=1_best': 763.239, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 665.534, 'M_BLOCKING=2_best': 665.534, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 743.626, 'M_BLOCKING=3_best': 743.626, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 775.436, 'M_BLOCKING=6_best': 775.436, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 693.1859999999999, 'xsmm_reference_best': 693.1859999999999, 'xsmm_reference_cpu_freq': 2.999877, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 1017.366, 'M_BLOCKING=12_best': 1017.366, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 955.655, 'M_BLOCKING=16_best': 955.655, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 995.145, 'M_BLOCKING=1_best': 995.145, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 849.342, 'M_BLOCKING=2_best': 849.342, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 902.682, 'M_BLOCKING=3_best': 902.682, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 977.656, 'M_BLOCKING=6_best': 977.656, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 1224.462, 'xsmm_reference_best': 1224.462, 'xsmm_reference_cpu_freq': 2.999943, 'xsmm_reference_kernel_type': 'dense'}
{'M_BLOCKING=12_avg': 1169.894, 'M_BLOCKING=12_best': 1169.894, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 1104.579, 'M_BLOCKING=16_best': 1104.579, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 1256.615, 'M_BLOCKING=1_best': 1256.615, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 1052.187, 'M_BLOCKING=2_best': 1052.187, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 1086.536, 'M_BLOCKING=3_best': 1086.536, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 1168.069, 'M_BLOCKING=6_best': 1168.069, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.5_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 1222.0430000000001, 'xsmm_reference_best': 1222.0430000000001, 'xsmm_reference_cpu_freq': 2.999966, 'xsmm_reference_kernel_type': 'dense'}
{'M_BLOCKING=12_avg': 390.616, 'M_BLOCKING=12_best': 390.616, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 384.596, 'M_BLOCKING=16_best': 384.596, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 373.9, 'M_BLOCKING=1_best': 373.9, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 371.743, 'M_BLOCKING=2_best': 371.743, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 380.073, 'M_BLOCKING=3_best': 380.073, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 383.695, 'M_BLOCKING=6_best': 383.695, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 393.41499999999996, 'xsmm_reference_best': 393.41499999999996, 'xsmm_reference_cpu_freq': 2.999943, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 582.365, 'M_BLOCKING=12_best': 582.365, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 566.489, 'M_BLOCKING=16_best': 566.489, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 477.285, 'M_BLOCKING=1_best': 477.285, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 467.8, 'M_BLOCKING=2_best': 467.8, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 466.977, 'M_BLOCKING=3_best': 466.977, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 484.557, 'M_BLOCKING=6_best': 484.557, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.15_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 313.89599999999996, 'xsmm_reference_best': 313.89599999999996, 'xsmm_reference_cpu_freq': 2.999855, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 774.7139999999999, 'M_BLOCKING=12_best': 774.7139999999999, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 735.457, 'M_BLOCKING=16_best': 735.457, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 653.558, 'M_BLOCKING=1_best': 653.558, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 588.459, 'M_BLOCKING=2_best': 588.459, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 603.272, 'M_BLOCKING=3_best': 603.272, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 671.0989999999999, 'M_BLOCKING=6_best': 671.0989999999999, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.25_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 604.141, 'xsmm_reference_best': 604.141, 'xsmm_reference_cpu_freq': 2.999917, 'xsmm_reference_kernel_type': 'sparse'}
