{'M_BLOCKING=12_avg': 13.535333333333332, 'M_BLOCKING=12_best': 13.535333333333332, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 13.820500000000001, 'M_BLOCKING=16_best': 13.820500000000001, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 13.4801, 'M_BLOCKING=1_best': 13.4801, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 13.511133333333333, 'M_BLOCKING=2_best': 13.511133333333333, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 13.522466666666666, 'M_BLOCKING=3_best': 13.522466666666666, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 13.5315, 'M_BLOCKING=6_best': 13.5315, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 105600, 'xsmm_reference_avg': 13.483066666666668, 'xsmm_reference_best': 13.483066666666668, 'xsmm_reference_cpu_freq': 2.999914, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 25.8588, 'M_BLOCKING=12_best': 25.8588, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 25.497733333333333, 'M_BLOCKING=16_best': 25.497733333333333, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 24.501266666666666, 'M_BLOCKING=1_best': 24.501266666666666, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 25.3743, 'M_BLOCKING=2_best': 25.3743, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 25.290533333333332, 'M_BLOCKING=3_best': 25.290533333333332, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 25.391399999999997, 'M_BLOCKING=6_best': 25.391399999999997, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 105600, 'xsmm_reference_avg': 25.077966666666665, 'xsmm_reference_best': 25.077966666666665, 'xsmm_reference_cpu_freq': 2.999867, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 39.26926666666667, 'M_BLOCKING=12_best': 39.26926666666667, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 38.67933333333334, 'M_BLOCKING=16_best': 38.67933333333334, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 38.57256666666667, 'M_BLOCKING=1_best': 38.57256666666667, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 38.773199999999996, 'M_BLOCKING=2_best': 38.773199999999996, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 38.82743333333334, 'M_BLOCKING=3_best': 38.82743333333334, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 38.82899999999999, 'M_BLOCKING=6_best': 38.82899999999999, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 105600, 'xsmm_reference_avg': 34.909200000000006, 'xsmm_reference_best': 34.909200000000006, 'xsmm_reference_cpu_freq': 2.999839, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 63.573566666666665, 'M_BLOCKING=12_best': 63.573566666666665, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 62.21536666666667, 'M_BLOCKING=16_best': 62.21536666666667, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 60.32503333333333, 'M_BLOCKING=1_best': 60.32503333333333, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 60.4438, 'M_BLOCKING=2_best': 60.4438, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 62.7961, 'M_BLOCKING=3_best': 62.7961, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 63.26683333333334, 'M_BLOCKING=6_best': 63.26683333333334, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 105600, 'xsmm_reference_avg': 60.622566666666664, 'xsmm_reference_best': 60.622566666666664, 'xsmm_reference_cpu_freq': 2.999903, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 112.4803, 'M_BLOCKING=12_best': 112.4803, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 109.97703333333334, 'M_BLOCKING=16_best': 109.97703333333334, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 109.39976666666666, 'M_BLOCKING=1_best': 109.39976666666666, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 109.515, 'M_BLOCKING=2_best': 109.515, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 113.55733333333335, 'M_BLOCKING=3_best': 113.55733333333335, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 113.09526666666667, 'M_BLOCKING=6_best': 113.09526666666667, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 105600, 'xsmm_reference_avg': 118.6124, 'xsmm_reference_best': 118.6124, 'xsmm_reference_cpu_freq': 2.999912, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 282.5738666666667, 'M_BLOCKING=12_best': 282.5738666666667, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 278.7996, 'M_BLOCKING=16_best': 278.7996, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 277.5258, 'M_BLOCKING=1_best': 277.5258, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 274.5738, 'M_BLOCKING=2_best': 274.5738, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 281.1261, 'M_BLOCKING=3_best': 281.1261, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 291.8016, 'M_BLOCKING=6_best': 291.8016, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 105600, 'xsmm_reference_avg': 237.5155, 'xsmm_reference_best': 237.5155, 'xsmm_reference_cpu_freq': 2.999954, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 13.816833333333333, 'M_BLOCKING=12_best': 13.816833333333333, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 14.029933333333334, 'M_BLOCKING=16_best': 14.029933333333334, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 13.7257, 'M_BLOCKING=1_best': 13.7257, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 13.769800000000002, 'M_BLOCKING=2_best': 13.769800000000002, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 13.7757, 'M_BLOCKING=3_best': 13.7757, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 13.782733333333333, 'M_BLOCKING=6_best': 13.782733333333333, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 105600, 'xsmm_reference_avg': 13.544766666666666, 'xsmm_reference_best': 13.544766666666666, 'xsmm_reference_cpu_freq': 2.999961, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 24.012366666666665, 'M_BLOCKING=12_best': 24.012366666666665, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 23.8577, 'M_BLOCKING=16_best': 23.8577, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 23.534666666666666, 'M_BLOCKING=1_best': 23.534666666666666, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 23.045066666666667, 'M_BLOCKING=2_best': 23.045066666666667, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 23.0042, 'M_BLOCKING=3_best': 23.0042, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 23.2091, 'M_BLOCKING=6_best': 23.2091, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 105600, 'xsmm_reference_avg': 18.5677, 'xsmm_reference_best': 18.5677, 'xsmm_reference_cpu_freq': 2.999931, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 38.60496666666666, 'M_BLOCKING=12_best': 38.60496666666666, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 37.4191, 'M_BLOCKING=16_best': 37.4191, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 37.3406, 'M_BLOCKING=1_best': 37.3406, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 37.4522, 'M_BLOCKING=2_best': 37.4522, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 38.0301, 'M_BLOCKING=3_best': 38.0301, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 37.64186666666667, 'M_BLOCKING=6_best': 37.64186666666667, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 105600, 'xsmm_reference_avg': 33.77953333333333, 'xsmm_reference_best': 33.77953333333333, 'xsmm_reference_cpu_freq': 2.999877, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 62.2214, 'M_BLOCKING=12_best': 62.2214, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 60.142500000000005, 'M_BLOCKING=16_best': 60.142500000000005, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 58.53073333333334, 'M_BLOCKING=1_best': 58.53073333333334, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 59.173366666666666, 'M_BLOCKING=2_best': 59.173366666666666, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 61.91226666666667, 'M_BLOCKING=3_best': 61.91226666666667, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 61.349333333333334, 'M_BLOCKING=6_best': 61.349333333333334, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 105600, 'xsmm_reference_avg': 61.4319, 'xsmm_reference_best': 61.4319, 'xsmm_reference_cpu_freq': 2.999865, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 111.86713333333334, 'M_BLOCKING=12_best': 111.86713333333334, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 109.89693333333334, 'M_BLOCKING=16_best': 109.89693333333334, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 108.93990000000001, 'M_BLOCKING=1_best': 108.93990000000001, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 109.36236666666667, 'M_BLOCKING=2_best': 109.36236666666667, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 113.28703333333333, 'M_BLOCKING=3_best': 113.28703333333333, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 112.89163333333333, 'M_BLOCKING=6_best': 112.89163333333333, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 105600, 'xsmm_reference_avg': 108.38746666666665, 'xsmm_reference_best': 108.38746666666665, 'xsmm_reference_cpu_freq': 2.999859, 'xsmm_reference_kernel_type': 'sparse'}
