{'N_BLOCKING=1_avg': 581.193, 'N_BLOCKING=1_best': 581.193, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 652.664, 'N_BLOCKING=2_best': 652.664, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 631.111, 'N_BLOCKING=3_best': 631.111, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_1024_p_0.05_uniq_64.txt', 'size_n': 249984, 'xsmm_reference_avg': 3866.609, 'xsmm_reference_best': 3866.609, 'xsmm_reference_cpu_freq': 2.999911, 'xsmm_reference_kernel_type': 'dense'}
{'N_BLOCKING=1_avg': 246.97500000000002, 'N_BLOCKING=1_best': 246.97500000000002, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 252.771, 'N_BLOCKING=2_best': 252.771, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 248.92100000000005, 'N_BLOCKING=3_best': 248.92100000000005, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 249.402, 'xsmm_reference_best': 249.402, 'xsmm_reference_cpu_freq': 2.999882, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 417.924, 'N_BLOCKING=1_best': 417.924, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 402.335, 'N_BLOCKING=2_best': 402.335, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 368.554, 'N_BLOCKING=3_best': 368.554, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 391.55999999999995, 'xsmm_reference_best': 391.55999999999995, 'xsmm_reference_cpu_freq': 2.999874, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 555.025, 'N_BLOCKING=1_best': 555.025, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 395.834, 'N_BLOCKING=2_best': 395.834, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 436.773, 'N_BLOCKING=3_best': 436.773, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 363.905, 'xsmm_reference_best': 363.905, 'xsmm_reference_cpu_freq': 2.999882, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 756.734, 'N_BLOCKING=1_best': 756.734, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 551.95, 'N_BLOCKING=2_best': 551.95, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 597.7280000000001, 'N_BLOCKING=3_best': 597.7280000000001, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 685.813, 'xsmm_reference_best': 685.813, 'xsmm_reference_cpu_freq': 2.99996, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 992.919, 'N_BLOCKING=1_best': 992.919, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 717.932, 'N_BLOCKING=2_best': 717.932, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 755.067, 'N_BLOCKING=3_best': 755.067, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 1120.938, 'xsmm_reference_best': 1120.938, 'xsmm_reference_cpu_freq': 2.999909, 'xsmm_reference_kernel_type': 'dense'}
{'N_BLOCKING=1_avg': 1247.221, 'N_BLOCKING=1_best': 1247.221, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 922.679, 'N_BLOCKING=2_best': 922.679, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 956.024, 'N_BLOCKING=3_best': 956.024, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.5_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 1116.154, 'xsmm_reference_best': 1116.154, 'xsmm_reference_cpu_freq': 2.999875, 'xsmm_reference_kernel_type': 'dense'}
{'N_BLOCKING=1_avg': 367.771, 'N_BLOCKING=1_best': 367.771, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 398.317, 'N_BLOCKING=2_best': 398.317, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 371.165, 'N_BLOCKING=3_best': 371.165, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 387.957, 'xsmm_reference_best': 387.957, 'xsmm_reference_cpu_freq': 2.999911, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 471.01300000000003, 'N_BLOCKING=1_best': 471.01300000000003, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 332.763, 'N_BLOCKING=2_best': 332.763, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 369.939, 'N_BLOCKING=3_best': 369.939, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.15_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 310.207, 'xsmm_reference_best': 310.207, 'xsmm_reference_cpu_freq': 2.999835, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 647.711, 'N_BLOCKING=1_best': 647.711, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 461.41099999999994, 'N_BLOCKING=2_best': 461.41099999999994, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 509.046, 'N_BLOCKING=3_best': 509.046, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.25_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 601.27, 'xsmm_reference_best': 601.27, 'xsmm_reference_cpu_freq': 2.999926, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 340.403, 'N_BLOCKING=1_best': 340.403, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 367.00199999999995, 'N_BLOCKING=2_best': 367.00199999999995, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 356.164, 'N_BLOCKING=3_best': 356.164, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.025_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 359.361, 'xsmm_reference_best': 359.361, 'xsmm_reference_cpu_freq': 2.999913, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 393.083, 'N_BLOCKING=1_best': 393.083, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 402.67499999999995, 'N_BLOCKING=2_best': 402.67499999999995, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 368.564, 'N_BLOCKING=3_best': 368.564, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 1228, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.074951171875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.075_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 393.988, 'xsmm_reference_best': 393.988, 'xsmm_reference_cpu_freq': 2.999953, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 443.789, 'N_BLOCKING=1_best': 443.789, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 381.427, 'N_BLOCKING=2_best': 381.427, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 367.449, 'N_BLOCKING=3_best': 367.449, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 2048, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.125_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 363.6, 'xsmm_reference_best': 363.6, 'xsmm_reference_cpu_freq': 2.999952, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 246.13300000000004, 'N_BLOCKING=1_best': 246.13300000000004, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 252.666, 'N_BLOCKING=2_best': 252.666, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 248.65300000000002, 'N_BLOCKING=3_best': 248.65300000000002, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.01_uniq_64.txt', 'size_n': 1124976, 'xsmm_reference_avg': 249.437, 'xsmm_reference_best': 249.437, 'xsmm_reference_cpu_freq': 2.999965, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 416.909, 'N_BLOCKING=1_best': 416.909, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 390.186, 'N_BLOCKING=2_best': 390.186, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 367.76800000000003, 'N_BLOCKING=3_best': 367.76800000000003, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.1_uniq_64.txt', 'size_n': 1124976, 'xsmm_reference_avg': 373.905, 'xsmm_reference_best': 373.905, 'xsmm_reference_cpu_freq': 2.999906, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 551.498, 'N_BLOCKING=1_best': 551.498, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 388.855, 'N_BLOCKING=2_best': 388.855, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 434.626, 'N_BLOCKING=3_best': 434.626, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.2_uniq_64.txt', 'size_n': 1124976, 'xsmm_reference_avg': 551.944, 'xsmm_reference_best': 551.944, 'xsmm_reference_cpu_freq': 2.999879, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 754.263, 'N_BLOCKING=1_best': 754.263, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 546.425, 'N_BLOCKING=2_best': 546.425, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 592.76, 'N_BLOCKING=3_best': 592.76, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.3_uniq_64.txt', 'size_n': 1124976, 'xsmm_reference_avg': 682.383, 'xsmm_reference_best': 682.383, 'xsmm_reference_cpu_freq': 2.999968, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 986.686, 'N_BLOCKING=1_best': 986.686, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 725.655, 'N_BLOCKING=2_best': 725.655, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 761.063, 'N_BLOCKING=3_best': 761.063, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.4_uniq_64.txt', 'size_n': 1124976, 'xsmm_reference_avg': 1111.908, 'xsmm_reference_best': 1111.908, 'xsmm_reference_cpu_freq': 2.999958, 'xsmm_reference_kernel_type': 'dense'}
{'N_BLOCKING=1_avg': 1246.149, 'N_BLOCKING=1_best': 1246.149, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 924.174, 'N_BLOCKING=2_best': 924.174, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 960.117, 'N_BLOCKING=3_best': 960.117, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'data/synth_mats/vary_density/q_64/r_128_c_128_p_0.5_uniq_64.txt', 'size_n': 1124976, 'xsmm_reference_avg': 1114.801, 'xsmm_reference_best': 1114.801, 'xsmm_reference_cpu_freq': 2.999927, 'xsmm_reference_kernel_type': 'dense'}
