{'M_BLOCKING=12_avg': 10.9101, 'M_BLOCKING=12_best': 10.9101, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 11.2979, 'M_BLOCKING=16_best': 11.2979, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 10.957733333333334, 'M_BLOCKING=1_best': 10.957733333333334, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 10.950466666666667, 'M_BLOCKING=2_best': 10.950466666666667, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 10.910166666666665, 'M_BLOCKING=3_best': 10.910166666666665, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 10.9137, 'M_BLOCKING=6_best': 10.9137, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 81600, 'xsmm_reference_avg': 10.928133333333333, 'xsmm_reference_best': 10.928133333333333, 'xsmm_reference_cpu_freq': 2.499928, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 20.397766666666666, 'M_BLOCKING=12_best': 20.397766666666666, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 20.119500000000002, 'M_BLOCKING=16_best': 20.119500000000002, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 19.2432, 'M_BLOCKING=1_best': 19.2432, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 19.1904, 'M_BLOCKING=2_best': 19.1904, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 19.781633333333335, 'M_BLOCKING=3_best': 19.781633333333335, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 19.920833333333334, 'M_BLOCKING=6_best': 19.920833333333334, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 81600, 'xsmm_reference_avg': 18.837566666666664, 'xsmm_reference_best': 18.837566666666664, 'xsmm_reference_cpu_freq': 2.499906, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 32.51906666666667, 'M_BLOCKING=12_best': 32.51906666666667, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 31.793333333333333, 'M_BLOCKING=16_best': 31.793333333333333, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 30.81543333333333, 'M_BLOCKING=1_best': 30.81543333333333, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 31.340066666666665, 'M_BLOCKING=2_best': 31.340066666666665, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 31.48913333333333, 'M_BLOCKING=3_best': 31.48913333333333, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 31.54596666666667, 'M_BLOCKING=6_best': 31.54596666666667, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 81600, 'xsmm_reference_avg': 30.646, 'xsmm_reference_best': 30.646, 'xsmm_reference_cpu_freq': 2.49995, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 53.2084, 'M_BLOCKING=12_best': 53.2084, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 51.98166666666667, 'M_BLOCKING=16_best': 51.98166666666667, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 49.04273333333334, 'M_BLOCKING=1_best': 49.04273333333334, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 49.28443333333333, 'M_BLOCKING=2_best': 49.28443333333333, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 51.40686666666667, 'M_BLOCKING=3_best': 51.40686666666667, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 52.1147, 'M_BLOCKING=6_best': 52.1147, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 81600, 'xsmm_reference_avg': 49.68116666666666, 'xsmm_reference_best': 49.68116666666666, 'xsmm_reference_cpu_freq': 2.499877, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 94.05703333333334, 'M_BLOCKING=12_best': 94.05703333333334, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 92.00993333333332, 'M_BLOCKING=16_best': 92.00993333333332, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 89.68296666666667, 'M_BLOCKING=1_best': 89.68296666666667, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 89.76863333333334, 'M_BLOCKING=2_best': 89.76863333333334, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 94.2707, 'M_BLOCKING=3_best': 94.2707, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 95.06773333333334, 'M_BLOCKING=6_best': 95.06773333333334, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 81600, 'xsmm_reference_avg': 96.79903333333333, 'xsmm_reference_best': 96.79903333333333, 'xsmm_reference_cpu_freq': 2.499912, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 183.43269999999998, 'M_BLOCKING=12_best': 183.43269999999998, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 180.2181, 'M_BLOCKING=16_best': 180.2181, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 179.21790000000001, 'M_BLOCKING=1_best': 179.21790000000001, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 177.97323333333333, 'M_BLOCKING=2_best': 177.97323333333333, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 183.51726666666667, 'M_BLOCKING=3_best': 183.51726666666667, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 186.04973333333334, 'M_BLOCKING=6_best': 186.04973333333334, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 81600, 'xsmm_reference_avg': 174.94396666666668, 'xsmm_reference_best': 174.94396666666668, 'xsmm_reference_cpu_freq': 2.49997, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 11.227166666666669, 'M_BLOCKING=12_best': 11.227166666666669, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 11.562999999999999, 'M_BLOCKING=16_best': 11.562999999999999, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 11.181700000000001, 'M_BLOCKING=1_best': 11.181700000000001, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 11.1702, 'M_BLOCKING=2_best': 11.1702, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 11.2234, 'M_BLOCKING=3_best': 11.2234, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 11.182633333333333, 'M_BLOCKING=6_best': 11.182633333333333, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 81600, 'xsmm_reference_avg': 11.188033333333331, 'xsmm_reference_best': 11.188033333333331, 'xsmm_reference_cpu_freq': 2.499954, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 18.607833333333335, 'M_BLOCKING=12_best': 18.607833333333335, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 18.679, 'M_BLOCKING=16_best': 18.679, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 18.7508, 'M_BLOCKING=1_best': 18.7508, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 19.1687, 'M_BLOCKING=2_best': 19.1687, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 18.443366666666666, 'M_BLOCKING=3_best': 18.443366666666666, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 18.587300000000003, 'M_BLOCKING=6_best': 18.587300000000003, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 81600, 'xsmm_reference_avg': 19.761733333333332, 'xsmm_reference_best': 19.761733333333332, 'xsmm_reference_cpu_freq': 2.499884, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 32.82703333333333, 'M_BLOCKING=12_best': 32.82703333333333, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 32.16276666666667, 'M_BLOCKING=16_best': 32.16276666666667, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 31.314666666666668, 'M_BLOCKING=1_best': 31.314666666666668, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 31.411, 'M_BLOCKING=2_best': 31.411, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 30.819866666666666, 'M_BLOCKING=3_best': 30.819866666666666, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 31.016099999999998, 'M_BLOCKING=6_best': 31.016099999999998, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 81600, 'xsmm_reference_avg': 28.4506, 'xsmm_reference_best': 28.4506, 'xsmm_reference_cpu_freq': 2.4999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 53.3857, 'M_BLOCKING=12_best': 53.3857, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 51.97103333333333, 'M_BLOCKING=16_best': 51.97103333333333, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 49.450900000000004, 'M_BLOCKING=1_best': 49.450900000000004, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 49.292699999999996, 'M_BLOCKING=2_best': 49.292699999999996, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 51.3926, 'M_BLOCKING=3_best': 51.3926, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 51.450966666666666, 'M_BLOCKING=6_best': 51.450966666666666, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 81600, 'xsmm_reference_avg': 50.751066666666674, 'xsmm_reference_best': 50.751066666666674, 'xsmm_reference_cpu_freq': 2.499947, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 93.98859999999999, 'M_BLOCKING=12_best': 93.98859999999999, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 91.9389, 'M_BLOCKING=16_best': 91.9389, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 90.03916666666667, 'M_BLOCKING=1_best': 90.03916666666667, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 90.08553333333333, 'M_BLOCKING=2_best': 90.08553333333333, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 94.34476666666666, 'M_BLOCKING=3_best': 94.34476666666666, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 94.74463333333333, 'M_BLOCKING=6_best': 94.74463333333333, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 81600, 'xsmm_reference_avg': 89.86473333333333, 'xsmm_reference_best': 89.86473333333333, 'xsmm_reference_cpu_freq': 2.499935, 'xsmm_reference_kernel_type': 'sparse'}
