{'N_BLOCKING=1_avg': 4.236866666666667, 'N_BLOCKING=1_best': 4.236866666666667, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 4.1367666666666665, 'N_BLOCKING=2_best': 4.1367666666666665, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 4.126, 'N_BLOCKING=3_best': 4.126, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 33600, 'xsmm_reference_avg': 4.23, 'xsmm_reference_best': 4.23, 'xsmm_reference_cpu_freq': 2.9999, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 6.404466666666666, 'N_BLOCKING=1_best': 6.404466666666666, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 6.373, 'N_BLOCKING=2_best': 6.373, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 6.498066666666667, 'N_BLOCKING=3_best': 6.498066666666667, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 33600, 'xsmm_reference_avg': 6.2957, 'xsmm_reference_best': 6.2957, 'xsmm_reference_cpu_freq': 2.999878, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 10.014833333333334, 'N_BLOCKING=1_best': 10.014833333333334, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 10.043700000000001, 'N_BLOCKING=2_best': 10.043700000000001, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 9.697966666666668, 'N_BLOCKING=3_best': 9.697966666666668, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 33600, 'xsmm_reference_avg': 10.2805, 'xsmm_reference_best': 10.2805, 'xsmm_reference_cpu_freq': 2.999948, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 17.929466666666666, 'N_BLOCKING=1_best': 17.929466666666666, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 19.5296, 'N_BLOCKING=2_best': 19.5296, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 17.87366666666667, 'N_BLOCKING=3_best': 17.87366666666667, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 33600, 'xsmm_reference_avg': 18.1823, 'xsmm_reference_best': 18.1823, 'xsmm_reference_cpu_freq': 2.999878, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 33.0984, 'N_BLOCKING=1_best': 33.0984, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 38.92176666666667, 'N_BLOCKING=2_best': 38.92176666666667, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 36.9373, 'N_BLOCKING=3_best': 36.9373, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 33600, 'xsmm_reference_avg': 36.516533333333335, 'xsmm_reference_best': 36.516533333333335, 'xsmm_reference_cpu_freq': 2.999939, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 68.01713333333333, 'N_BLOCKING=1_best': 68.01713333333333, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 80.3639, 'N_BLOCKING=2_best': 80.3639, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 77.46866666666666, 'N_BLOCKING=3_best': 77.46866666666666, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 33600, 'xsmm_reference_avg': 66.2976, 'xsmm_reference_best': 66.2976, 'xsmm_reference_cpu_freq': 2.999899, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 4.3435999999999995, 'N_BLOCKING=1_best': 4.3435999999999995, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 4.259033333333333, 'N_BLOCKING=2_best': 4.259033333333333, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 4.251799999999999, 'N_BLOCKING=3_best': 4.251799999999999, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 33600, 'xsmm_reference_avg': 4.275366666666667, 'xsmm_reference_best': 4.275366666666667, 'xsmm_reference_cpu_freq': 2.999903, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 6.433400000000001, 'N_BLOCKING=1_best': 6.433400000000001, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 6.7748333333333335, 'N_BLOCKING=2_best': 6.7748333333333335, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 6.740399999999999, 'N_BLOCKING=3_best': 6.740399999999999, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 33600, 'xsmm_reference_avg': 6.737766666666667, 'xsmm_reference_best': 6.737766666666667, 'xsmm_reference_cpu_freq': 2.999933, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 10.9335, 'N_BLOCKING=1_best': 10.9335, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 10.117366666666667, 'N_BLOCKING=2_best': 10.117366666666667, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 9.125733333333333, 'N_BLOCKING=3_best': 9.125733333333333, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 33600, 'xsmm_reference_avg': 9.9297, 'xsmm_reference_best': 9.9297, 'xsmm_reference_cpu_freq': 2.999873, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 17.285533333333333, 'N_BLOCKING=1_best': 17.285533333333333, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 19.286033333333332, 'N_BLOCKING=2_best': 19.286033333333332, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 18.5143, 'N_BLOCKING=3_best': 18.5143, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 33600, 'xsmm_reference_avg': 18.344366666666666, 'xsmm_reference_best': 18.344366666666666, 'xsmm_reference_cpu_freq': 2.999962, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 33.021766666666664, 'N_BLOCKING=1_best': 33.021766666666664, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 38.668, 'N_BLOCKING=2_best': 38.668, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 37.00393333333333, 'N_BLOCKING=3_best': 37.00393333333333, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 33600, 'xsmm_reference_avg': 33.09843333333333, 'xsmm_reference_best': 33.09843333333333, 'xsmm_reference_cpu_freq': 2.999962, 'xsmm_reference_kernel_type': 'sparse'}
