{'N_BLOCKING=1_avg': 10.376399999999999, 'N_BLOCKING=1_best': 10.376399999999999, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 10.137066666666666, 'N_BLOCKING=2_best': 10.137066666666666, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 10.254433333333333, 'N_BLOCKING=3_best': 10.254433333333333, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 81600, 'xsmm_reference_avg': 10.332300000000002, 'xsmm_reference_best': 10.332300000000002, 'xsmm_reference_cpu_freq': 2.999902, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 17.832333333333334, 'N_BLOCKING=1_best': 17.832333333333334, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 18.266133333333332, 'N_BLOCKING=2_best': 18.266133333333332, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 17.651266666666668, 'N_BLOCKING=3_best': 17.651266666666668, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 81600, 'xsmm_reference_avg': 17.752133333333337, 'xsmm_reference_best': 17.752133333333337, 'xsmm_reference_cpu_freq': 2.9999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 27.6415, 'N_BLOCKING=1_best': 27.6415, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 26.936933333333332, 'N_BLOCKING=2_best': 26.936933333333332, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 24.937833333333334, 'N_BLOCKING=3_best': 24.937833333333334, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 81600, 'xsmm_reference_avg': 27.6356, 'xsmm_reference_best': 27.6356, 'xsmm_reference_cpu_freq': 2.999878, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 45.414, 'N_BLOCKING=1_best': 45.414, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 47.245133333333335, 'N_BLOCKING=2_best': 47.245133333333335, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 45.13700000000001, 'N_BLOCKING=3_best': 45.13700000000001, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 81600, 'xsmm_reference_avg': 45.53380000000001, 'xsmm_reference_best': 45.53380000000001, 'xsmm_reference_cpu_freq': 2.999928, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 80.92733333333334, 'N_BLOCKING=1_best': 80.92733333333334, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 93.0172, 'N_BLOCKING=2_best': 93.0172, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 89.25323333333333, 'N_BLOCKING=3_best': 89.25323333333333, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 81600, 'xsmm_reference_avg': 89.9343, 'xsmm_reference_best': 89.9343, 'xsmm_reference_cpu_freq': 2.999955, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 162.3537, 'N_BLOCKING=1_best': 162.3537, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 191.08843333333334, 'N_BLOCKING=2_best': 191.08843333333334, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 184.08193333333332, 'N_BLOCKING=3_best': 184.08193333333332, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 81600, 'xsmm_reference_avg': 159.94106666666667, 'xsmm_reference_best': 159.94106666666667, 'xsmm_reference_cpu_freq': 2.999935, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 10.5863, 'N_BLOCKING=1_best': 10.5863, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 10.427133333333334, 'N_BLOCKING=2_best': 10.427133333333334, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 10.464033333333333, 'N_BLOCKING=3_best': 10.464033333333333, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 81600, 'xsmm_reference_avg': 10.5917, 'xsmm_reference_best': 10.5917, 'xsmm_reference_cpu_freq': 2.999911, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 16.929633333333335, 'N_BLOCKING=1_best': 16.929633333333335, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 18.279333333333334, 'N_BLOCKING=2_best': 18.279333333333334, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 17.439666666666668, 'N_BLOCKING=3_best': 17.439666666666668, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 81600, 'xsmm_reference_avg': 17.152533333333334, 'xsmm_reference_best': 17.152533333333334, 'xsmm_reference_cpu_freq': 2.999903, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 27.9979, 'N_BLOCKING=1_best': 27.9979, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 26.6599, 'N_BLOCKING=2_best': 26.6599, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 24.48793333333333, 'N_BLOCKING=3_best': 24.48793333333333, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 81600, 'xsmm_reference_avg': 26.197533333333332, 'xsmm_reference_best': 26.197533333333332, 'xsmm_reference_cpu_freq': 2.999828, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 45.458999999999996, 'N_BLOCKING=1_best': 45.458999999999996, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 49.080666666666666, 'N_BLOCKING=2_best': 49.080666666666666, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 45.707166666666666, 'N_BLOCKING=3_best': 45.707166666666666, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 81600, 'xsmm_reference_avg': 47.5718, 'xsmm_reference_best': 47.5718, 'xsmm_reference_cpu_freq': 2.999959, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 81.361, 'N_BLOCKING=1_best': 81.361, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 93.4857, 'N_BLOCKING=2_best': 93.4857, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 89.56196666666666, 'N_BLOCKING=3_best': 89.56196666666666, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 81600, 'xsmm_reference_avg': 81.35016666666667, 'xsmm_reference_best': 81.35016666666667, 'xsmm_reference_cpu_freq': 2.999966, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 162.67573333333334, 'N_BLOCKING=1_best': 162.67573333333334, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 190.62460000000002, 'N_BLOCKING=2_best': 190.62460000000002, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 184.06383333333332, 'N_BLOCKING=3_best': 184.06383333333332, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_1024_p_0.05_uniq_64.txt', 'size_n': 81600, 'xsmm_reference_avg': 1191.4819666666667, 'xsmm_reference_best': 1191.4819666666667, 'xsmm_reference_cpu_freq': 2.999935, 'xsmm_reference_kernel_type': 'dense'}
