{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 9000000, 'speedup_avg_over_ref': 1.0133744506044768, 'speedup_best_over_ref': 1.0133744506044768, 'xsmm_custom_avg': 264.60900000000004, 'xsmm_custom_best': 264.60900000000004, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 268.148, 'xsmm_reference_best': 268.148, 'xsmm_reference_cpu_freq': 2.999893, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 9000000, 'speedup_avg_over_ref': 1.0043682200925483, 'speedup_best_over_ref': 1.0043682200925483, 'xsmm_custom_avg': 158.188, 'xsmm_custom_best': 158.188, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 158.87900000000002, 'xsmm_reference_best': 158.87900000000002, 'xsmm_reference_cpu_freq': 2.999891, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 6000000, 'speedup_avg_over_ref': 0.9371758786459761, 'speedup_best_over_ref': 0.9371758786459761, 'xsmm_custom_avg': 200.735, 'xsmm_custom_best': 200.735, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 188.12400000000002, 'xsmm_reference_best': 188.12400000000002, 'xsmm_reference_cpu_freq': 2.999878, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 9000000, 'speedup_avg_over_ref': 1.003172195892575, 'speedup_best_over_ref': 1.003172195892575, 'xsmm_custom_avg': 158.25, 'xsmm_custom_best': 158.25, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 158.752, 'xsmm_reference_best': 158.752, 'xsmm_reference_cpu_freq': 2.999938, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 9000000, 'speedup_avg_over_ref': 0.985967718481896, 'speedup_best_over_ref': 0.985967718481896, 'xsmm_custom_avg': 261.326, 'xsmm_custom_best': 261.326, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 257.659, 'xsmm_reference_best': 257.659, 'xsmm_reference_cpu_freq': 2.999881, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 3555552, 'speedup_avg_over_ref': 0.9786224266772131, 'speedup_best_over_ref': 0.9786224266772131, 'xsmm_custom_avg': 240.205, 'xsmm_custom_best': 240.205, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 235.07, 'xsmm_reference_best': 235.07, 'xsmm_reference_cpu_freq': 2.99987, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 3555552, 'speedup_avg_over_ref': 1.1115782759569077, 'speedup_best_over_ref': 1.1115782759569077, 'xsmm_custom_avg': 341.778, 'xsmm_custom_best': 341.778, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 379.913, 'xsmm_reference_best': 379.913, 'xsmm_reference_cpu_freq': 2.99994, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 2133312, 'speedup_avg_over_ref': 1.0464590733428294, 'speedup_best_over_ref': 1.0464590733428294, 'xsmm_custom_avg': 332.766, 'xsmm_custom_best': 332.766, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 348.226, 'xsmm_reference_best': 348.226, 'xsmm_reference_cpu_freq': 2.999879, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 2666640, 'speedup_avg_over_ref': 1.1339274010073321, 'speedup_best_over_ref': 1.1339274010073321, 'xsmm_custom_avg': 343.283, 'xsmm_custom_best': 343.283, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 389.25800000000004, 'xsmm_reference_best': 389.25800000000004, 'xsmm_reference_cpu_freq': 2.999879, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 2666640, 'speedup_avg_over_ref': 0.9966429188255616, 'speedup_best_over_ref': 0.9966429188255616, 'xsmm_custom_avg': 277.91999999999996, 'xsmm_custom_best': 277.91999999999996, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 276.987, 'xsmm_reference_best': 276.987, 'xsmm_reference_cpu_freq': 2.99991, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 3555552, 'speedup_avg_over_ref': 1.0011207094316348, 'speedup_best_over_ref': 1.0011207094316348, 'xsmm_custom_avg': 265.903, 'xsmm_custom_best': 265.903, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 266.201, 'xsmm_reference_best': 266.201, 'xsmm_reference_cpu_freq': 2.999907, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m3.txt', 'size_n': 3555552, 'speedup_avg_over_ref': 1.1120509381022394, 'speedup_best_over_ref': 1.1120509381022394, 'xsmm_custom_avg': 341.43399999999997, 'xsmm_custom_best': 341.43399999999997, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 379.692, 'xsmm_reference_best': 379.692, 'xsmm_reference_cpu_freq': 2.999891, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m6.txt', 'size_n': 2133312, 'speedup_avg_over_ref': 1.0445065093022208, 'speedup_best_over_ref': 1.0445065093022208, 'xsmm_custom_avg': 332.985, 'xsmm_custom_best': 332.985, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 347.805, 'xsmm_reference_best': 347.805, 'xsmm_reference_cpu_freq': 2.999854, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m132.txt', 'size_n': 2666640, 'speedup_avg_over_ref': 1.1372660865516138, 'speedup_best_over_ref': 1.1372660865516138, 'xsmm_custom_avg': 343.61, 'xsmm_custom_best': 343.61, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 390.776, 'xsmm_reference_best': 390.776, 'xsmm_reference_cpu_freq': 2.999905, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m460.txt', 'size_n': 2666640, 'speedup_avg_over_ref': 0.9876740634264668, 'speedup_best_over_ref': 0.9876740634264668, 'xsmm_custom_avg': 278.275, 'xsmm_custom_best': 278.275, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 274.845, 'xsmm_reference_best': 274.845, 'xsmm_reference_cpu_freq': 2.999938, 'xsmm_reference_kernel_type': 'wide-sparse'}
