{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 24000, 'speedup_avg_over_ref': 1.0860515319528201, 'speedup_best_over_ref': 1.0860515319528201, 'xsmm_custom_avg': 0.691144, 'xsmm_custom_best': 0.691144, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.7506179999999999, 'xsmm_reference_best': 0.7506179999999999, 'xsmm_reference_cpu_freq': 2.999908, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 24000, 'speedup_avg_over_ref': 1.097832092937589, 'speedup_best_over_ref': 1.097832092937589, 'xsmm_custom_avg': 0.293186, 'xsmm_custom_best': 0.293186, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.321869, 'xsmm_reference_best': 0.321869, 'xsmm_reference_cpu_freq': 2.99986, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 24000, 'speedup_avg_over_ref': 1.0229905974279758, 'speedup_best_over_ref': 1.0229905974279758, 'xsmm_custom_avg': 0.714379, 'xsmm_custom_best': 0.714379, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.730803, 'xsmm_reference_best': 0.730803, 'xsmm_reference_cpu_freq': 2.999862, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 24000, 'speedup_avg_over_ref': 1.0954492237563132, 'speedup_best_over_ref': 1.0954492237563132, 'xsmm_custom_avg': 0.28869799999999995, 'xsmm_custom_best': 0.28869799999999995, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.31625400000000004, 'xsmm_reference_best': 0.31625400000000004, 'xsmm_reference_cpu_freq': 2.99989, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 24000, 'speedup_avg_over_ref': 1.0298690006258124, 'speedup_best_over_ref': 1.0298690006258124, 'xsmm_custom_avg': 0.664736, 'xsmm_custom_best': 0.664736, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.6845910000000001, 'xsmm_reference_best': 0.6845910000000001, 'xsmm_reference_cpu_freq': 2.999863, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 24000, 'speedup_avg_over_ref': 1.0348912035057014, 'speedup_best_over_ref': 1.0348912035057014, 'xsmm_custom_avg': 1.5198099999999999, 'xsmm_custom_best': 1.5198099999999999, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.572838, 'xsmm_reference_best': 1.572838, 'xsmm_reference_cpu_freq': 2.999887, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 24000, 'speedup_avg_over_ref': 1.0586014343959393, 'speedup_best_over_ref': 1.0586014343959393, 'xsmm_custom_avg': 1.183913, 'xsmm_custom_best': 1.183913, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.2532919999999999, 'xsmm_reference_best': 1.2532919999999999, 'xsmm_reference_cpu_freq': 2.999916, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 24000, 'speedup_avg_over_ref': 1.0089366939185125, 'speedup_best_over_ref': 1.0089366939185125, 'xsmm_custom_avg': 2.685445, 'xsmm_custom_best': 2.685445, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.709444, 'xsmm_reference_best': 2.709444, 'xsmm_reference_cpu_freq': 2.999921, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 24000, 'speedup_avg_over_ref': 0.9914937795135192, 'speedup_best_over_ref': 0.9914937795135192, 'xsmm_custom_avg': 1.7386100000000002, 'xsmm_custom_best': 1.7386100000000002, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.7238209999999998, 'xsmm_reference_best': 1.7238209999999998, 'xsmm_reference_cpu_freq': 2.999899, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 24000, 'speedup_avg_over_ref': 1.0844253460529092, 'speedup_best_over_ref': 1.0844253460529092, 'xsmm_custom_avg': 2.265694, 'xsmm_custom_best': 2.265694, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.456976, 'xsmm_reference_best': 2.456976, 'xsmm_reference_cpu_freq': 2.999892, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 24000, 'speedup_avg_over_ref': 1.0823774894046472, 'speedup_best_over_ref': 1.0823774894046472, 'xsmm_custom_avg': 1.539826, 'xsmm_custom_best': 1.539826, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.666673, 'xsmm_reference_best': 1.666673, 'xsmm_reference_cpu_freq': 2.999916, 'xsmm_reference_kernel_type': 'wide-sparse'}
