{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 96000, 'speedup_avg_over_ref': 1.0326914337440654, 'speedup_best_over_ref': 1.0326914337440654, 'xsmm_custom_avg': 2.70655, 'xsmm_custom_best': 2.70655, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.795031, 'xsmm_reference_best': 2.795031, 'xsmm_reference_cpu_freq': 2.999928, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 96000, 'speedup_avg_over_ref': 1.1579510955553696, 'speedup_best_over_ref': 1.1579510955553696, 'xsmm_custom_avg': 1.206557, 'xsmm_custom_best': 1.206557, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.397134, 'xsmm_reference_best': 1.397134, 'xsmm_reference_cpu_freq': 2.999916, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 96000, 'speedup_avg_over_ref': 1.0431231095445093, 'speedup_best_over_ref': 1.0431231095445093, 'xsmm_custom_avg': 2.91927, 'xsmm_custom_best': 2.91927, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 3.045158, 'xsmm_reference_best': 3.045158, 'xsmm_reference_cpu_freq': 2.99992, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 96000, 'speedup_avg_over_ref': 1.092565169416172, 'speedup_best_over_ref': 1.092565169416172, 'xsmm_custom_avg': 1.2134909999999999, 'xsmm_custom_best': 1.2134909999999999, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.325818, 'xsmm_reference_best': 1.325818, 'xsmm_reference_cpu_freq': 2.999871, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 96000, 'speedup_avg_over_ref': 1.0150623671789447, 'speedup_best_over_ref': 1.0150623671789447, 'xsmm_custom_avg': 2.693003, 'xsmm_custom_best': 2.693003, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.7335659999999997, 'xsmm_reference_best': 2.7335659999999997, 'xsmm_reference_cpu_freq': 2.999892, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 96000, 'speedup_avg_over_ref': 1.0116926050977435, 'speedup_best_over_ref': 1.0116926050977435, 'xsmm_custom_avg': 6.215809, 'xsmm_custom_best': 6.215809, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 6.288488, 'xsmm_reference_best': 6.288488, 'xsmm_reference_cpu_freq': 2.999871, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 96000, 'speedup_avg_over_ref': 0.9195954186201436, 'speedup_best_over_ref': 0.9195954186201436, 'xsmm_custom_avg': 10.506267, 'xsmm_custom_best': 10.506267, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 9.661515, 'xsmm_reference_best': 9.661515, 'xsmm_reference_cpu_freq': 2.999913, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 96000, 'speedup_avg_over_ref': 0.9873434222879967, 'speedup_best_over_ref': 0.9873434222879967, 'xsmm_custom_avg': 15.71025, 'xsmm_custom_best': 15.71025, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 15.511412, 'xsmm_reference_best': 15.511412, 'xsmm_reference_cpu_freq': 2.999887, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 96000, 'speedup_avg_over_ref': 0.9904728241860022, 'speedup_best_over_ref': 0.9904728241860022, 'xsmm_custom_avg': 13.840303, 'xsmm_custom_best': 13.840303, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 13.708444, 'xsmm_reference_best': 13.708444, 'xsmm_reference_cpu_freq': 2.999918, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 96000, 'speedup_avg_over_ref': 1.0473927356652204, 'speedup_best_over_ref': 1.0473927356652204, 'xsmm_custom_avg': 9.730774, 'xsmm_custom_best': 9.730774, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 10.191942, 'xsmm_reference_best': 10.191942, 'xsmm_reference_cpu_freq': 2.999903, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 96000, 'speedup_avg_over_ref': 1.1082717654690009, 'speedup_best_over_ref': 1.1082717654690009, 'xsmm_custom_avg': 6.672312, 'xsmm_custom_best': 6.672312, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 7.394735, 'xsmm_reference_best': 7.394735, 'xsmm_reference_cpu_freq': 2.99987, 'xsmm_reference_kernel_type': 'sparse'}
