{'N_BLOCKING=1_avg': 2.7029859999999997, 'N_BLOCKING=1_best': 2.7029859999999997, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 2.66049, 'N_BLOCKING=2_best': 2.66049, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 2.660491, 'N_BLOCKING=3_best': 2.660491, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 96000, 'xsmm_reference_avg': 2.783442, 'xsmm_reference_best': 2.783442, 'xsmm_reference_cpu_freq': 2.999952, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 1.215086, 'N_BLOCKING=1_best': 1.215086, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 1.231165, 'N_BLOCKING=2_best': 1.231165, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 1.28472, 'N_BLOCKING=3_best': 1.28472, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 96000, 'xsmm_reference_avg': 1.321335, 'xsmm_reference_best': 1.321335, 'xsmm_reference_cpu_freq': 2.999894, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 2.8926239999999996, 'N_BLOCKING=1_best': 2.8926239999999996, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 2.890043, 'N_BLOCKING=2_best': 2.890043, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 2.93109, 'N_BLOCKING=3_best': 2.93109, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 96000, 'xsmm_reference_avg': 3.038554, 'xsmm_reference_best': 3.038554, 'xsmm_reference_cpu_freq': 2.99992, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 1.204456, 'N_BLOCKING=1_best': 1.204456, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 1.22801, 'N_BLOCKING=2_best': 1.22801, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 1.28797, 'N_BLOCKING=3_best': 1.28797, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 96000, 'xsmm_reference_avg': 1.321717, 'xsmm_reference_best': 1.321717, 'xsmm_reference_cpu_freq': 2.999873, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 2.6903699999999997, 'N_BLOCKING=1_best': 2.6903699999999997, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 2.655141, 'N_BLOCKING=2_best': 2.655141, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 2.663524, 'N_BLOCKING=3_best': 2.663524, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 96000, 'xsmm_reference_avg': 2.7363519999999997, 'xsmm_reference_best': 2.7363519999999997, 'xsmm_reference_cpu_freq': 2.999904, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 6.195397, 'N_BLOCKING=1_best': 6.195397, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 6.16943, 'N_BLOCKING=2_best': 6.16943, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 6.232662, 'N_BLOCKING=3_best': 6.232662, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 96000, 'xsmm_reference_avg': 6.2940760000000004, 'xsmm_reference_best': 6.2940760000000004, 'xsmm_reference_cpu_freq': 2.999911, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 10.58391, 'N_BLOCKING=1_best': 10.58391, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 10.023315, 'N_BLOCKING=2_best': 10.023315, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 10.211836, 'N_BLOCKING=3_best': 10.211836, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 96000, 'xsmm_reference_avg': 9.662113999999999, 'xsmm_reference_best': 9.662113999999999, 'xsmm_reference_cpu_freq': 2.999926, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 15.639931, 'N_BLOCKING=1_best': 15.639931, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 15.494352999999998, 'N_BLOCKING=2_best': 15.494352999999998, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 15.836566000000001, 'N_BLOCKING=3_best': 15.836566000000001, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 96000, 'xsmm_reference_avg': 15.264408, 'xsmm_reference_best': 15.264408, 'xsmm_reference_cpu_freq': 2.999894, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 13.722569, 'N_BLOCKING=1_best': 13.722569, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 13.920116, 'N_BLOCKING=2_best': 13.920116, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 14.1052, 'N_BLOCKING=3_best': 14.1052, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 96000, 'xsmm_reference_avg': 13.686205, 'xsmm_reference_best': 13.686205, 'xsmm_reference_cpu_freq': 2.9999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 9.685065, 'N_BLOCKING=1_best': 9.685065, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 9.923661, 'N_BLOCKING=2_best': 9.923661, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 10.030686, 'N_BLOCKING=3_best': 10.030686, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 96000, 'xsmm_reference_avg': 10.358685, 'xsmm_reference_best': 10.358685, 'xsmm_reference_cpu_freq': 2.999916, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 6.659036, 'N_BLOCKING=1_best': 6.659036, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 6.796197, 'N_BLOCKING=2_best': 6.796197, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 6.940751000000001, 'N_BLOCKING=3_best': 6.940751000000001, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 96000, 'xsmm_reference_avg': 7.401537, 'xsmm_reference_best': 7.401537, 'xsmm_reference_cpu_freq': 2.999827, 'xsmm_reference_kernel_type': 'sparse'}
