{'N_BLOCKING=1_avg': 343.993, 'N_BLOCKING=1_best': 343.993, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 394.03700000000003, 'N_BLOCKING=2_best': 394.03700000000003, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 384.332, 'N_BLOCKING=3_best': 384.332, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m3.txt', 'size_n': 3555552, 'xsmm_reference_avg': 378.985, 'xsmm_reference_best': 378.985, 'xsmm_reference_cpu_freq': 2.999886, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 334.048, 'N_BLOCKING=1_best': 334.048, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 357.313, 'N_BLOCKING=2_best': 357.313, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 353.977, 'N_BLOCKING=3_best': 353.977, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m6.txt', 'size_n': 2133312, 'xsmm_reference_avg': 333.26, 'xsmm_reference_best': 333.26, 'xsmm_reference_cpu_freq': 2.999907, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 343.721, 'N_BLOCKING=1_best': 343.721, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 394.743, 'N_BLOCKING=2_best': 394.743, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 376.713, 'N_BLOCKING=3_best': 376.713, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m132.txt', 'size_n': 2666640, 'xsmm_reference_avg': 390.226, 'xsmm_reference_best': 390.226, 'xsmm_reference_cpu_freq': 2.999901, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 276.148, 'N_BLOCKING=1_best': 276.148, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 269.209, 'N_BLOCKING=2_best': 269.209, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 268.994, 'N_BLOCKING=3_best': 268.994, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m460.txt', 'size_n': 2666640, 'xsmm_reference_avg': 275.37, 'xsmm_reference_best': 275.37, 'xsmm_reference_cpu_freq': 2.999855, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 315.362, 'N_BLOCKING=1_best': 315.362, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 319.513, 'N_BLOCKING=2_best': 319.513, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 319.127, 'N_BLOCKING=3_best': 319.127, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m0.txt', 'size_n': 1800000, 'xsmm_reference_avg': 316.395, 'xsmm_reference_best': 316.395, 'xsmm_reference_cpu_freq': 2.999918, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 348.33299999999997, 'N_BLOCKING=1_best': 348.33299999999997, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 399.256, 'N_BLOCKING=2_best': 399.256, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 392.212, 'N_BLOCKING=3_best': 392.212, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m3.txt', 'size_n': 1800000, 'xsmm_reference_avg': 405.392, 'xsmm_reference_best': 405.392, 'xsmm_reference_cpu_freq': 2.999891, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 335.057, 'N_BLOCKING=1_best': 335.057, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 359.181, 'N_BLOCKING=2_best': 359.181, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 341.847, 'N_BLOCKING=3_best': 341.847, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m6.txt', 'size_n': 999984, 'xsmm_reference_avg': 356.35699999999997, 'xsmm_reference_best': 356.35699999999997, 'xsmm_reference_cpu_freq': 2.999882, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 350.896, 'N_BLOCKING=1_best': 350.896, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 410.795, 'N_BLOCKING=2_best': 410.795, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 389.14700000000005, 'N_BLOCKING=3_best': 389.14700000000005, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m132.txt', 'size_n': 1124976, 'xsmm_reference_avg': 429.34000000000003, 'xsmm_reference_best': 429.34000000000003, 'xsmm_reference_cpu_freq': 2.999889, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 354.259, 'N_BLOCKING=1_best': 354.259, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 358.71900000000005, 'N_BLOCKING=2_best': 358.71900000000005, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 367.246, 'N_BLOCKING=3_best': 367.246, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m460.txt', 'size_n': 1124976, 'xsmm_reference_avg': 357.062, 'xsmm_reference_best': 357.062, 'xsmm_reference_cpu_freq': 2.999935, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 359.39099999999996, 'N_BLOCKING=1_best': 359.39099999999996, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 349.209, 'N_BLOCKING=2_best': 349.209, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 339.248, 'N_BLOCKING=3_best': 339.248, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m0.txt', 'size_n': 1800000, 'xsmm_reference_avg': 370.454, 'xsmm_reference_best': 370.454, 'xsmm_reference_cpu_freq': 2.999929, 'xsmm_reference_kernel_type': 'sparse'}
