{'N_BLOCKING=1_avg': 263.691, 'N_BLOCKING=1_best': 263.691, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 257.835, 'N_BLOCKING=2_best': 257.835, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 260.65, 'N_BLOCKING=3_best': 260.65, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 9000000, 'xsmm_reference_avg': 258.409, 'xsmm_reference_best': 258.409, 'xsmm_reference_cpu_freq': 2.999858, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 157.82000000000005, 'N_BLOCKING=1_best': 157.82000000000005, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 158.329, 'N_BLOCKING=2_best': 158.329, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 159.252, 'N_BLOCKING=3_best': 159.252, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 9000000, 'xsmm_reference_avg': 159.166, 'xsmm_reference_best': 159.166, 'xsmm_reference_cpu_freq': 2.999866, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 199.90200000000004, 'N_BLOCKING=1_best': 199.90200000000004, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 186.713, 'N_BLOCKING=2_best': 186.713, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 192.825, 'N_BLOCKING=3_best': 192.825, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 6000000, 'xsmm_reference_avg': 188.346, 'xsmm_reference_best': 188.346, 'xsmm_reference_cpu_freq': 2.999862, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 157.946, 'N_BLOCKING=1_best': 157.946, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 158.958, 'N_BLOCKING=2_best': 158.958, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 159.488, 'N_BLOCKING=3_best': 159.488, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 9000000, 'xsmm_reference_avg': 159.093, 'xsmm_reference_best': 159.093, 'xsmm_reference_cpu_freq': 2.99991, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 261.307, 'N_BLOCKING=1_best': 261.307, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 257.257, 'N_BLOCKING=2_best': 257.257, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 258.651, 'N_BLOCKING=3_best': 258.651, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 9000000, 'xsmm_reference_avg': 257.53, 'xsmm_reference_best': 257.53, 'xsmm_reference_cpu_freq': 2.999907, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 239.438, 'N_BLOCKING=1_best': 239.438, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 235.37699999999995, 'N_BLOCKING=2_best': 235.37699999999995, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 234.666, 'N_BLOCKING=3_best': 234.666, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 3555552, 'xsmm_reference_avg': 240.966, 'xsmm_reference_best': 240.966, 'xsmm_reference_cpu_freq': 2.999903, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 341.962, 'N_BLOCKING=1_best': 341.962, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 390.089, 'N_BLOCKING=2_best': 390.089, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 380.97400000000005, 'N_BLOCKING=3_best': 380.97400000000005, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 3555552, 'xsmm_reference_avg': 382.618, 'xsmm_reference_best': 382.618, 'xsmm_reference_cpu_freq': 2.99986, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 332.427, 'N_BLOCKING=1_best': 332.427, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 354.323, 'N_BLOCKING=2_best': 354.323, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 351.91999999999996, 'N_BLOCKING=3_best': 351.91999999999996, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 2133312, 'xsmm_reference_avg': 348.80899999999997, 'xsmm_reference_best': 348.80899999999997, 'xsmm_reference_cpu_freq': 2.999909, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 343.677, 'N_BLOCKING=1_best': 343.677, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 396.534, 'N_BLOCKING=2_best': 396.534, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 376.76, 'N_BLOCKING=3_best': 376.76, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 2666640, 'xsmm_reference_avg': 388.13599999999997, 'xsmm_reference_best': 388.13599999999997, 'xsmm_reference_cpu_freq': 2.999887, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 276.42100000000005, 'N_BLOCKING=1_best': 276.42100000000005, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 273.543, 'N_BLOCKING=2_best': 273.543, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 270.759, 'N_BLOCKING=3_best': 270.759, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 2666640, 'xsmm_reference_avg': 268.411, 'xsmm_reference_best': 268.411, 'xsmm_reference_cpu_freq': 2.999913, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 265.629, 'N_BLOCKING=1_best': 265.629, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 250.42499999999995, 'N_BLOCKING=2_best': 250.42499999999995, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 250.982, 'N_BLOCKING=3_best': 250.982, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 3555552, 'xsmm_reference_avg': 251.91600000000005, 'xsmm_reference_best': 251.91600000000005, 'xsmm_reference_cpu_freq': 2.999837, 'xsmm_reference_kernel_type': 'wide-sparse'}
