{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre/m6.txt', 'speedup_avg_over_ref': 1.0016624928975781, 'speedup_best_over_ref': 0.9924708884989633, 'xsmm_custom_avg': 31.679333333333336, 'xsmm_custom_best': 31.345, 'xsmm_reference_avg': 31.73200000000001, 'xsmm_reference_best': 31.109}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre/m132.txt', 'speedup_avg_over_ref': 1.0013197170421024, 'speedup_best_over_ref': 0.9984516779490135, 'xsmm_custom_avg': 28.399395833333344, 'xsmm_custom_best': 27.772, 'xsmm_reference_avg': 28.436875000000004, 'xsmm_reference_best': 27.729}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre/m460.txt', 'speedup_avg_over_ref': 1.016735972328212, 'speedup_best_over_ref': 1.014077012383901, 'xsmm_custom_avg': 20.911791666666666, 'xsmm_custom_best': 20.672, 'xsmm_reference_avg': 21.261770833333333, 'xsmm_reference_best': 20.963}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre-lobatto/m0.txt', 'speedup_avg_over_ref': 1.0089228708157074, 'speedup_best_over_ref': 1.0029656870013939, 'xsmm_custom_avg': 34.522708333333334, 'xsmm_custom_best': 33.719, 'xsmm_reference_avg': 34.830750000000016, 'xsmm_reference_best': 33.819}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre-lobatto/m3.txt', 'speedup_avg_over_ref': 1.020694999032704, 'speedup_best_over_ref': 1.015751161461827, 'xsmm_custom_avg': 40.70629166666668, 'xsmm_custom_best': 40.251, 'xsmm_reference_avg': 41.548708333333316, 'xsmm_reference_best': 40.885}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre-lobatto/m6.txt', 'speedup_avg_over_ref': 1.0042942098070362, 'speedup_best_over_ref': 1.0032326919507517, 'xsmm_custom_avg': 64.97120833333334, 'xsmm_custom_best': 64.652, 'xsmm_reference_avg': 65.25020833333333, 'xsmm_reference_best': 64.861}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre-lobatto/m132.txt', 'speedup_avg_over_ref': 1.0064887239001132, 'speedup_best_over_ref': 1.0064066812533068, 'xsmm_custom_avg': 70.26291666666667, 'xsmm_custom_best': 69.92700000000002, 'xsmm_reference_avg': 70.71883333333334, 'xsmm_reference_best': 70.375}
{'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre-lobatto/m460.txt', 'speedup_avg_over_ref': 1.0200518775012297, 'speedup_best_over_ref': 1.0194053895723492, 'xsmm_custom_avg': 55.009395833333336, 'xsmm_custom_best': 54.624, 'xsmm_reference_avg': 56.1124375, 'xsmm_reference_best': 55.684}
{'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre/m0.txt', 'speedup_avg_over_ref': 1.0020982078364908, 'speedup_best_over_ref': 1.0016023665721687, 'xsmm_custom_avg': 32.736270833333336, 'xsmm_custom_best': 32.452, 'xsmm_reference_avg': 32.804958333333325, 'xsmm_reference_best': 32.50400000000002}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre/m3.txt', 'speedup_avg_over_ref': 1.0007619331506314, 'speedup_best_over_ref': 1.0003952276264112, 'xsmm_custom_avg': 41.09612500000001, 'xsmm_custom_best': 40.483, 'xsmm_reference_avg': 41.1274375, 'xsmm_reference_best': 40.499}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre/m6.txt', 'speedup_avg_over_ref': 0.9982337372518425, 'speedup_best_over_ref': 1.0001392412896837, 'xsmm_custom_avg': 65.05025000000002, 'xsmm_custom_best': 64.636, 'xsmm_reference_avg': 64.93535416666668, 'xsmm_reference_best': 64.645}
{'a_cols': 192, 'a_nonzero': 768, 'a_rows': 64, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre/m132.txt', 'speedup_avg_over_ref': 0.9797608834944597, 'speedup_best_over_ref': 0.9764936623635139, 'xsmm_custom_avg': 68.70256250000001, 'xsmm_custom_best': 68.322, 'xsmm_reference_avg': 67.31208333333335, 'xsmm_reference_best': 66.716}
{'a_cols': 64, 'a_nonzero': 768, 'a_rows': 192, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre/m460.txt', 'speedup_avg_over_ref': 1.023895960680762, 'speedup_best_over_ref': 1.0244096481394425, 'xsmm_custom_avg': 55.69368750000002, 'xsmm_custom_best': 55.306, 'xsmm_reference_avg': 57.024541666666664, 'xsmm_reference_best': 56.656}
{'a_cols': 125, 'a_nonzero': 150, 'a_rows': 150, 'a_size': 18750, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.008, 'mat_file': 'data/example_mats_small/hex/p4/gauss-legendre-lobatto/m0.txt', 'speedup_avg_over_ref': 0.9955844908101373, 'speedup_best_over_ref': 0.992650937093428, 'xsmm_custom_avg': 57.3310625, 'xsmm_custom_best': 56.878, 'xsmm_reference_avg': 57.07791666666666, 'xsmm_reference_best': 56.46}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats_small/hex/p4/gauss-legendre-lobatto/m3.txt', 'speedup_avg_over_ref': 1.0081788395075717, 'speedup_best_over_ref': 1.0065929480492386, 'xsmm_custom_avg': 72.41502083333334, 'xsmm_custom_best': 71.895, 'xsmm_reference_avg': 73.00729166666665, 'xsmm_reference_best': 72.369}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'data/example_mats_small/hex/p4/gauss-legendre-lobatto/m6.txt', 'speedup_avg_over_ref': 1.0000731643126586, 'speedup_best_over_ref': 0.9994421246597806, 'xsmm_custom_avg': 118.73958333333337, 'xsmm_custom_best': 118.306, 'xsmm_reference_avg': 118.74827083333332, 'xsmm_reference_best': 118.24}
{'a_cols': 375, 'a_nonzero': 1650, 'a_rows': 125, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'data/example_mats_small/hex/p4/gauss-legendre-lobatto/m132.txt', 'speedup_avg_over_ref': 0.9996728396552141, 'speedup_best_over_ref': 0.9994942618167669, 'xsmm_custom_avg': 155.31375, 'xsmm_custom_best': 154.23000000000002, 'xsmm_reference_avg': 155.26293750000002, 'xsmm_reference_best': 154.152}
{'a_cols': 125, 'a_nonzero': 1650, 'a_rows': 375, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'data/example_mats_small/hex/p4/gauss-legendre-lobatto/m460.txt', 'speedup_avg_over_ref': 1.0000803021395825, 'speedup_best_over_ref': 0.999274198529866, 'xsmm_custom_avg': 131.0156041666667, 'xsmm_custom_best': 129.512, 'xsmm_reference_avg': 131.02612499999998, 'xsmm_reference_best': 129.418}
