{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m6.txt', 'speedup_avg_over_ref': 1.0344512658845164, 'speedup_best_over_ref': 1.041042279903666, 'xsmm_custom_avg': 30.544354166666665, 'xsmm_custom_best': 29.896, 'xsmm_reference_avg': 31.596645833333337, 'xsmm_reference_best': 31.123}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m132.txt', 'speedup_avg_over_ref': 0.9944151078755948, 'speedup_best_over_ref': 0.977533717311201, 'xsmm_custom_avg': 28.34283333333333, 'xsmm_custom_best': 27.953, 'xsmm_reference_avg': 28.18454166666667, 'xsmm_reference_best': 27.325}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m460.txt', 'speedup_avg_over_ref': 1.0128277097881833, 'speedup_best_over_ref': 1.0122612476185824, 'xsmm_custom_avg': 20.671395833333335, 'xsmm_custom_best': 20.471, 'xsmm_reference_avg': 20.936562499999997, 'xsmm_reference_best': 20.722}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m0.txt', 'speedup_avg_over_ref': 1.0056177801256714, 'speedup_best_over_ref': 1.0101839005815154, 'xsmm_custom_avg': 34.38858333333334, 'xsmm_custom_best': 33.877, 'xsmm_reference_avg': 34.58177083333333, 'xsmm_reference_best': 34.222}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m3.txt', 'speedup_avg_over_ref': 1.0013650006723513, 'speedup_best_over_ref': 1.0030496802754552, 'xsmm_custom_avg': 41.056145833333325, 'xsmm_custom_best': 40.66, 'xsmm_reference_avg': 41.112187499999976, 'xsmm_reference_best': 40.784}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m6.txt', 'speedup_avg_over_ref': 1.0259410692958435, 'speedup_best_over_ref': 1.0242215610835061, 'xsmm_custom_avg': 64.59352083333332, 'xsmm_custom_best': 64.199, 'xsmm_reference_avg': 66.26914583333333, 'xsmm_reference_best': 65.754}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m132.txt', 'speedup_avg_over_ref': 0.9986675657402637, 'speedup_best_over_ref': 0.9988550226821457, 'xsmm_custom_avg': 69.54689583333332, 'xsmm_custom_best': 68.997, 'xsmm_reference_avg': 69.45422916666668, 'xsmm_reference_best': 68.918}
{'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m460.txt', 'speedup_avg_over_ref': 1.0222372056181295, 'speedup_best_over_ref': 1.0218020271405373, 'xsmm_custom_avg': 53.91770833333333, 'xsmm_custom_best': 53.573, 'xsmm_reference_avg': 55.11668749999999, 'xsmm_reference_best': 54.741}
{'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m0.txt', 'speedup_avg_over_ref': 0.9962448047842628, 'speedup_best_over_ref': 1.0, 'xsmm_custom_avg': 32.160999999999994, 'xsmm_custom_best': 31.8, 'xsmm_reference_avg': 32.04022916666667, 'xsmm_reference_best': 31.8}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m3.txt', 'speedup_avg_over_ref': 1.0119839455127893, 'speedup_best_over_ref': 1.017437660364197, 'xsmm_custom_avg': 40.627270833333334, 'xsmm_custom_best': 40.143, 'xsmm_reference_avg': 41.11414583333333, 'xsmm_reference_best': 40.84299999999996}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m6.txt', 'speedup_avg_over_ref': 1.028764223467692, 'speedup_best_over_ref': 1.0275491113189896, 'xsmm_custom_avg': 64.51156250000003, 'xsmm_custom_best': 64.14, 'xsmm_reference_avg': 66.3671875, 'xsmm_reference_best': 65.907}
{'a_cols': 192, 'a_nonzero': 768, 'a_rows': 64, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m132.txt', 'speedup_avg_over_ref': 0.9946139031671285, 'speedup_best_over_ref': 0.9920461234284679, 'xsmm_custom_avg': 66.66856250000004, 'xsmm_custom_best': 66.257, 'xsmm_reference_avg': 66.30947916666669, 'xsmm_reference_best': 65.73}
{'a_cols': 64, 'a_nonzero': 768, 'a_rows': 192, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m460.txt', 'speedup_avg_over_ref': 1.0324329683704765, 'speedup_best_over_ref': 1.0333211009174312, 'xsmm_custom_avg': 54.84195833333334, 'xsmm_custom_best': 54.5, 'xsmm_reference_avg': 56.62064583333333, 'xsmm_reference_best': 56.316}
{'a_cols': 125, 'a_nonzero': 150, 'a_rows': 150, 'a_size': 18750, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.008, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m0.txt', 'speedup_avg_over_ref': 1.0021671069619187, 'speedup_best_over_ref': 1.0031988626266217, 'xsmm_custom_avg': 56.575041666666664, 'xsmm_custom_best': 56.27, 'xsmm_reference_avg': 56.69764583333333, 'xsmm_reference_best': 56.45}
