{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre-lobatto/m3.txt', 'xsmm_reference_avg': 41.48358333333334, 'xsmm_reference_best': 41.241, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre-lobatto/m6.txt', 'xsmm_reference_avg': 64.75339583333336, 'xsmm_reference_best': 64.463, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre-lobatto/m132.txt', 'xsmm_reference_avg': 70.2085, 'xsmm_reference_best': 69.864, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre-lobatto/m460.txt', 'xsmm_reference_avg': 54.816999999999986, 'xsmm_reference_best': 54.588, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre/m0.txt', 'xsmm_reference_avg': 32.73795833333334, 'xsmm_reference_best': 32.579, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre/m3.txt', 'xsmm_reference_avg': 41.251979166666665, 'xsmm_reference_best': 40.97, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre/m6.txt', 'xsmm_reference_avg': 64.83708333333335, 'xsmm_reference_best': 64.41399999999999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 192, 'a_nonzero': 768, 'a_rows': 64, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre/m132.txt', 'xsmm_reference_avg': 67.78064583333331, 'xsmm_reference_best': 67.359, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 768, 'a_rows': 192, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre/m460.txt', 'xsmm_reference_avg': 56.705625000000005, 'xsmm_reference_best': 56.49, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 125, 'a_nonzero': 150, 'a_rows': 150, 'a_size': 18750, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.008, 'mat_file': 'data/example_mats_small/hex/p4/gauss-legendre-lobatto/m0.txt', 'xsmm_reference_avg': 56.8677708333333, 'xsmm_reference_best': 56.604, 'xsmm_reference_kernel_type': 'wide-sparse'}
