{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0417482859941234, 'speedup_best_over_ref': 1.0417482859941234, 'xsmm_custom_avg': 0.27226666666666666, 'xsmm_custom_best': 0.27226666666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.28363333333333335, 'xsmm_reference_best': 0.28363333333333335, 'xsmm_reference_cpu_freq': 2.499957, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.1066666666666667, 'speedup_best_over_ref': 1.1066666666666667, 'xsmm_custom_avg': 0.125, 'xsmm_custom_best': 0.125, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.13833333333333334, 'xsmm_reference_best': 0.13833333333333334, 'xsmm_reference_cpu_freq': 2.499914, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0341562394318564, 'speedup_best_over_ref': 1.0341562394318564, 'xsmm_custom_avg': 0.2957, 'xsmm_custom_best': 0.2957, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.30579999999999996, 'xsmm_reference_best': 0.30579999999999996, 'xsmm_reference_cpu_freq': 2.499957, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.1044695745826603, 'speedup_best_over_ref': 1.1044695745826603, 'xsmm_custom_avg': 0.1238, 'xsmm_custom_best': 0.1238, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.13673333333333335, 'xsmm_reference_best': 0.13673333333333335, 'xsmm_reference_cpu_freq': 2.499941, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0281483294578386, 'speedup_best_over_ref': 1.0281483294578386, 'xsmm_custom_avg': 0.27236666666666665, 'xsmm_custom_best': 0.27236666666666665, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.2800333333333333, 'xsmm_reference_best': 0.2800333333333333, 'xsmm_reference_cpu_freq': 2.499973, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.033828559213339, 'speedup_best_over_ref': 1.033828559213339, 'xsmm_custom_avg': 0.6237333333333334, 'xsmm_custom_best': 0.6237333333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.6448333333333333, 'xsmm_reference_best': 0.6448333333333333, 'xsmm_reference_cpu_freq': 2.499974, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0746268656716418, 'speedup_best_over_ref': 1.0746268656716418, 'xsmm_custom_avg': 0.49356666666666665, 'xsmm_custom_best': 0.49356666666666665, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.5304, 'xsmm_reference_best': 0.5304, 'xsmm_reference_cpu_freq': 2.499849, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0285520682539193, 'speedup_best_over_ref': 1.0285520682539193, 'xsmm_custom_avg': 1.0822333333333334, 'xsmm_custom_best': 1.0822333333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.1131333333333333, 'xsmm_reference_best': 1.1131333333333333, 'xsmm_reference_cpu_freq': 2.499873, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0667974396035538, 'speedup_best_over_ref': 1.0667974396035538, 'xsmm_custom_avg': 0.6457333333333319, 'xsmm_custom_best': 0.6457333333333319, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.6888666666666666, 'xsmm_reference_best': 0.6888666666666666, 'xsmm_reference_cpu_freq': 2.49988, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0988138068606847, 'speedup_best_over_ref': 1.0988138068606847, 'xsmm_custom_avg': 0.9357666666666666, 'xsmm_custom_best': 0.9357666666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.0282333333333333, 'xsmm_reference_best': 1.0282333333333333, 'xsmm_reference_cpu_freq': 2.499927, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.1543792007502733, 'speedup_best_over_ref': 1.1543792007502733, 'xsmm_custom_avg': 0.6397666666666667, 'xsmm_custom_best': 0.6397666666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.7385333333333333, 'xsmm_reference_best': 0.7385333333333333, 'xsmm_reference_cpu_freq': 2.499932, 'xsmm_reference_kernel_type': 'sparse'}
