{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m3.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9944579915761471, 'speedup_best_over_ref': 0.9944579915761471, 'xsmm_custom_avg': 0.15036666666666668, 'xsmm_custom_best': 0.15036666666666668, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.14953333333333332, 'xsmm_reference_best': 0.14953333333333332, 'xsmm_reference_cpu_freq': 0.999996, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m6.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9997624703087884, 'speedup_best_over_ref': 0.9997624703087884, 'xsmm_custom_avg': 0.14033333333333334, 'xsmm_custom_best': 0.14033333333333334, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.14029999999999998, 'xsmm_reference_best': 0.14029999999999998, 'xsmm_reference_cpu_freq': 0.999998, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m132.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0008152616990054, 'speedup_best_over_ref': 1.0008152616990054, 'xsmm_custom_avg': 0.20443333333333333, 'xsmm_custom_best': 0.20443333333333333, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.2046, 'xsmm_reference_best': 0.2046, 'xsmm_reference_cpu_freq': 0.999997, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m460.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9972369329956252, 'speedup_best_over_ref': 0.9972369329956252, 'xsmm_custom_avg': 0.14476666666666665, 'xsmm_custom_best': 0.14476666666666665, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.14436666666666667, 'xsmm_reference_best': 0.14436666666666667, 'xsmm_reference_cpu_freq': 0.999995, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m0.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9932016146165286, 'speedup_best_over_ref': 0.9932016146165286, 'xsmm_custom_avg': 0.15689999999999998, 'xsmm_custom_best': 0.15689999999999998, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.15583333333333332, 'xsmm_reference_best': 0.15583333333333332, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m3.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0346980644010346, 'speedup_best_over_ref': 1.0346980644010346, 'xsmm_custom_avg': 0.37370000000000003, 'xsmm_custom_best': 0.37370000000000003, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.38666666666666666, 'xsmm_reference_best': 0.38666666666666666, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m6.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9981306955370356, 'speedup_best_over_ref': 0.9981306955370356, 'xsmm_custom_avg': 0.42796666666666666, 'xsmm_custom_best': 0.42796666666666666, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.42716666666666664, 'xsmm_reference_best': 0.42716666666666664, 'xsmm_reference_cpu_freq': 0.999998, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m132.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0068392564930977, 'speedup_best_over_ref': 1.0068392564930977, 'xsmm_custom_avg': 0.7944333333333333, 'xsmm_custom_best': 0.7944333333333333, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.7998666666666666, 'xsmm_reference_best': 0.7998666666666666, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m460.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0057002669745292, 'speedup_best_over_ref': 1.0057002669745292, 'xsmm_custom_avg': 0.4619666666666667, 'xsmm_custom_best': 0.4619666666666667, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.4646, 'xsmm_reference_best': 0.4646, 'xsmm_reference_cpu_freq': 0.999999, 'xsmm_reference_kernel_type': 'undefined'}
{'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m0.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0121654501216546, 'speedup_best_over_ref': 1.0121654501216546, 'xsmm_custom_avg': 0.21919999999999998, 'xsmm_custom_best': 0.21919999999999998, 'xsmm_custom_kernel_type': 'undefined', 'xsmm_reference_avg': 0.22186666666666666, 'xsmm_reference_best': 0.22186666666666666, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'undefined'}
