{'N_BLOCKING=1 M_BLOCKING=10_avg': 0.2729, 'N_BLOCKING=1 M_BLOCKING=10_best': 0.2729, 'N_BLOCKING=1 M_BLOCKING=10_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=12_avg': 0.27103333333333335, 'N_BLOCKING=1 M_BLOCKING=12_best': 0.27103333333333335, 'N_BLOCKING=1 M_BLOCKING=12_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=14_avg': 0.2721666666666666, 'N_BLOCKING=1 M_BLOCKING=14_best': 0.2721666666666666, 'N_BLOCKING=1 M_BLOCKING=14_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=16_avg': 0.27113333333333334, 'N_BLOCKING=1 M_BLOCKING=16_best': 0.27113333333333334, 'N_BLOCKING=1 M_BLOCKING=16_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=18_avg': 0.27823333333333333, 'N_BLOCKING=1 M_BLOCKING=18_best': 0.27823333333333333, 'N_BLOCKING=1 M_BLOCKING=18_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=1_avg': 0.2722, 'N_BLOCKING=1 M_BLOCKING=1_best': 0.2722, 'N_BLOCKING=1 M_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=20_avg': 0.27253333333333335, 'N_BLOCKING=1 M_BLOCKING=20_best': 0.27253333333333335, 'N_BLOCKING=1 M_BLOCKING=20_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=22_avg': 0.27573333333333333, 'N_BLOCKING=1 M_BLOCKING=22_best': 0.27573333333333333, 'N_BLOCKING=1 M_BLOCKING=22_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=24_avg': 0.27243333333333336, 'N_BLOCKING=1 M_BLOCKING=24_best': 0.27243333333333336, 'N_BLOCKING=1 M_BLOCKING=24_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=26_avg': 0.27463333333333334, 'N_BLOCKING=1 M_BLOCKING=26_best': 0.27463333333333334, 'N_BLOCKING=1 M_BLOCKING=26_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=28_avg': 0.2734333333333333, 'N_BLOCKING=1 M_BLOCKING=28_best': 0.2734333333333333, 'N_BLOCKING=1 M_BLOCKING=28_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=2_avg': 0.27253333333333335, 'N_BLOCKING=1 M_BLOCKING=2_best': 0.27253333333333335, 'N_BLOCKING=1 M_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=30_avg': 0.27453333333333335, 'N_BLOCKING=1 M_BLOCKING=30_best': 0.27453333333333335, 'N_BLOCKING=1 M_BLOCKING=30_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=4_avg': 0.27453333333333335, 'N_BLOCKING=1 M_BLOCKING=4_best': 0.27453333333333335, 'N_BLOCKING=1 M_BLOCKING=4_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=6_avg': 0.2738333333333333, 'N_BLOCKING=1 M_BLOCKING=6_best': 0.2738333333333333, 'N_BLOCKING=1 M_BLOCKING=6_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=8_avg': 0.27516666666666667, 'N_BLOCKING=1 M_BLOCKING=8_best': 0.27516666666666667, 'N_BLOCKING=1 M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.2839, 'xsmm_reference_best': 0.2839, 'xsmm_reference_cpu_freq': 2.499981, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1 M_BLOCKING=10_avg': 0.12356666666666666, 'N_BLOCKING=1 M_BLOCKING=10_best': 0.12356666666666666, 'N_BLOCKING=1 M_BLOCKING=10_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=12_avg': 0.12436666666666667, 'N_BLOCKING=1 M_BLOCKING=12_best': 0.12436666666666667, 'N_BLOCKING=1 M_BLOCKING=12_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=14_avg': 0.12430000000000001, 'N_BLOCKING=1 M_BLOCKING=14_best': 0.12430000000000001, 'N_BLOCKING=1 M_BLOCKING=14_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=16_avg': 0.1245, 'N_BLOCKING=1 M_BLOCKING=16_best': 0.1245, 'N_BLOCKING=1 M_BLOCKING=16_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=18_avg': 0.12443333333333334, 'N_BLOCKING=1 M_BLOCKING=18_best': 0.12443333333333334, 'N_BLOCKING=1 M_BLOCKING=18_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=1_avg': 0.1241, 'N_BLOCKING=1 M_BLOCKING=1_best': 0.1241, 'N_BLOCKING=1 M_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=20_avg': 0.1231, 'N_BLOCKING=1 M_BLOCKING=20_best': 0.1231, 'N_BLOCKING=1 M_BLOCKING=20_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=22_avg': 0.12369999999999999, 'N_BLOCKING=1 M_BLOCKING=22_best': 0.12369999999999999, 'N_BLOCKING=1 M_BLOCKING=22_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=24_avg': 0.12483333333333334, 'N_BLOCKING=1 M_BLOCKING=24_best': 0.12483333333333334, 'N_BLOCKING=1 M_BLOCKING=24_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=26_avg': 0.1245, 'N_BLOCKING=1 M_BLOCKING=26_best': 0.1245, 'N_BLOCKING=1 M_BLOCKING=26_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=28_avg': 0.1242, 'N_BLOCKING=1 M_BLOCKING=28_best': 0.1242, 'N_BLOCKING=1 M_BLOCKING=28_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=2_avg': 0.12473333333333333, 'N_BLOCKING=1 M_BLOCKING=2_best': 0.12473333333333333, 'N_BLOCKING=1 M_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=30_avg': 0.1247, 'N_BLOCKING=1 M_BLOCKING=30_best': 0.1247, 'N_BLOCKING=1 M_BLOCKING=30_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=4_avg': 0.12536666666666668, 'N_BLOCKING=1 M_BLOCKING=4_best': 0.12536666666666668, 'N_BLOCKING=1 M_BLOCKING=4_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=6_avg': 0.12653333333333333, 'N_BLOCKING=1 M_BLOCKING=6_best': 0.12653333333333333, 'N_BLOCKING=1 M_BLOCKING=6_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=8_avg': 0.12383333333333332, 'N_BLOCKING=1 M_BLOCKING=8_best': 0.12383333333333332, 'N_BLOCKING=1 M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.13799999999999998, 'xsmm_reference_best': 0.13799999999999998, 'xsmm_reference_cpu_freq': 2.499898, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1 M_BLOCKING=10_avg': 0.3152, 'N_BLOCKING=1 M_BLOCKING=10_best': 0.3152, 'N_BLOCKING=1 M_BLOCKING=10_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=12_avg': 0.3032333333333333, 'N_BLOCKING=1 M_BLOCKING=12_best': 0.3032333333333333, 'N_BLOCKING=1 M_BLOCKING=12_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=14_avg': 0.3051333333333333, 'N_BLOCKING=1 M_BLOCKING=14_best': 0.3051333333333333, 'N_BLOCKING=1 M_BLOCKING=14_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=16_avg': 0.301, 'N_BLOCKING=1 M_BLOCKING=16_best': 0.301, 'N_BLOCKING=1 M_BLOCKING=16_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=18_avg': 0.30543333333333333, 'N_BLOCKING=1 M_BLOCKING=18_best': 0.30543333333333333, 'N_BLOCKING=1 M_BLOCKING=18_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=1_avg': 0.2957, 'N_BLOCKING=1 M_BLOCKING=1_best': 0.2957, 'N_BLOCKING=1 M_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=20_avg': 0.3068666666666667, 'N_BLOCKING=1 M_BLOCKING=20_best': 0.3068666666666667, 'N_BLOCKING=1 M_BLOCKING=20_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=22_avg': 0.3032333333333333, 'N_BLOCKING=1 M_BLOCKING=22_best': 0.3032333333333333, 'N_BLOCKING=1 M_BLOCKING=22_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=24_avg': 0.30360000000000004, 'N_BLOCKING=1 M_BLOCKING=24_best': 0.30360000000000004, 'N_BLOCKING=1 M_BLOCKING=24_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=26_avg': 0.3048666666666667, 'N_BLOCKING=1 M_BLOCKING=26_best': 0.3048666666666667, 'N_BLOCKING=1 M_BLOCKING=26_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=28_avg': 0.3038333333333336, 'N_BLOCKING=1 M_BLOCKING=28_best': 0.3038333333333336, 'N_BLOCKING=1 M_BLOCKING=28_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=2_avg': 0.2981, 'N_BLOCKING=1 M_BLOCKING=2_best': 0.2981, 'N_BLOCKING=1 M_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=30_avg': 0.30376666666666663, 'N_BLOCKING=1 M_BLOCKING=30_best': 0.30376666666666663, 'N_BLOCKING=1 M_BLOCKING=30_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=4_avg': 0.29763333333333336, 'N_BLOCKING=1 M_BLOCKING=4_best': 0.29763333333333336, 'N_BLOCKING=1 M_BLOCKING=4_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=6_avg': 0.2998333333333333, 'N_BLOCKING=1 M_BLOCKING=6_best': 0.2998333333333333, 'N_BLOCKING=1 M_BLOCKING=6_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=8_avg': 0.2974333333333333, 'N_BLOCKING=1 M_BLOCKING=8_best': 0.2974333333333333, 'N_BLOCKING=1 M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.3044333333333333, 'xsmm_reference_best': 0.3044333333333333, 'xsmm_reference_cpu_freq': 2.499932, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1 M_BLOCKING=10_avg': 0.1236, 'N_BLOCKING=1 M_BLOCKING=10_best': 0.1236, 'N_BLOCKING=1 M_BLOCKING=10_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=12_avg': 0.1238, 'N_BLOCKING=1 M_BLOCKING=12_best': 0.1238, 'N_BLOCKING=1 M_BLOCKING=12_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=14_avg': 0.12326666666666666, 'N_BLOCKING=1 M_BLOCKING=14_best': 0.12326666666666666, 'N_BLOCKING=1 M_BLOCKING=14_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=16_avg': 0.12426666666666668, 'N_BLOCKING=1 M_BLOCKING=16_best': 0.12426666666666668, 'N_BLOCKING=1 M_BLOCKING=16_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=18_avg': 0.12446666666666667, 'N_BLOCKING=1 M_BLOCKING=18_best': 0.12446666666666667, 'N_BLOCKING=1 M_BLOCKING=18_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=1_avg': 0.12443333333333334, 'N_BLOCKING=1 M_BLOCKING=1_best': 0.12443333333333334, 'N_BLOCKING=1 M_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=20_avg': 0.12373333333333333, 'N_BLOCKING=1 M_BLOCKING=20_best': 0.12373333333333333, 'N_BLOCKING=1 M_BLOCKING=20_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=22_avg': 0.1236, 'N_BLOCKING=1 M_BLOCKING=22_best': 0.1236, 'N_BLOCKING=1 M_BLOCKING=22_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=24_avg': 0.12406666666666667, 'N_BLOCKING=1 M_BLOCKING=24_best': 0.12406666666666667, 'N_BLOCKING=1 M_BLOCKING=24_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=26_avg': 0.12346666666666667, 'N_BLOCKING=1 M_BLOCKING=26_best': 0.12346666666666667, 'N_BLOCKING=1 M_BLOCKING=26_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=28_avg': 0.12329999999999999, 'N_BLOCKING=1 M_BLOCKING=28_best': 0.12329999999999999, 'N_BLOCKING=1 M_BLOCKING=28_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=2_avg': 0.12406666666666667, 'N_BLOCKING=1 M_BLOCKING=2_best': 0.12406666666666667, 'N_BLOCKING=1 M_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=30_avg': 0.12373333333333333, 'N_BLOCKING=1 M_BLOCKING=30_best': 0.12373333333333333, 'N_BLOCKING=1 M_BLOCKING=30_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=4_avg': 0.12676666666666667, 'N_BLOCKING=1 M_BLOCKING=4_best': 0.12676666666666667, 'N_BLOCKING=1 M_BLOCKING=4_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=6_avg': 0.1275, 'N_BLOCKING=1 M_BLOCKING=6_best': 0.1275, 'N_BLOCKING=1 M_BLOCKING=6_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=8_avg': 0.12323333333333333, 'N_BLOCKING=1 M_BLOCKING=8_best': 0.12323333333333333, 'N_BLOCKING=1 M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.1435, 'xsmm_reference_best': 0.1435, 'xsmm_reference_cpu_freq': 2.499976, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1 M_BLOCKING=10_avg': 0.2732, 'N_BLOCKING=1 M_BLOCKING=10_best': 0.2732, 'N_BLOCKING=1 M_BLOCKING=10_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=12_avg': 0.27266666666666667, 'N_BLOCKING=1 M_BLOCKING=12_best': 0.27266666666666667, 'N_BLOCKING=1 M_BLOCKING=12_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=14_avg': 0.27116666666666667, 'N_BLOCKING=1 M_BLOCKING=14_best': 0.27116666666666667, 'N_BLOCKING=1 M_BLOCKING=14_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=16_avg': 0.2714666666666667, 'N_BLOCKING=1 M_BLOCKING=16_best': 0.2714666666666667, 'N_BLOCKING=1 M_BLOCKING=16_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=18_avg': 0.27376666666666666, 'N_BLOCKING=1 M_BLOCKING=18_best': 0.27376666666666666, 'N_BLOCKING=1 M_BLOCKING=18_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=1_avg': 0.27113333333333334, 'N_BLOCKING=1 M_BLOCKING=1_best': 0.27113333333333334, 'N_BLOCKING=1 M_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=20_avg': 0.27076666666666666, 'N_BLOCKING=1 M_BLOCKING=20_best': 0.27076666666666666, 'N_BLOCKING=1 M_BLOCKING=20_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=22_avg': 0.2713, 'N_BLOCKING=1 M_BLOCKING=22_best': 0.2713, 'N_BLOCKING=1 M_BLOCKING=22_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=24_avg': 0.27413333333333334, 'N_BLOCKING=1 M_BLOCKING=24_best': 0.27413333333333334, 'N_BLOCKING=1 M_BLOCKING=24_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=26_avg': 0.2717333333333333, 'N_BLOCKING=1 M_BLOCKING=26_best': 0.2717333333333333, 'N_BLOCKING=1 M_BLOCKING=26_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=28_avg': 0.2732, 'N_BLOCKING=1 M_BLOCKING=28_best': 0.2732, 'N_BLOCKING=1 M_BLOCKING=28_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=2_avg': 0.27040000000000003, 'N_BLOCKING=1 M_BLOCKING=2_best': 0.27040000000000003, 'N_BLOCKING=1 M_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=30_avg': 0.27516666666666667, 'N_BLOCKING=1 M_BLOCKING=30_best': 0.27516666666666667, 'N_BLOCKING=1 M_BLOCKING=30_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=4_avg': 0.2719333333333333, 'N_BLOCKING=1 M_BLOCKING=4_best': 0.2719333333333333, 'N_BLOCKING=1 M_BLOCKING=4_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=6_avg': 0.27303333333333335, 'N_BLOCKING=1 M_BLOCKING=6_best': 0.27303333333333335, 'N_BLOCKING=1 M_BLOCKING=6_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=8_avg': 0.27443333333333336, 'N_BLOCKING=1 M_BLOCKING=8_best': 0.27443333333333336, 'N_BLOCKING=1 M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.28243333333333337, 'xsmm_reference_best': 0.28243333333333337, 'xsmm_reference_cpu_freq': 2.49998, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1 M_BLOCKING=10_avg': 0.6276666666666666, 'N_BLOCKING=1 M_BLOCKING=10_best': 0.6276666666666666, 'N_BLOCKING=1 M_BLOCKING=10_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=12_avg': 0.6279333333333333, 'N_BLOCKING=1 M_BLOCKING=12_best': 0.6279333333333333, 'N_BLOCKING=1 M_BLOCKING=12_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=14_avg': 0.6307333333333334, 'N_BLOCKING=1 M_BLOCKING=14_best': 0.6307333333333334, 'N_BLOCKING=1 M_BLOCKING=14_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=16_avg': 0.6279, 'N_BLOCKING=1 M_BLOCKING=16_best': 0.6279, 'N_BLOCKING=1 M_BLOCKING=16_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=18_avg': 0.6311, 'N_BLOCKING=1 M_BLOCKING=18_best': 0.6311, 'N_BLOCKING=1 M_BLOCKING=18_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=1_avg': 0.6234000000000001, 'N_BLOCKING=1 M_BLOCKING=1_best': 0.6234000000000001, 'N_BLOCKING=1 M_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=20_avg': 0.6297999999999999, 'N_BLOCKING=1 M_BLOCKING=20_best': 0.6297999999999999, 'N_BLOCKING=1 M_BLOCKING=20_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=22_avg': 0.6349666666666667, 'N_BLOCKING=1 M_BLOCKING=22_best': 0.6349666666666667, 'N_BLOCKING=1 M_BLOCKING=22_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=24_avg': 0.6312, 'N_BLOCKING=1 M_BLOCKING=24_best': 0.6312, 'N_BLOCKING=1 M_BLOCKING=24_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=26_avg': 0.6317333333333334, 'N_BLOCKING=1 M_BLOCKING=26_best': 0.6317333333333334, 'N_BLOCKING=1 M_BLOCKING=26_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=28_avg': 0.6352, 'N_BLOCKING=1 M_BLOCKING=28_best': 0.6352, 'N_BLOCKING=1 M_BLOCKING=28_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=2_avg': 0.6273, 'N_BLOCKING=1 M_BLOCKING=2_best': 0.6273, 'N_BLOCKING=1 M_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=30_avg': 0.6351333333333333, 'N_BLOCKING=1 M_BLOCKING=30_best': 0.6351333333333333, 'N_BLOCKING=1 M_BLOCKING=30_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=4_avg': 0.6257, 'N_BLOCKING=1 M_BLOCKING=4_best': 0.6257, 'N_BLOCKING=1 M_BLOCKING=4_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=6_avg': 0.6251333333333334, 'N_BLOCKING=1 M_BLOCKING=6_best': 0.6251333333333334, 'N_BLOCKING=1 M_BLOCKING=6_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=8_avg': 0.6254666666666666, 'N_BLOCKING=1 M_BLOCKING=8_best': 0.6254666666666666, 'N_BLOCKING=1 M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.6514000000000001, 'xsmm_reference_best': 0.6514000000000001, 'xsmm_reference_cpu_freq': 2.499917, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1 M_BLOCKING=10_avg': 0.49323333333333336, 'N_BLOCKING=1 M_BLOCKING=10_best': 0.49323333333333336, 'N_BLOCKING=1 M_BLOCKING=10_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=12_avg': 0.5399666666666667, 'N_BLOCKING=1 M_BLOCKING=12_best': 0.5399666666666667, 'N_BLOCKING=1 M_BLOCKING=12_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=14_avg': 0.5191, 'N_BLOCKING=1 M_BLOCKING=14_best': 0.5191, 'N_BLOCKING=1 M_BLOCKING=14_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=16_avg': 0.5073666666666666, 'N_BLOCKING=1 M_BLOCKING=16_best': 0.5073666666666666, 'N_BLOCKING=1 M_BLOCKING=16_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=18_avg': 0.5027333333333334, 'N_BLOCKING=1 M_BLOCKING=18_best': 0.5027333333333334, 'N_BLOCKING=1 M_BLOCKING=18_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=1_avg': 0.4898, 'N_BLOCKING=1 M_BLOCKING=1_best': 0.4898, 'N_BLOCKING=1 M_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=20_avg': 0.5283666666666667, 'N_BLOCKING=1 M_BLOCKING=20_best': 0.5283666666666667, 'N_BLOCKING=1 M_BLOCKING=20_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=22_avg': 0.5322333333333333, 'N_BLOCKING=1 M_BLOCKING=22_best': 0.5322333333333333, 'N_BLOCKING=1 M_BLOCKING=22_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=24_avg': 0.5382666666666667, 'N_BLOCKING=1 M_BLOCKING=24_best': 0.5382666666666667, 'N_BLOCKING=1 M_BLOCKING=24_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=26_avg': 0.5241333333333333, 'N_BLOCKING=1 M_BLOCKING=26_best': 0.5241333333333333, 'N_BLOCKING=1 M_BLOCKING=26_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=28_avg': 0.53, 'N_BLOCKING=1 M_BLOCKING=28_best': 0.53, 'N_BLOCKING=1 M_BLOCKING=28_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=2_avg': 0.48886666666666667, 'N_BLOCKING=1 M_BLOCKING=2_best': 0.48886666666666667, 'N_BLOCKING=1 M_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=30_avg': 0.5218333333333333, 'N_BLOCKING=1 M_BLOCKING=30_best': 0.5218333333333333, 'N_BLOCKING=1 M_BLOCKING=30_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=4_avg': 0.4865333333333333, 'N_BLOCKING=1 M_BLOCKING=4_best': 0.4865333333333333, 'N_BLOCKING=1 M_BLOCKING=4_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=6_avg': 0.5087666666666667, 'N_BLOCKING=1 M_BLOCKING=6_best': 0.5087666666666667, 'N_BLOCKING=1 M_BLOCKING=6_kernel_type': 'dense', 'N_BLOCKING=1 M_BLOCKING=8_avg': 0.5094666666666667, 'N_BLOCKING=1 M_BLOCKING=8_best': 0.5094666666666667, 'N_BLOCKING=1 M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.5251, 'xsmm_reference_best': 0.5251, 'xsmm_reference_cpu_freq': 2.49998, 'xsmm_reference_kernel_type': 'wide-sparse'}
