{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_1024_p_0.05_uniq_64.txt', 'size_n': 9600, 'speedup_avg_over_ref': 5.14274433464631, 'speedup_best_over_ref': 5.14274433464631, 'xsmm_custom_avg': 28.493366666666663, 'xsmm_custom_best': 28.493366666666663, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 146.5341, 'xsmm_reference_best': 146.5341, 'xsmm_reference_cpu_freq': 2.999958, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 256, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_256/r_128_c_64_p_0.05_uniq_256.txt', 'size_n': 9600, 'speedup_avg_over_ref': 2.2993225757345095, 'speedup_best_over_ref': 2.2993225757345095, 'xsmm_custom_avg': 1.751733333333334, 'xsmm_custom_best': 1.751733333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 4.0278, 'xsmm_reference_best': 4.0278, 'xsmm_reference_cpu_freq': 2.999897, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 256, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_256/r_128_c_128_p_0.05_uniq_256.txt', 'size_n': 9600, 'speedup_avg_over_ref': 2.823882623224728, 'speedup_best_over_ref': 2.823882623224728, 'xsmm_custom_avg': 2.5536000000000003, 'xsmm_custom_best': 2.5536000000000003, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 7.2110666666666665, 'xsmm_reference_best': 7.2110666666666665, 'xsmm_reference_cpu_freq': 2.999905, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 256, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_256/r_128_c_256_p_0.05_uniq_256.txt', 'size_n': 9600, 'speedup_avg_over_ref': 5.432258587167855, 'speedup_best_over_ref': 5.432258587167855, 'xsmm_custom_avg': 4.1146666666666665, 'xsmm_custom_best': 4.1146666666666665, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 22.35193333333333, 'xsmm_reference_best': 22.35193333333333, 'xsmm_reference_cpu_freq': 2.999882, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 256, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_256/r_128_c_512_p_0.05_uniq_256.txt', 'size_n': 9600, 'speedup_avg_over_ref': 7.172900716416073, 'speedup_best_over_ref': 7.172900716416073, 'xsmm_custom_avg': 8.6728, 'xsmm_custom_best': 8.6728, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 62.20913333333333, 'xsmm_reference_best': 62.20913333333333, 'xsmm_reference_cpu_freq': 2.999875, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 256, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_256/r_128_c_1024_p_0.05_uniq_256.txt', 'size_n': 9600, 'speedup_avg_over_ref': 5.408603359625782, 'speedup_best_over_ref': 5.408603359625782, 'xsmm_custom_avg': 28.161866666666665, 'xsmm_custom_best': 28.161866666666665, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 152.31636666666665, 'xsmm_reference_best': 152.31636666666665, 'xsmm_reference_cpu_freq': 2.999853, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0006908216012769, 'speedup_best_over_ref': 1.0006908216012769, 'xsmm_custom_avg': 1.3993, 'xsmm_custom_best': 1.3993, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.4002666666666668, 'xsmm_reference_best': 1.4002666666666668, 'xsmm_reference_cpu_freq': 2.999912, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.8598664979712928, 'speedup_best_over_ref': 0.8598664979712928, 'xsmm_custom_avg': 3.0561333333333334, 'xsmm_custom_best': 3.0561333333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.627866666666667, 'xsmm_reference_best': 2.627866666666667, 'xsmm_reference_cpu_freq': 2.999932, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.8514695701428661, 'speedup_best_over_ref': 0.8514695701428661, 'xsmm_custom_avg': 4.7667, 'xsmm_custom_best': 4.7667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 4.0587, 'xsmm_reference_best': 4.0587, 'xsmm_reference_cpu_freq': 2.999878, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'data/synth_mats_wider/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9476708513104196, 'speedup_best_over_ref': 0.9476708513104196, 'xsmm_custom_avg': 6.845133333333334, 'xsmm_custom_best': 6.845133333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 6.486933333333331, 'xsmm_reference_best': 6.486933333333331, 'xsmm_reference_cpu_freq': 2.999896, 'xsmm_reference_kernel_type': 'sparse'}
