{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 57600, 'speedup_avg_over_ref': 0.992472718583225, 'speedup_best_over_ref': 0.992472718583225, 'xsmm_custom_avg': 7.5326, 'xsmm_custom_best': 7.5326, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 7.475900000000001, 'xsmm_reference_best': 7.475900000000001, 'xsmm_reference_cpu_freq': 2.999848, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 57600, 'speedup_avg_over_ref': 0.81102621542051, 'speedup_best_over_ref': 0.81102621542051, 'xsmm_custom_avg': 13.258100000000002, 'xsmm_custom_best': 13.258100000000002, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 10.752666666666666, 'xsmm_reference_best': 10.752666666666666, 'xsmm_reference_cpu_freq': 2.999923, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 57600, 'speedup_avg_over_ref': 0.8888311287596253, 'speedup_best_over_ref': 0.8888311287596253, 'xsmm_custom_avg': 19.877866666666666, 'xsmm_custom_best': 19.877866666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 17.668066666666665, 'xsmm_reference_best': 17.668066666666665, 'xsmm_reference_cpu_freq': 2.999901, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 57600, 'speedup_avg_over_ref': 1.0009872323981293, 'speedup_best_over_ref': 1.0009872323981293, 'xsmm_custom_avg': 33.1229, 'xsmm_custom_best': 33.1229, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 33.1556, 'xsmm_reference_best': 33.1556, 'xsmm_reference_cpu_freq': 2.999901, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 57600, 'speedup_avg_over_ref': 0.9251598156988651, 'speedup_best_over_ref': 0.9251598156988651, 'xsmm_custom_avg': 86.56846666666667, 'xsmm_custom_best': 86.56846666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 80.08966666666667, 'xsmm_reference_best': 80.08966666666667, 'xsmm_reference_cpu_freq': 2.999911, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 57600, 'speedup_avg_over_ref': 0.8165465025530264, 'speedup_best_over_ref': 0.8165465025530264, 'xsmm_custom_avg': 225.94099999999997, 'xsmm_custom_best': 225.94099999999997, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 184.49133333333333, 'xsmm_reference_best': 184.49133333333333, 'xsmm_reference_cpu_freq': 2.999831, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 57600, 'speedup_avg_over_ref': 0.9825330339407548, 'speedup_best_over_ref': 0.9825330339407548, 'xsmm_custom_avg': 7.719333333333334, 'xsmm_custom_best': 7.719333333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 7.5845, 'xsmm_reference_best': 7.5845, 'xsmm_reference_cpu_freq': 2.999928, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 57600, 'speedup_avg_over_ref': 0.836003385220215, 'speedup_best_over_ref': 0.836003385220215, 'xsmm_custom_avg': 12.328100000000001, 'xsmm_custom_best': 12.328100000000001, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 10.306333333333333, 'xsmm_reference_best': 10.306333333333333, 'xsmm_reference_cpu_freq': 2.999887, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 57600, 'speedup_avg_over_ref': 0.8395646924875406, 'speedup_best_over_ref': 0.8395646924875406, 'xsmm_custom_avg': 21.342766666666666, 'xsmm_custom_best': 21.342766666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 17.918633333333332, 'xsmm_reference_best': 17.918633333333332, 'xsmm_reference_cpu_freq': 2.999877, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 57600, 'speedup_avg_over_ref': 1.0390071863404393, 'speedup_best_over_ref': 1.0390071863404393, 'xsmm_custom_avg': 32.645266666666664, 'xsmm_custom_best': 32.645266666666664, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 33.91866666666667, 'xsmm_reference_best': 33.91866666666667, 'xsmm_reference_cpu_freq': 2.99989, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 57600, 'speedup_avg_over_ref': 0.8848834542569551, 'speedup_best_over_ref': 0.8848834542569551, 'xsmm_custom_avg': 85.89903333333334, 'xsmm_custom_best': 85.89903333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 76.01063333333333, 'xsmm_reference_best': 76.01063333333333, 'xsmm_reference_cpu_freq': 2.999909, 'xsmm_reference_kernel_type': 'sparse'}
