{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_1024_p_0.05_uniq_64.txt', 'size_n': 249984, 'speedup_avg_over_ref': 6.496425135075124, 'speedup_best_over_ref': 6.496425135075124, 'xsmm_custom_avg': 607.995, 'xsmm_custom_best': 607.995, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 3949.794, 'xsmm_reference_best': 3949.794, 'xsmm_reference_cpu_freq': 2.999936, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 1.014034042416142, 'speedup_best_over_ref': 1.014034042416142, 'xsmm_custom_avg': 248.396, 'xsmm_custom_best': 248.396, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 251.882, 'xsmm_reference_best': 251.882, 'xsmm_reference_cpu_freq': 2.999975, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.933086552922756, 'speedup_best_over_ref': 0.933086552922756, 'xsmm_custom_avg': 420.887, 'xsmm_custom_best': 420.887, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 392.724, 'xsmm_reference_best': 392.724, 'xsmm_reference_cpu_freq': 2.999912, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.6396824684129706, 'speedup_best_over_ref': 0.6396824684129706, 'xsmm_custom_avg': 556.7950000000001, 'xsmm_custom_best': 556.7950000000001, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 356.172, 'xsmm_reference_best': 356.172, 'xsmm_reference_cpu_freq': 2.999937, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.9081088632987705, 'speedup_best_over_ref': 0.9081088632987705, 'xsmm_custom_avg': 758.713, 'xsmm_custom_best': 758.713, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 688.994, 'xsmm_reference_best': 688.994, 'xsmm_reference_cpu_freq': 2.999929, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 1.2164655311591863, 'speedup_best_over_ref': 1.2164655311591863, 'xsmm_custom_avg': 991.04, 'xsmm_custom_best': 991.04, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1205.566, 'xsmm_reference_best': 1205.566, 'xsmm_reference_cpu_freq': 2.99995, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.5_uniq_16.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.9552415451992832, 'speedup_best_over_ref': 0.9552415451992832, 'xsmm_custom_avg': 1252.188, 'xsmm_custom_best': 1252.188, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1196.142, 'xsmm_reference_best': 1196.142, 'xsmm_reference_cpu_freq': 2.999971, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 1.0610324950428538, 'speedup_best_over_ref': 1.0610324950428538, 'xsmm_custom_avg': 369.164, 'xsmm_custom_best': 369.164, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 391.69500000000005, 'xsmm_reference_best': 391.69500000000005, 'xsmm_reference_cpu_freq': 2.999915, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.15_uniq_16.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.6537163802823444, 'speedup_best_over_ref': 0.6537163802823444, 'xsmm_custom_avg': 473.606, 'xsmm_custom_best': 473.606, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 309.604, 'xsmm_reference_best': 309.604, 'xsmm_reference_cpu_freq': 2.999962, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.25_uniq_16.txt', 'size_n': 1124976, 'speedup_avg_over_ref': 0.9243090544176925, 'speedup_best_over_ref': 0.9243090544176925, 'xsmm_custom_avg': 649.219, 'xsmm_custom_best': 649.219, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 600.079, 'xsmm_reference_best': 600.079, 'xsmm_reference_cpu_freq': 2.999885, 'xsmm_reference_kernel_type': 'sparse'}
