{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m3.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9511435368381381, 'speedup_best_over_ref': 0.9511435368381381, 'xsmm_custom_avg': 0.56608, 'xsmm_custom_best': 0.56608, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.5384233333333333, 'xsmm_reference_best': 0.5384233333333333, 'xsmm_reference_cpu_freq': 2.499994, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m6.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9867193815311808, 'speedup_best_over_ref': 0.9867193815311808, 'xsmm_custom_avg': 1.1339833333333333, 'xsmm_custom_best': 1.1339833333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.1189233333333335, 'xsmm_reference_best': 1.1189233333333335, 'xsmm_reference_cpu_freq': 2.499957, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m132.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.015835762993663, 'speedup_best_over_ref': 1.015835762993663, 'xsmm_custom_avg': 0.6916833333333333, 'xsmm_custom_best': 0.6916833333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.7026366666666668, 'xsmm_reference_best': 0.7026366666666668, 'xsmm_reference_cpu_freq': 2.499977, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m460.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9605085152314705, 'speedup_best_over_ref': 0.9605085152314705, 'xsmm_custom_avg': 1.04225, 'xsmm_custom_best': 1.04225, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.00109, 'xsmm_reference_best': 1.00109, 'xsmm_reference_cpu_freq': 2.499968, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m0.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9825240233900171, 'speedup_best_over_ref': 0.9825240233900171, 'xsmm_custom_avg': 1.3025499999999999, 'xsmm_custom_best': 1.3025499999999999, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.2797866666666666, 'xsmm_reference_best': 1.2797866666666666, 'xsmm_reference_cpu_freq': 2.499914, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m3.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9530900874723205, 'speedup_best_over_ref': 0.9530900874723205, 'xsmm_custom_avg': 1.3307066666666667, 'xsmm_custom_best': 1.3307066666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.2682833333333334, 'xsmm_reference_best': 1.2682833333333334, 'xsmm_reference_cpu_freq': 2.49991, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m6.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9814535541854346, 'speedup_best_over_ref': 0.9814535541854346, 'xsmm_custom_avg': 2.676703333333333, 'xsmm_custom_best': 2.676703333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.6270599999999997, 'xsmm_reference_best': 2.6270599999999997, 'xsmm_reference_cpu_freq': 2.499952, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m132.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9550552705261626, 'speedup_best_over_ref': 0.9550552705261626, 'xsmm_custom_avg': 2.0595666666666665, 'xsmm_custom_best': 2.0595666666666665, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.967, 'xsmm_reference_best': 1.967, 'xsmm_reference_cpu_freq': 2.499905, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m460.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9277946267548869, 'speedup_best_over_ref': 0.9277946267548869, 'xsmm_custom_avg': 2.8741166666666667, 'xsmm_custom_best': 2.8741166666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.66659, 'xsmm_reference_best': 2.66659, 'xsmm_reference_cpu_freq': 2.499968, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m0.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.8939332162222926, 'speedup_best_over_ref': 0.8939332162222926, 'xsmm_custom_avg': 1.7495266666666665, 'xsmm_custom_best': 1.7495266666666665, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.56396, 'xsmm_reference_best': 1.56396, 'xsmm_reference_cpu_freq': 2.499903, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m3.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9608685692421166, 'speedup_best_over_ref': 0.9608685692421166, 'xsmm_custom_avg': 1.3241699999999998, 'xsmm_custom_best': 1.3241699999999998, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.2723533333333334, 'xsmm_reference_best': 1.2723533333333334, 'xsmm_reference_cpu_freq': 2.499979, 'xsmm_reference_kernel_type': 'wide-sparse'}
