{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.9870960296902594, 'speedup_best_over_ref': 0.9870960296902594, 'xsmm_custom_avg': 3.2351799999999997, 'xsmm_custom_best': 3.2351799999999997, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 3.193433333333333, 'xsmm_reference_best': 3.193433333333333, 'xsmm_reference_cpu_freq': 2.499987, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.9732358923815715, 'speedup_best_over_ref': 0.9732358923815715, 'xsmm_custom_avg': 1.5895666666666666, 'xsmm_custom_best': 1.5895666666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.5470233333333332, 'xsmm_reference_best': 1.5470233333333332, 'xsmm_reference_cpu_freq': 2.499985, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.9630662395479608, 'speedup_best_over_ref': 0.9630662395479608, 'xsmm_custom_avg': 3.534796666666667, 'xsmm_custom_best': 3.534796666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 3.4042433333333335, 'xsmm_reference_best': 3.4042433333333335, 'xsmm_reference_cpu_freq': 2.499951, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.9579180233631962, 'speedup_best_over_ref': 0.9579180233631962, 'xsmm_custom_avg': 1.60623, 'xsmm_custom_best': 1.60623, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.5386366666666667, 'xsmm_reference_best': 1.5386366666666667, 'xsmm_reference_cpu_freq': 2.499944, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.9853277192278934, 'speedup_best_over_ref': 0.9853277192278934, 'xsmm_custom_avg': 3.19196, 'xsmm_custom_best': 3.19196, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 3.1451266666666666, 'xsmm_reference_best': 3.1451266666666666, 'xsmm_reference_cpu_freq': 2.499949, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.997801081538731, 'speedup_best_over_ref': 0.997801081538731, 'xsmm_custom_avg': 7.291463333333333, 'xsmm_custom_best': 7.291463333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 7.27543, 'xsmm_reference_best': 7.27543, 'xsmm_reference_cpu_freq': 2.499889, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 105600, 'speedup_avg_over_ref': 1.1298900009019586, 'speedup_best_over_ref': 1.1298900009019586, 'xsmm_custom_avg': 9.202196666666667, 'xsmm_custom_best': 9.202196666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 10.39747, 'xsmm_reference_best': 10.39747, 'xsmm_reference_cpu_freq': 2.499886, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 105600, 'speedup_avg_over_ref': 1.0158419991714787, 'speedup_best_over_ref': 1.0158419991714787, 'xsmm_custom_avg': 16.318226666666668, 'xsmm_custom_best': 16.318226666666668, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 16.57674, 'xsmm_reference_best': 16.57674, 'xsmm_reference_cpu_freq': 2.499914, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 105600, 'speedup_avg_over_ref': 1.1342451563840144, 'speedup_best_over_ref': 1.1342451563840144, 'xsmm_custom_avg': 13.921073333333334, 'xsmm_custom_best': 13.921073333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 15.789909999999999, 'xsmm_reference_best': 15.789909999999999, 'xsmm_reference_cpu_freq': 2.499903, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.9632695151004478, 'speedup_best_over_ref': 0.9632695151004478, 'xsmm_custom_avg': 11.59491, 'xsmm_custom_best': 11.59491, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 11.169023333333334, 'xsmm_reference_best': 11.169023333333334, 'xsmm_reference_cpu_freq': 2.499959, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.9377382551818179, 'speedup_best_over_ref': 0.9377382551818179, 'xsmm_custom_avg': 8.299050000000001, 'xsmm_custom_best': 8.299050000000001, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 7.782336666666667, 'xsmm_reference_best': 7.782336666666667, 'xsmm_reference_cpu_freq': 2.499947, 'xsmm_reference_kernel_type': 'wide-sparse'}
