{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9890393753803527, 'speedup_best_over_ref': 0.9890393753803527, 'xsmm_custom_avg': 1.0297466666666666, 'xsmm_custom_best': 1.0297466666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.0184600000000001, 'xsmm_reference_best': 1.0184600000000001, 'xsmm_reference_cpu_freq': 2.499932, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9903330045239636, 'speedup_best_over_ref': 0.9903330045239636, 'xsmm_custom_avg': 0.4899833333333333, 'xsmm_custom_best': 0.4899833333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.4852466666666667, 'xsmm_reference_best': 0.4852466666666667, 'xsmm_reference_cpu_freq': 2.499948, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9620046606189588, 'speedup_best_over_ref': 0.9620046606189588, 'xsmm_custom_avg': 1.1214533333333332, 'xsmm_custom_best': 1.1214533333333332, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.0788433333333334, 'xsmm_reference_best': 1.0788433333333334, 'xsmm_reference_cpu_freq': 2.499935, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0270048322293406, 'speedup_best_over_ref': 1.0270048322293406, 'xsmm_custom_avg': 0.49114666666666684, 'xsmm_custom_best': 0.49114666666666684, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.50441, 'xsmm_reference_best': 0.50441, 'xsmm_reference_cpu_freq': 2.499979, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9842179648241205, 'speedup_best_over_ref': 0.9842179648241205, 'xsmm_custom_avg': 1.01888, 'xsmm_custom_best': 1.01888, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.0028, 'xsmm_reference_best': 1.0028, 'xsmm_reference_cpu_freq': 2.499967, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9996548173203714, 'speedup_best_over_ref': 0.9996548173203714, 'xsmm_custom_avg': 2.3079566666666667, 'xsmm_custom_best': 2.3079566666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.30716, 'xsmm_reference_best': 2.30716, 'xsmm_reference_cpu_freq': 2.499923, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9834917805506039, 'speedup_best_over_ref': 0.9834917805506039, 'xsmm_custom_avg': 2.0196, 'xsmm_custom_best': 2.0196, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.9862599999999997, 'xsmm_reference_best': 1.9862599999999997, 'xsmm_reference_cpu_freq': 2.49994, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0682919406379896, 'speedup_best_over_ref': 1.0682919406379896, 'xsmm_custom_avg': 4.1620333333333335, 'xsmm_custom_best': 4.1620333333333335, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 4.446266666666667, 'xsmm_reference_best': 4.446266666666667, 'xsmm_reference_cpu_freq': 2.499965, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.1713328873211404, 'speedup_best_over_ref': 1.1713328873211404, 'xsmm_custom_avg': 2.5958433333333333, 'xsmm_custom_best': 2.5958433333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 3.0405966666666666, 'xsmm_reference_best': 3.0405966666666666, 'xsmm_reference_cpu_freq': 2.499895, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9623926616255013, 'speedup_best_over_ref': 0.9623926616255013, 'xsmm_custom_avg': 3.641133333333333, 'xsmm_custom_best': 3.641133333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 3.5042, 'xsmm_reference_best': 3.5042, 'xsmm_reference_cpu_freq': 2.499959, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9369866533038607, 'speedup_best_over_ref': 0.9369866533038607, 'xsmm_custom_avg': 2.620873333333333, 'xsmm_custom_best': 2.620873333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.4557233333333333, 'xsmm_reference_best': 2.4557233333333333, 'xsmm_reference_cpu_freq': 2.499959, 'xsmm_reference_kernel_type': 'wide-sparse'}
