{'N_BLOCKING=1_avg': 267.556, 'N_BLOCKING=1_best': 267.556, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 267.06600000000003, 'N_BLOCKING=2_best': 267.06600000000003, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 266.924, 'N_BLOCKING=3_best': 266.924, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 9000000, 'xsmm_reference_avg': 260.843, 'xsmm_reference_best': 260.843, 'xsmm_reference_cpu_freq': 2.999963, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 163.78300000000002, 'N_BLOCKING=1_best': 163.78300000000002, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 166.423, 'N_BLOCKING=2_best': 166.423, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 164.893, 'N_BLOCKING=3_best': 164.893, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 9000000, 'xsmm_reference_avg': 164.794, 'xsmm_reference_best': 164.794, 'xsmm_reference_cpu_freq': 2.999906, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 204.02300000000002, 'N_BLOCKING=1_best': 204.02300000000002, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 203.264, 'N_BLOCKING=2_best': 203.264, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 203.30600000000004, 'N_BLOCKING=3_best': 203.30600000000004, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 6000000, 'xsmm_reference_avg': 190.504, 'xsmm_reference_best': 190.504, 'xsmm_reference_cpu_freq': 2.999962, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 166.046, 'N_BLOCKING=1_best': 166.046, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 167.161, 'N_BLOCKING=2_best': 167.161, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 164.778, 'N_BLOCKING=3_best': 164.778, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 9000000, 'xsmm_reference_avg': 187.99199999999996, 'xsmm_reference_best': 187.99199999999996, 'xsmm_reference_cpu_freq': 2.999957, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 264.136, 'N_BLOCKING=1_best': 264.136, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 264.57, 'N_BLOCKING=2_best': 264.57, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 265.167, 'N_BLOCKING=3_best': 265.167, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 9000000, 'xsmm_reference_avg': 259.467, 'xsmm_reference_best': 259.467, 'xsmm_reference_cpu_freq': 2.999982, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 244.86400000000003, 'N_BLOCKING=1_best': 244.86400000000003, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 245.173, 'N_BLOCKING=2_best': 245.173, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 244.794, 'N_BLOCKING=3_best': 244.794, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 3555552, 'xsmm_reference_avg': 236.389, 'xsmm_reference_best': 236.389, 'xsmm_reference_cpu_freq': 2.999912, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 348.91700000000003, 'N_BLOCKING=1_best': 348.91700000000003, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 350.715, 'N_BLOCKING=2_best': 350.715, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 351.49699999999996, 'N_BLOCKING=3_best': 351.49699999999996, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 3555552, 'xsmm_reference_avg': 395.823, 'xsmm_reference_best': 395.823, 'xsmm_reference_cpu_freq': 2.999936, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 339.856, 'N_BLOCKING=1_best': 339.856, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 338.909, 'N_BLOCKING=2_best': 338.909, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 371.67100000000005, 'N_BLOCKING=3_best': 371.67100000000005, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 2133312, 'xsmm_reference_avg': 339.90700000000004, 'xsmm_reference_best': 339.90700000000004, 'xsmm_reference_cpu_freq': 2.999934, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 352.957, 'N_BLOCKING=1_best': 352.957, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 385.922, 'N_BLOCKING=2_best': 385.922, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 352.13199999999995, 'N_BLOCKING=3_best': 352.13199999999995, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 2666640, 'xsmm_reference_avg': 397.90599999999995, 'xsmm_reference_best': 397.90599999999995, 'xsmm_reference_cpu_freq': 2.999943, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 285.83, 'N_BLOCKING=1_best': 285.83, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 279.793, 'N_BLOCKING=2_best': 279.793, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 279.708, 'N_BLOCKING=3_best': 279.708, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 2666640, 'xsmm_reference_avg': 267.16, 'xsmm_reference_best': 267.16, 'xsmm_reference_cpu_freq': 2.999908, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 269.784, 'N_BLOCKING=1_best': 269.784, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 269.805, 'N_BLOCKING=2_best': 269.805, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 269.14099999999996, 'N_BLOCKING=3_best': 269.14099999999996, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 3555552, 'xsmm_reference_avg': 253.596, 'xsmm_reference_best': 253.596, 'xsmm_reference_cpu_freq': 2.999967, 'xsmm_reference_kernel_type': 'wide-sparse'}
