{'M_BLOCKING=1_avg': 0.3636, 'M_BLOCKING=1_best': 0.3636, 'M_BLOCKING=1_kernel_type': 'sparse', 'M_BLOCKING=2_avg': 0.3586, 'M_BLOCKING=2_best': 0.3586, 'M_BLOCKING=2_kernel_type': 'sparse', 'M_BLOCKING=4_avg': 0.35633333333333334, 'M_BLOCKING=4_best': 0.35633333333333334, 'M_BLOCKING=4_kernel_type': 'sparse', 'M_BLOCKING=6_avg': 0.35500000000000004, 'M_BLOCKING=6_best': 0.35500000000000004, 'M_BLOCKING=6_kernel_type': 'sparse', 'M_BLOCKING=8_avg': 0.3559333333333334, 'M_BLOCKING=8_best': 0.3559333333333334, 'M_BLOCKING=8_kernel_type': 'sparse', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m3.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.13533333333333333, 'xsmm_reference_best': 0.13533333333333333, 'xsmm_reference_cpu_freq': 0.999998, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=1_avg': 1.0327333333333333, 'M_BLOCKING=1_best': 1.0327333333333333, 'M_BLOCKING=1_kernel_type': 'sparse', 'M_BLOCKING=2_avg': 1.0254, 'M_BLOCKING=2_best': 1.0254, 'M_BLOCKING=2_kernel_type': 'sparse', 'M_BLOCKING=4_avg': 1.0339, 'M_BLOCKING=4_best': 1.0339, 'M_BLOCKING=4_kernel_type': 'sparse', 'M_BLOCKING=6_avg': 1.0206333333333333, 'M_BLOCKING=6_best': 1.0206333333333333, 'M_BLOCKING=6_kernel_type': 'sparse', 'M_BLOCKING=8_avg': 1.0285666666666666, 'M_BLOCKING=8_best': 1.0285666666666666, 'M_BLOCKING=8_kernel_type': 'sparse', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m6.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.3892, 'xsmm_reference_best': 0.3892, 'xsmm_reference_cpu_freq': 0.999999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=1_avg': 0.4202666666666667, 'M_BLOCKING=1_best': 0.4202666666666667, 'M_BLOCKING=1_kernel_type': 'sparse', 'M_BLOCKING=2_avg': 0.4046, 'M_BLOCKING=2_best': 0.4046, 'M_BLOCKING=2_kernel_type': 'sparse', 'M_BLOCKING=4_avg': 0.40099999999999997, 'M_BLOCKING=4_best': 0.40099999999999997, 'M_BLOCKING=4_kernel_type': 'sparse', 'M_BLOCKING=6_avg': 0.39426666666666665, 'M_BLOCKING=6_best': 0.39426666666666665, 'M_BLOCKING=6_kernel_type': 'sparse', 'M_BLOCKING=8_avg': 0.39916666666666667, 'M_BLOCKING=8_best': 0.39916666666666667, 'M_BLOCKING=8_kernel_type': 'sparse', 'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m132.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.17543333333333333, 'xsmm_reference_best': 0.17543333333333333, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=1_avg': 1.036099999999999, 'M_BLOCKING=1_best': 1.036099999999999, 'M_BLOCKING=1_kernel_type': 'sparse', 'M_BLOCKING=2_avg': 1.0222, 'M_BLOCKING=2_best': 1.0222, 'M_BLOCKING=2_kernel_type': 'sparse', 'M_BLOCKING=4_avg': 1.0184333333333333, 'M_BLOCKING=4_best': 1.0184333333333333, 'M_BLOCKING=4_kernel_type': 'sparse', 'M_BLOCKING=6_avg': 1.0217, 'M_BLOCKING=6_best': 1.0217, 'M_BLOCKING=6_kernel_type': 'sparse', 'M_BLOCKING=8_avg': 1.0302666666666667, 'M_BLOCKING=8_best': 1.0302666666666667, 'M_BLOCKING=8_kernel_type': 'sparse', 'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m460.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.3782666666666667, 'xsmm_reference_best': 0.3782666666666667, 'xsmm_reference_cpu_freq': 0.999999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=1_avg': 1.2053666666666667, 'M_BLOCKING=1_best': 1.2053666666666667, 'M_BLOCKING=1_kernel_type': 'sparse', 'M_BLOCKING=2_avg': 1.2032333333333334, 'M_BLOCKING=2_best': 1.2032333333333334, 'M_BLOCKING=2_kernel_type': 'sparse', 'M_BLOCKING=4_avg': 1.1956333333333333, 'M_BLOCKING=4_best': 1.1956333333333333, 'M_BLOCKING=4_kernel_type': 'sparse', 'M_BLOCKING=6_avg': 1.2082333333333333, 'M_BLOCKING=6_best': 1.2082333333333333, 'M_BLOCKING=6_kernel_type': 'sparse', 'M_BLOCKING=8_avg': 1.1939666666666668, 'M_BLOCKING=8_best': 1.1939666666666668, 'M_BLOCKING=8_kernel_type': 'sparse', 'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m0.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.4910333333333333, 'xsmm_reference_best': 0.4910333333333333, 'xsmm_reference_cpu_freq': 0.999999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=1_avg': 0.8679, 'M_BLOCKING=1_best': 0.8679, 'M_BLOCKING=1_kernel_type': 'sparse', 'M_BLOCKING=2_avg': 0.8748333333333334, 'M_BLOCKING=2_best': 0.8748333333333334, 'M_BLOCKING=2_kernel_type': 'sparse', 'M_BLOCKING=4_avg': 0.8624666666666666, 'M_BLOCKING=4_best': 0.8624666666666666, 'M_BLOCKING=4_kernel_type': 'sparse', 'M_BLOCKING=6_avg': 0.8680666666666668, 'M_BLOCKING=6_best': 0.8680666666666668, 'M_BLOCKING=6_kernel_type': 'sparse', 'M_BLOCKING=8_avg': 0.8667333333333332, 'M_BLOCKING=8_best': 0.8667333333333332, 'M_BLOCKING=8_kernel_type': 'sparse', 'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m3.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.4000666666666667, 'xsmm_reference_best': 0.4000666666666667, 'xsmm_reference_cpu_freq': 0.999999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=1_avg': 2.3548666666666653, 'M_BLOCKING=1_best': 2.3548666666666653, 'M_BLOCKING=1_kernel_type': 'sparse', 'M_BLOCKING=2_avg': 2.3515333333333337, 'M_BLOCKING=2_best': 2.3515333333333337, 'M_BLOCKING=2_kernel_type': 'sparse', 'M_BLOCKING=4_avg': 2.3429333333333333, 'M_BLOCKING=4_best': 2.3429333333333333, 'M_BLOCKING=4_kernel_type': 'sparse', 'M_BLOCKING=6_avg': 2.3526666666666665, 'M_BLOCKING=6_best': 2.3526666666666665, 'M_BLOCKING=6_kernel_type': 'sparse', 'M_BLOCKING=8_avg': 2.3569, 'M_BLOCKING=8_best': 2.3569, 'M_BLOCKING=8_kernel_type': 'sparse', 'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m6.txt', 'size_n': 9600, 'xsmm_reference_avg': 1.0506, 'xsmm_reference_best': 1.0506, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=1_avg': 1.1292333333333333, 'M_BLOCKING=1_best': 1.1292333333333333, 'M_BLOCKING=1_kernel_type': 'sparse', 'M_BLOCKING=2_avg': 1.1363666666666667, 'M_BLOCKING=2_best': 1.1363666666666667, 'M_BLOCKING=2_kernel_type': 'sparse', 'M_BLOCKING=4_avg': 1.1290666666666667, 'M_BLOCKING=4_best': 1.1290666666666667, 'M_BLOCKING=4_kernel_type': 'sparse', 'M_BLOCKING=6_avg': 1.1283999999999998, 'M_BLOCKING=6_best': 1.1283999999999998, 'M_BLOCKING=6_kernel_type': 'sparse', 'M_BLOCKING=8_avg': 1.1853, 'M_BLOCKING=8_best': 1.1853, 'M_BLOCKING=8_kernel_type': 'sparse', 'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m132.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.6110333333333333, 'xsmm_reference_best': 0.6110333333333333, 'xsmm_reference_cpu_freq': 0.999999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=1_avg': 2.352633333333333, 'M_BLOCKING=1_best': 2.352633333333333, 'M_BLOCKING=1_kernel_type': 'sparse', 'M_BLOCKING=2_avg': 2.3402000000000007, 'M_BLOCKING=2_best': 2.3402000000000007, 'M_BLOCKING=2_kernel_type': 'sparse', 'M_BLOCKING=4_avg': 2.3314666666666666, 'M_BLOCKING=4_best': 2.3314666666666666, 'M_BLOCKING=4_kernel_type': 'sparse', 'M_BLOCKING=6_avg': 2.343566666666667, 'M_BLOCKING=6_best': 2.343566666666667, 'M_BLOCKING=6_kernel_type': 'sparse', 'M_BLOCKING=8_avg': 2.3374666666666664, 'M_BLOCKING=8_best': 2.3374666666666664, 'M_BLOCKING=8_kernel_type': 'sparse', 'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m460.txt', 'size_n': 9600, 'xsmm_reference_avg': 1.0415333333333332, 'xsmm_reference_best': 1.0415333333333332, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=1_avg': 1.2518, 'M_BLOCKING=1_best': 1.2518, 'M_BLOCKING=1_kernel_type': 'sparse', 'M_BLOCKING=2_avg': 1.2715, 'M_BLOCKING=2_best': 1.2715, 'M_BLOCKING=2_kernel_type': 'sparse', 'M_BLOCKING=4_avg': 1.2759333333333334, 'M_BLOCKING=4_best': 1.2759333333333334, 'M_BLOCKING=4_kernel_type': 'sparse', 'M_BLOCKING=6_avg': 1.2720666666666667, 'M_BLOCKING=6_best': 1.2720666666666667, 'M_BLOCKING=6_kernel_type': 'sparse', 'M_BLOCKING=8_avg': 1.2791666666666666, 'M_BLOCKING=8_best': 1.2791666666666666, 'M_BLOCKING=8_kernel_type': 'sparse', 'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m0.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.4951666666666667, 'xsmm_reference_best': 0.4951666666666667, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
