{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0522885038659069, 'speedup_best_over_ref': 1.0522885038659069, 'xsmm_custom_avg': 1.1812666666666662, 'xsmm_custom_best': 1.1812666666666662, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.2430333333333332, 'xsmm_reference_best': 1.2430333333333332, 'xsmm_reference_cpu_freq': 2.499912, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0161975420513112, 'speedup_best_over_ref': 1.0161975420513112, 'xsmm_custom_avg': 1.7656999999999998, 'xsmm_custom_best': 1.7656999999999998, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.7943, 'xsmm_reference_best': 1.7943, 'xsmm_reference_cpu_freq': 2.499924, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.1063153112221717, 'speedup_best_over_ref': 1.1063153112221717, 'xsmm_custom_avg': 2.3477333333333332, 'xsmm_custom_best': 2.3477333333333332, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.5973333333333333, 'xsmm_reference_best': 2.5973333333333333, 'xsmm_reference_cpu_freq': 2.49991, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.8855359001040581, 'speedup_best_over_ref': 0.8855359001040581, 'xsmm_custom_avg': 4.580766666666666, 'xsmm_custom_best': 4.580766666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 4.056433333333333, 'xsmm_reference_best': 4.056433333333333, 'xsmm_reference_cpu_freq': 2.500029, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9247547966839017, 'speedup_best_over_ref': 0.9247547966839017, 'xsmm_custom_avg': 10.321366666666666, 'xsmm_custom_best': 10.321366666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 9.544733333333333, 'xsmm_reference_best': 9.544733333333333, 'xsmm_reference_cpu_freq': 2.499917, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.8005364741262763, 'speedup_best_over_ref': 0.8005364741262763, 'xsmm_custom_avg': 29.439133333333334, 'xsmm_custom_best': 29.439133333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 23.567099999999996, 'xsmm_reference_best': 23.567099999999996, 'xsmm_reference_cpu_freq': 2.499993, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.052188228837975, 'speedup_best_over_ref': 1.052188228837975, 'xsmm_custom_avg': 1.2148333333333334, 'xsmm_custom_best': 1.2148333333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.2782333333333333, 'xsmm_reference_best': 1.2782333333333333, 'xsmm_reference_cpu_freq': 2.499988, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0227825745682888, 'speedup_best_over_ref': 1.0227825745682888, 'xsmm_custom_avg': 1.6986666666666668, 'xsmm_custom_best': 1.6986666666666668, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.7373666666666667, 'xsmm_reference_best': 1.7373666666666667, 'xsmm_reference_cpu_freq': 2.499979, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0193657030592198, 'speedup_best_over_ref': 1.0193657030592198, 'xsmm_custom_avg': 2.3753333333333333, 'xsmm_custom_best': 2.3753333333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.4213333333333336, 'xsmm_reference_best': 2.4213333333333336, 'xsmm_reference_cpu_freq': 2.499977, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.8822794877321817, 'speedup_best_over_ref': 0.8822794877321817, 'xsmm_custom_avg': 4.484633333333333, 'xsmm_custom_best': 4.484633333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 3.9566999999999997, 'xsmm_reference_best': 3.9566999999999997, 'xsmm_reference_cpu_freq': 2.499984, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9245501949214302, 'speedup_best_over_ref': 0.9245501949214302, 'xsmm_custom_avg': 9.4226, 'xsmm_custom_best': 9.4226, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 8.711666666666668, 'xsmm_reference_best': 8.711666666666668, 'xsmm_reference_cpu_freq': 2.49995, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_1024_p_0.05_uniq_64.txt', 'size_n': 9600, 'speedup_avg_over_ref': 5.944400410582967, 'speedup_best_over_ref': 5.944400410582967, 'xsmm_custom_avg': 29.6489, 'xsmm_custom_best': 29.6489, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 176.24493333333334, 'xsmm_reference_best': 176.24493333333334, 'xsmm_reference_cpu_freq': 2.499962, 'xsmm_reference_kernel_type': 'dense'}
