{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.07485848449762, 'speedup_best_over_ref': 1.07485848449762, 'xsmm_custom_avg': 4.1456, 'xsmm_custom_best': 4.1456, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 4.455933333333333, 'xsmm_reference_best': 4.455933333333333, 'xsmm_reference_cpu_freq': 2.499988, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0245220761535638, 'speedup_best_over_ref': 1.0245220761535638, 'xsmm_custom_avg': 6.364333333333334, 'xsmm_custom_best': 6.364333333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 6.520399999999999, 'xsmm_reference_best': 6.520399999999999, 'xsmm_reference_cpu_freq': 2.499893, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9142333230622368, 'speedup_best_over_ref': 0.9142333230622368, 'xsmm_custom_avg': 11.034199999999998, 'xsmm_custom_best': 11.034199999999998, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 10.087833333333332, 'xsmm_reference_best': 10.087833333333332, 'xsmm_reference_cpu_freq': 2.499932, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9057897499200999, 'speedup_best_over_ref': 0.9057897499200999, 'xsmm_custom_avg': 22.736733333333333, 'xsmm_custom_best': 22.736733333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 20.5947, 'xsmm_reference_best': 20.5947, 'xsmm_reference_cpu_freq': 2.499927, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9021894940830605, 'speedup_best_over_ref': 0.9021894940830605, 'xsmm_custom_avg': 43.4149, 'xsmm_custom_best': 43.4149, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 39.16846666666667, 'xsmm_reference_best': 39.16846666666667, 'xsmm_reference_cpu_freq': 2.499965, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.8172721179370857, 'speedup_best_over_ref': 0.8172721179370857, 'xsmm_custom_avg': 88.02433333333333, 'xsmm_custom_best': 88.02433333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 71.93983333333334, 'xsmm_reference_best': 71.93983333333334, 'xsmm_reference_cpu_freq': 2.499919, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0517367243612388, 'speedup_best_over_ref': 1.0517367243612388, 'xsmm_custom_avg': 4.246499999999999, 'xsmm_custom_best': 4.246499999999999, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 4.4662, 'xsmm_reference_best': 4.4662, 'xsmm_reference_cpu_freq': 2.499932, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0783594437993953, 'speedup_best_over_ref': 1.0783594437993953, 'xsmm_custom_avg': 5.9427, 'xsmm_custom_best': 5.9427, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 6.408366666666667, 'xsmm_reference_best': 6.408366666666667, 'xsmm_reference_cpu_freq': 2.499958, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.8902934579910287, 'speedup_best_over_ref': 0.8902934579910287, 'xsmm_custom_avg': 10.581866666666667, 'xsmm_custom_best': 10.581866666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 9.420966666666667, 'xsmm_reference_best': 9.420966666666667, 'xsmm_reference_cpu_freq': 2.499945, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.8830590410247136, 'speedup_best_over_ref': 0.8830590410247136, 'xsmm_custom_avg': 23.2234, 'xsmm_custom_best': 23.2234, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 20.507633333333334, 'xsmm_reference_best': 20.507633333333334, 'xsmm_reference_cpu_freq': 2.499967, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.8551420966959706, 'speedup_best_over_ref': 0.8551420966959706, 'xsmm_custom_avg': 42.819433333333336, 'xsmm_custom_best': 42.819433333333336, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 36.6167, 'xsmm_reference_best': 36.6167, 'xsmm_reference_cpu_freq': 2.499995, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_1024_p_0.05_uniq_64.txt', 'size_n': 33600, 'speedup_avg_over_ref': 6.486269832151795, 'speedup_best_over_ref': 6.486269832151795, 'xsmm_custom_avg': 88.7826, 'xsmm_custom_best': 88.7826, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 575.8679, 'xsmm_reference_best': 575.8679, 'xsmm_reference_cpu_freq': 2.499963, 'xsmm_reference_kernel_type': 'dense'}
