{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0759024203088534, 'speedup_best_over_ref': 1.0759024203088534, 'xsmm_custom_avg': 4.170266666666667, 'xsmm_custom_best': 4.170266666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 4.486800000000001, 'xsmm_reference_best': 4.486800000000001, 'xsmm_reference_cpu_freq': 2.499984, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0147074850151088, 'speedup_best_over_ref': 1.0147074850151088, 'xsmm_custom_avg': 6.729, 'xsmm_custom_best': 6.729, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 6.827966666666667, 'xsmm_reference_best': 6.827966666666667, 'xsmm_reference_cpu_freq': 2.499988, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.8972753363897277, 'speedup_best_over_ref': 0.8972753363897277, 'xsmm_custom_avg': 12.520199999999999, 'xsmm_custom_best': 12.520199999999999, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 11.234066666666667, 'xsmm_reference_best': 11.234066666666667, 'xsmm_reference_cpu_freq': 2.499946, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.8440216194717293, 'speedup_best_over_ref': 0.8440216194717293, 'xsmm_custom_avg': 23.4665, 'xsmm_custom_best': 23.4665, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 19.806233333333335, 'xsmm_reference_best': 19.806233333333335, 'xsmm_reference_cpu_freq': 2.499915, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9112512022505665, 'speedup_best_over_ref': 0.9112512022505665, 'xsmm_custom_avg': 42.9403, 'xsmm_custom_best': 42.9403, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 39.129400000000004, 'xsmm_reference_best': 39.129400000000004, 'xsmm_reference_cpu_freq': 2.499891, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.8333855719481682, 'speedup_best_over_ref': 0.8333855719481682, 'xsmm_custom_avg': 87.63206666666666, 'xsmm_custom_best': 87.63206666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 73.0313, 'xsmm_reference_best': 73.0313, 'xsmm_reference_cpu_freq': 2.499899, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0468015308911973, 'speedup_best_over_ref': 1.0468015308911973, 'xsmm_custom_avg': 4.267666666666667, 'xsmm_custom_best': 4.267666666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 4.4674, 'xsmm_reference_best': 4.4674, 'xsmm_reference_cpu_freq': 2.499914, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0523438912044518, 'speedup_best_over_ref': 1.0523438912044518, 'xsmm_custom_avg': 6.086033333333333, 'xsmm_custom_best': 6.086033333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 6.4046, 'xsmm_reference_best': 6.4046, 'xsmm_reference_cpu_freq': 2.499951, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.8766508045316594, 'speedup_best_over_ref': 0.8766508045316594, 'xsmm_custom_avg': 11.719033333333334, 'xsmm_custom_best': 11.719033333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 10.273500000000002, 'xsmm_reference_best': 10.273500000000002, 'xsmm_reference_cpu_freq': 2.499964, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.8653250507128531, 'speedup_best_over_ref': 0.8653250507128531, 'xsmm_custom_avg': 23.202533333333335, 'xsmm_custom_best': 23.202533333333335, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 20.077733333333335, 'xsmm_reference_best': 20.077733333333335, 'xsmm_reference_cpu_freq': 2.499879, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.8542885500201355, 'speedup_best_over_ref': 0.8542885500201355, 'xsmm_custom_avg': 42.0484, 'xsmm_custom_best': 42.0484, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 35.92146666666667, 'xsmm_reference_best': 35.92146666666667, 'xsmm_reference_cpu_freq': 2.499903, 'xsmm_reference_kernel_type': 'sparse'}
