{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 1.070595975271069, 'speedup_best_over_ref': 1.070595975271069, 'xsmm_custom_avg': 13.2746, 'xsmm_custom_best': 13.2746, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 14.211733333333333, 'xsmm_reference_best': 14.211733333333333, 'xsmm_reference_cpu_freq': 2.499989, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.7917845727896418, 'speedup_best_over_ref': 0.7917845727896418, 'xsmm_custom_avg': 26.197866666666666, 'xsmm_custom_best': 26.197866666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 20.743066666666664, 'xsmm_reference_best': 20.743066666666664, 'xsmm_reference_cpu_freq': 2.499919, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.8961013564733407, 'speedup_best_over_ref': 0.8961013564733407, 'xsmm_custom_avg': 42.78496666666667, 'xsmm_custom_best': 42.78496666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 38.339666666666666, 'xsmm_reference_best': 38.339666666666666, 'xsmm_reference_cpu_freq': 2.499934, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.8380500865435556, 'speedup_best_over_ref': 0.8380500865435556, 'xsmm_custom_avg': 77.2636, 'xsmm_custom_best': 77.2636, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 64.75076666666666, 'xsmm_reference_best': 64.75076666666666, 'xsmm_reference_cpu_freq': 2.499963, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.9184943113106062, 'speedup_best_over_ref': 0.9184943113106062, 'xsmm_custom_avg': 138.23043333333334, 'xsmm_custom_best': 138.23043333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 126.96386666666668, 'xsmm_reference_best': 126.96386666666668, 'xsmm_reference_cpu_freq': 2.499964, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.7950934434338146, 'speedup_best_over_ref': 0.7950934434338146, 'xsmm_custom_avg': 318.28703333333334, 'xsmm_custom_best': 318.28703333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 253.06793333333334, 'xsmm_reference_best': 253.06793333333334, 'xsmm_reference_cpu_freq': 2.499932, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 105600, 'speedup_avg_over_ref': 1.0601708395557783, 'speedup_best_over_ref': 1.0601708395557783, 'xsmm_custom_avg': 13.704866666666666, 'xsmm_custom_best': 13.704866666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 14.5295, 'xsmm_reference_best': 14.5295, 'xsmm_reference_cpu_freq': 2.499988, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.7712087567695654, 'speedup_best_over_ref': 0.7712087567695654, 'xsmm_custom_avg': 26.1649, 'xsmm_custom_best': 26.1649, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 20.1786, 'xsmm_reference_best': 20.1786, 'xsmm_reference_cpu_freq': 2.499961, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.8605062259942019, 'speedup_best_over_ref': 0.8605062259942019, 'xsmm_custom_avg': 41.8996, 'xsmm_custom_best': 41.8996, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 36.05486666666666, 'xsmm_reference_best': 36.05486666666666, 'xsmm_reference_cpu_freq': 2.499945, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.8590680138742272, 'speedup_best_over_ref': 0.8590680138742272, 'xsmm_custom_avg': 77.36166666666666, 'xsmm_custom_best': 77.36166666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 66.45893333333333, 'xsmm_reference_best': 66.45893333333333, 'xsmm_reference_cpu_freq': 2.499967, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.8477292537986427, 'speedup_best_over_ref': 0.8477292537986427, 'xsmm_custom_avg': 138.24016666666665, 'xsmm_custom_best': 138.24016666666665, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 117.19023333333332, 'xsmm_reference_best': 117.19023333333332, 'xsmm_reference_cpu_freq': 2.499957, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_1024_p_0.05_uniq_64.txt', 'size_n': 105600, 'speedup_avg_over_ref': 5.998760392253107, 'speedup_best_over_ref': 5.998760392253107, 'xsmm_custom_avg': 320.2626, 'xsmm_custom_best': 320.2626, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1921.1786, 'xsmm_reference_best': 1921.1786, 'xsmm_reference_cpu_freq': 2.49992, 'xsmm_reference_kernel_type': 'dense'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 256, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_256/r_128_c_64_p_0.05_uniq_256.txt', 'size_n': 105600, 'speedup_avg_over_ref': 2.5056833620143104, 'speedup_best_over_ref': 2.5056833620143104, 'xsmm_custom_avg': 27.970533333333332, 'xsmm_custom_best': 27.970533333333332, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 70.0853, 'xsmm_reference_best': 70.0853, 'xsmm_reference_cpu_freq': 2.499951, 'xsmm_reference_kernel_type': 'dense'}
