{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 1.0699000996743635, 'speedup_best_over_ref': 1.0699000996743635, 'xsmm_custom_avg': 13.276566666666668, 'xsmm_custom_best': 13.276566666666668, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 14.204600000000001, 'xsmm_reference_best': 14.204600000000001, 'xsmm_reference_cpu_freq': 2.499916, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.7835956117052915, 'speedup_best_over_ref': 0.7835956117052915, 'xsmm_custom_avg': 26.6193, 'xsmm_custom_best': 26.6193, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 20.858766666666664, 'xsmm_reference_best': 20.858766666666664, 'xsmm_reference_cpu_freq': 2.499965, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.8992721586979466, 'speedup_best_over_ref': 0.8992721586979466, 'xsmm_custom_avg': 42.50926666666667, 'xsmm_custom_best': 42.50926666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 38.2274, 'xsmm_reference_best': 38.2274, 'xsmm_reference_cpu_freq': 2.499964, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.8387458350540875, 'speedup_best_over_ref': 0.8387458350540875, 'xsmm_custom_avg': 77.08183333333334, 'xsmm_custom_best': 77.08183333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 64.65206666666667, 'xsmm_reference_best': 64.65206666666667, 'xsmm_reference_cpu_freq': 2.499999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.9227353884141376, 'speedup_best_over_ref': 0.9227353884141376, 'xsmm_custom_avg': 137.967, 'xsmm_custom_best': 137.967, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 127.30703333333334, 'xsmm_reference_best': 127.30703333333334, 'xsmm_reference_cpu_freq': 2.499964, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats_wider/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.7958196909725395, 'speedup_best_over_ref': 0.7958196909725395, 'xsmm_custom_avg': 313.37236666666666, 'xsmm_custom_best': 313.37236666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 249.3879, 'xsmm_reference_best': 249.3879, 'xsmm_reference_cpu_freq': 2.499991, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 105600, 'speedup_avg_over_ref': 1.053220793982853, 'speedup_best_over_ref': 1.053220793982853, 'xsmm_custom_avg': 13.782833333333334, 'xsmm_custom_best': 13.782833333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 14.516366666666666, 'xsmm_reference_best': 14.516366666666666, 'xsmm_reference_cpu_freq': 2.499937, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.7565335584720742, 'speedup_best_over_ref': 0.7565335584720742, 'xsmm_custom_avg': 26.215933333333336, 'xsmm_custom_best': 26.215933333333336, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 19.833233333333332, 'xsmm_reference_best': 19.833233333333332, 'xsmm_reference_cpu_freq': 2.499954, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.8578915650198047, 'speedup_best_over_ref': 0.8578915650198047, 'xsmm_custom_avg': 41.9262, 'xsmm_custom_best': 41.9262, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 35.968133333333334, 'xsmm_reference_best': 35.968133333333334, 'xsmm_reference_cpu_freq': 2.499925, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.8525044412576784, 'speedup_best_over_ref': 0.8525044412576784, 'xsmm_custom_avg': 77.86833333333334, 'xsmm_custom_best': 77.86833333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 66.3831, 'xsmm_reference_best': 66.3831, 'xsmm_reference_cpu_freq': 2.499948, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats_wider/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.8508063364999059, 'speedup_best_over_ref': 0.8508063364999059, 'xsmm_custom_avg': 137.77953333333335, 'xsmm_custom_best': 137.77953333333335, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 117.22370000000001, 'xsmm_reference_best': 117.22370000000001, 'xsmm_reference_cpu_freq': 2.499905, 'xsmm_reference_kernel_type': 'sparse'}
