{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m3.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.5836919104991396, 'speedup_best_over_ref': 0.5836919104991396, 'xsmm_custom_avg': 4.028266666666665, 'xsmm_custom_best': 4.028266666666665, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 2.3512666666666666, 'xsmm_reference_best': 2.3512666666666666, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m6.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.3711863646557524, 'speedup_best_over_ref': 0.3711863646557524, 'xsmm_custom_avg': 11.1475, 'xsmm_custom_best': 11.1475, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 4.1378, 'xsmm_reference_best': 4.1378, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m132.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.8482620279342444, 'speedup_best_over_ref': 0.8482620279342444, 'xsmm_custom_avg': 5.367366666666666, 'xsmm_custom_best': 5.367366666666666, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 4.552933333333332, 'xsmm_reference_best': 4.552933333333332, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m460.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.327106093219077, 'speedup_best_over_ref': 0.327106093219077, 'xsmm_custom_avg': 9.8492, 'xsmm_custom_best': 9.8492, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 3.2217333333333333, 'xsmm_reference_best': 3.2217333333333333, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m0.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.37811366892129444, 'speedup_best_over_ref': 0.37811366892129444, 'xsmm_custom_avg': 12.704733333333333, 'xsmm_custom_best': 12.704733333333333, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 4.803833333333333, 'xsmm_reference_best': 4.803833333333333, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m3.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.5731668954472661, 'speedup_best_over_ref': 0.5731668954472661, 'xsmm_custom_avg': 13.9872, 'xsmm_custom_best': 13.9872, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 8.017, 'xsmm_reference_best': 8.017, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m6.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.4700404744842607, 'speedup_best_over_ref': 0.4700404744842607, 'xsmm_custom_avg': 24.9787, 'xsmm_custom_best': 24.9787, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 11.741000000000001, 'xsmm_reference_best': 11.741000000000001, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m132.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.441874674626796, 'speedup_best_over_ref': 0.441874674626796, 'xsmm_custom_avg': 22.858366666666665, 'xsmm_custom_best': 22.858366666666665, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 10.100533333333333, 'xsmm_reference_best': 10.100533333333333, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m460.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.4174222051479063, 'speedup_best_over_ref': 0.4174222051479063, 'xsmm_custom_avg': 29.500666666666667, 'xsmm_custom_best': 29.500666666666667, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 12.314233333333334, 'xsmm_reference_best': 12.314233333333334, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m0.txt', 'size_n': 81600, 'speedup_avg_over_ref': 0.3299460635453021, 'speedup_best_over_ref': 0.3299460635453021, 'xsmm_custom_avg': 18.385833333333334, 'xsmm_custom_best': 18.385833333333334, 'xsmm_custom_kernel_type': 'sparse', 'xsmm_reference_avg': 6.066333333333334, 'xsmm_reference_best': 6.066333333333334, 'xsmm_reference_cpu_freq': 1.0, 'xsmm_reference_kernel_type': 'wide-sparse'}
