{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 9600, 'speedup_avg_over_ref': 0.9933655006031362, 'speedup_best_over_ref': 0.9933655006031362, 'xsmm_custom_avg': 0.2763333333333333, 'xsmm_custom_best': 0.2763333333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.27449999999999997, 'xsmm_reference_best': 0.27449999999999997, 'xsmm_reference_cpu_freq': 2.999941, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.1358894840710458, 'speedup_best_over_ref': 1.1358894840710458, 'xsmm_custom_avg': 0.11823333333333334, 'xsmm_custom_best': 0.11823333333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.1343, 'xsmm_reference_best': 0.1343, 'xsmm_reference_cpu_freq': 2.999952, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0276972998029879, 'speedup_best_over_ref': 1.0276972998029879, 'xsmm_custom_avg': 0.28763333333333396, 'xsmm_custom_best': 0.28763333333333396, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.29560000000000003, 'xsmm_reference_best': 0.29560000000000003, 'xsmm_reference_cpu_freq': 2.999892, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0928713433683612, 'speedup_best_over_ref': 1.0928713433683612, 'xsmm_custom_avg': 0.11736666666666666, 'xsmm_custom_best': 0.11736666666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.12826666666666667, 'xsmm_reference_best': 0.12826666666666667, 'xsmm_reference_cpu_freq': 2.999974, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0293537247163294, 'speedup_best_over_ref': 1.0293537247163294, 'xsmm_custom_avg': 0.2702666666666667, 'xsmm_custom_best': 0.2702666666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.2782, 'xsmm_reference_best': 0.2782, 'xsmm_reference_cpu_freq': 2.999947, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0418753095251199, 'speedup_best_over_ref': 1.0418753095251199, 'xsmm_custom_avg': 0.6057666666666666, 'xsmm_custom_best': 0.6057666666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.6311333333333333, 'xsmm_reference_best': 0.6311333333333333, 'xsmm_reference_cpu_freq': 2.999954, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.081532070689291, 'speedup_best_over_ref': 1.081532070689291, 'xsmm_custom_avg': 0.4734333333333333, 'xsmm_custom_best': 0.4734333333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.5120333333333333, 'xsmm_reference_best': 0.5120333333333333, 'xsmm_reference_cpu_freq': 2.999927, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0218822496708257, 'speedup_best_over_ref': 1.0218822496708257, 'xsmm_custom_avg': 1.0632666666666666, 'xsmm_custom_best': 1.0632666666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.0865333333333331, 'xsmm_reference_best': 1.0865333333333331, 'xsmm_reference_cpu_freq': 2.999951, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.078879839339507, 'speedup_best_over_ref': 1.078879839339507, 'xsmm_custom_avg': 0.5975333333333332, 'xsmm_custom_best': 0.5975333333333332, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.6446666666666666, 'xsmm_reference_best': 0.6446666666666666, 'xsmm_reference_cpu_freq': 2.999935, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0446093975208994, 'speedup_best_over_ref': 1.0446093975208994, 'xsmm_custom_avg': 0.9250666666666666, 'xsmm_custom_best': 0.9250666666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.9663333333333333, 'xsmm_reference_best': 0.9663333333333333, 'xsmm_reference_cpu_freq': 2.999954, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 9600, 'speedup_avg_over_ref': 1.0779352768119819, 'speedup_best_over_ref': 1.0779352768119819, 'xsmm_custom_avg': 0.6231666666666666, 'xsmm_custom_best': 0.6231666666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 0.6717333333333334, 'xsmm_reference_best': 0.6717333333333334, 'xsmm_reference_cpu_freq': 2.999946, 'xsmm_reference_kernel_type': 'wide-sparse'}
