{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m3.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0253706754530476, 'speedup_best_over_ref': 1.0253706754530476, 'xsmm_custom_avg': 1.8210000000000002, 'xsmm_custom_best': 1.8210000000000002, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.8672, 'xsmm_reference_best': 1.8672, 'xsmm_reference_cpu_freq': 2.999929, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m6.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9890593785863051, 'speedup_best_over_ref': 0.9890593785863051, 'xsmm_custom_avg': 3.9211666666666667, 'xsmm_custom_best': 3.9211666666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 3.8782666666666668, 'xsmm_reference_best': 3.8782666666666668, 'xsmm_reference_cpu_freq': 2.999864, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m132.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9657683088021148, 'speedup_best_over_ref': 0.9657683088021148, 'xsmm_custom_avg': 2.9758, 'xsmm_custom_best': 2.9758, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 2.8739333333333335, 'xsmm_reference_best': 2.8739333333333335, 'xsmm_reference_cpu_freq': 2.999934, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m460.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0490878040653109, 'speedup_best_over_ref': 1.0490878040653109, 'xsmm_custom_avg': 3.201066666666668, 'xsmm_custom_best': 3.201066666666668, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 3.3581999999999996, 'xsmm_reference_best': 3.3581999999999996, 'xsmm_reference_cpu_freq': 2.999904, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m0.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9610733690839668, 'speedup_best_over_ref': 0.9610733690839668, 'xsmm_custom_avg': 4.705433333333334, 'xsmm_custom_best': 4.705433333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 4.522266666666667, 'xsmm_reference_best': 4.522266666666667, 'xsmm_reference_cpu_freq': 2.999954, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m3.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9938591062358615, 'speedup_best_over_ref': 0.9938591062358615, 'xsmm_custom_avg': 6.247733333333334, 'xsmm_custom_best': 6.247733333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 6.209366666666667, 'xsmm_reference_best': 6.209366666666667, 'xsmm_reference_cpu_freq': 2.999981, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m6.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9353036143372047, 'speedup_best_over_ref': 0.9353036143372047, 'xsmm_custom_avg': 10.653866666666666, 'xsmm_custom_best': 10.653866666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 9.964599999999999, 'xsmm_reference_best': 9.964599999999999, 'xsmm_reference_cpu_freq': 2.999909, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m132.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9926832220229515, 'speedup_best_over_ref': 0.9926832220229515, 'xsmm_custom_avg': 12.118266666666667, 'xsmm_custom_best': 12.118266666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 12.029599999999999, 'xsmm_reference_best': 12.029599999999999, 'xsmm_reference_cpu_freq': 2.999946, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m460.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0128040310902264, 'speedup_best_over_ref': 1.0128040310902264, 'xsmm_custom_avg': 9.023200000000001, 'xsmm_custom_best': 9.023200000000001, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 9.138733333333333, 'xsmm_reference_best': 9.138733333333333, 'xsmm_reference_cpu_freq': 2.999943, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m0.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.1044661398635343, 'speedup_best_over_ref': 1.1044661398635343, 'xsmm_custom_avg': 4.943866666666667, 'xsmm_custom_best': 4.943866666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 5.460333333333332, 'xsmm_reference_best': 5.460333333333332, 'xsmm_reference_cpu_freq': 2.999983, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m3.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0073045608203102, 'speedup_best_over_ref': 1.0073045608203102, 'xsmm_custom_avg': 5.3345666666666665, 'xsmm_custom_best': 5.3345666666666665, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 5.373533333333333, 'xsmm_reference_best': 5.373533333333333, 'xsmm_reference_cpu_freq': 2.999983, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m6.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9636271427761435, 'speedup_best_over_ref': 0.9636271427761435, 'xsmm_custom_avg': 10.582066666666666, 'xsmm_custom_best': 10.582066666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 10.197166666666668, 'xsmm_reference_best': 10.197166666666668, 'xsmm_reference_cpu_freq': 2.999928, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 192, 'a_nonzero': 768, 'a_rows': 64, 'a_size': 12288, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m132.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9692073604588792, 'speedup_best_over_ref': 0.9692073604588792, 'xsmm_custom_avg': 12.180399999999999, 'xsmm_custom_best': 12.180399999999999, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 11.805333333333332, 'xsmm_reference_best': 11.805333333333332, 'xsmm_reference_cpu_freq': 2.999935, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 768, 'a_rows': 192, 'a_size': 12288, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m460.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9055013890609241, 'speedup_best_over_ref': 0.9055013890609241, 'xsmm_custom_avg': 9.418833333333334, 'xsmm_custom_best': 9.418833333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 8.528766666666668, 'xsmm_reference_best': 8.528766666666668, 'xsmm_reference_cpu_freq': 2.999949, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 125, 'a_nonzero': 150, 'a_rows': 150, 'a_size': 18750, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.008, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m0.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9825147511011387, 'speedup_best_over_ref': 0.9825147511011387, 'xsmm_custom_avg': 8.021999999999998, 'xsmm_custom_best': 8.021999999999998, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 7.881733333333333, 'xsmm_reference_best': 7.881733333333333, 'xsmm_reference_cpu_freq': 2.999906, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m3.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.042748052363437, 'speedup_best_over_ref': 1.042748052363437, 'xsmm_custom_avg': 11.672266666666667, 'xsmm_custom_best': 11.672266666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 12.171233333333333, 'xsmm_reference_best': 12.171233333333333, 'xsmm_reference_cpu_freq': 2.999925, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m6.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9348589940484789, 'speedup_best_over_ref': 0.9348589940484789, 'xsmm_custom_avg': 22.616066666666665, 'xsmm_custom_best': 22.616066666666665, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 21.142833333333336, 'xsmm_reference_best': 21.142833333333336, 'xsmm_reference_cpu_freq': 3.000002, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 375, 'a_nonzero': 1650, 'a_rows': 125, 'a_size': 46875, 'a_unique': 11, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m132.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.8371698093306003, 'speedup_best_over_ref': 0.8371698093306003, 'xsmm_custom_avg': 28.4419, 'xsmm_custom_best': 28.4419, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 23.8107, 'xsmm_reference_best': 23.8107, 'xsmm_reference_cpu_freq': 2.999983, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 125, 'a_nonzero': 1650, 'a_rows': 375, 'a_size': 46875, 'a_unique': 11, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m460.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9224239383296081, 'speedup_best_over_ref': 0.9224239383296081, 'xsmm_custom_avg': 21.923000000000002, 'xsmm_custom_best': 21.923000000000002, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 20.2223, 'xsmm_reference_best': 20.2223, 'xsmm_reference_cpu_freq': 2.999969, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 125, 'a_nonzero': 750, 'a_rows': 150, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m0.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.8543166335852069, 'speedup_best_over_ref': 0.8543166335852069, 'xsmm_custom_avg': 11.7387, 'xsmm_custom_best': 11.7387, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 10.028566666666668, 'xsmm_reference_best': 10.028566666666668, 'xsmm_reference_cpu_freq': 2.999931, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m3.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.013976882141388, 'speedup_best_over_ref': 1.013976882141388, 'xsmm_custom_avg': 12.558833333333332, 'xsmm_custom_best': 12.558833333333332, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 12.734366666666666, 'xsmm_reference_best': 12.734366666666666, 'xsmm_reference_cpu_freq': 2.999903, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m6.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9150702502054014, 'speedup_best_over_ref': 0.9150702502054014, 'xsmm_custom_avg': 22.557466666666663, 'xsmm_custom_best': 22.557466666666663, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 20.641666666666666, 'xsmm_reference_best': 20.641666666666666, 'xsmm_reference_cpu_freq': 2.999905, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 375, 'a_nonzero': 1800, 'a_rows': 125, 'a_size': 46875, 'a_unique': 12, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m132.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.8388261268765501, 'speedup_best_over_ref': 0.8388261268765501, 'xsmm_custom_avg': 28.172266666666665, 'xsmm_custom_best': 28.172266666666665, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 23.631633333333337, 'xsmm_reference_best': 23.631633333333337, 'xsmm_reference_cpu_freq': 2.999976, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 125, 'a_nonzero': 1800, 'a_rows': 375, 'a_size': 46875, 'a_unique': 12, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m460.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9731042927200104, 'speedup_best_over_ref': 0.9731042927200104, 'xsmm_custom_avg': 21.397466666666666, 'xsmm_custom_best': 21.397466666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 20.821966666666665, 'xsmm_reference_best': 20.821966666666665, 'xsmm_reference_cpu_freq': 2.999905, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 216, 'a_nonzero': 216, 'a_rows': 216, 'a_size': 46656, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.004629629629629629, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m0.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9797933028513338, 'speedup_best_over_ref': 0.9797933028513338, 'xsmm_custom_avg': 13.246433333333332, 'xsmm_custom_best': 13.246433333333332, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 12.978766666666669, 'xsmm_reference_best': 12.978766666666669, 'xsmm_reference_cpu_freq': 2.999929, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m3.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9276623967498222, 'speedup_best_over_ref': 0.9276623967498222, 'xsmm_custom_avg': 20.807066666666667, 'xsmm_custom_best': 20.807066666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 19.301933333333334, 'xsmm_reference_best': 19.301933333333334, 'xsmm_reference_cpu_freq': 2.999997, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.009259259259259259, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m6.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9446066621986344, 'speedup_best_over_ref': 0.9446066621986344, 'xsmm_custom_avg': 36.80466666666666, 'xsmm_custom_best': 36.80466666666666, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 34.76593333333334, 'xsmm_reference_best': 34.76593333333334, 'xsmm_reference_cpu_freq': 2.999957, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 648, 'a_nonzero': 3456, 'a_rows': 216, 'a_size': 139968, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.024691358024691357, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m132.txt', 'size_n': 33600, 'speedup_avg_over_ref': 0.9437263958039183, 'speedup_best_over_ref': 0.9437263958039183, 'xsmm_custom_avg': 47.19323333333333, 'xsmm_custom_best': 47.19323333333333, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 44.5375, 'xsmm_reference_best': 44.5375, 'xsmm_reference_cpu_freq': 2.99994, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 216, 'a_nonzero': 3456, 'a_rows': 648, 'a_size': 139968, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.024691358024691357, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m460.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0165341473925664, 'speedup_best_over_ref': 1.0165341473925664, 'xsmm_custom_avg': 38.82873333333334, 'xsmm_custom_best': 38.82873333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 39.47073333333333, 'xsmm_reference_best': 39.47073333333333, 'xsmm_reference_cpu_freq': 2.999922, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre/m0.txt', 'size_n': 33600, 'speedup_avg_over_ref': 1.0629738363491723, 'speedup_best_over_ref': 1.0629738363491723, 'xsmm_custom_avg': 18.813633333333332, 'xsmm_custom_best': 18.813633333333332, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 19.9984, 'xsmm_reference_best': 19.9984, 'xsmm_reference_cpu_freq': 2.999948, 'xsmm_reference_kernel_type': 'sparse'}
