{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 105600, 'speedup_avg_over_ref': 1.0336658493713542, 'speedup_best_over_ref': 1.0336658493713542, 'xsmm_custom_avg': 2.9773, 'xsmm_custom_best': 2.9773, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 3.0775333333333332, 'xsmm_reference_best': 3.0775333333333332, 'xsmm_reference_cpu_freq': 2.999952, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 105600, 'speedup_avg_over_ref': 1.0841337691727433, 'speedup_best_over_ref': 1.0841337691727433, 'xsmm_custom_avg': 1.3256666666666668, 'xsmm_custom_best': 1.3256666666666668, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.4372, 'xsmm_reference_best': 1.4372, 'xsmm_reference_cpu_freq': 2.999956, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 105600, 'speedup_avg_over_ref': 1.019795299784089, 'speedup_best_over_ref': 1.019795299784089, 'xsmm_custom_avg': 3.2112, 'xsmm_custom_best': 3.2112, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 3.2747666666666664, 'xsmm_reference_best': 3.2747666666666664, 'xsmm_reference_cpu_freq': 2.999949, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 105600, 'speedup_avg_over_ref': 1.081695655447633, 'speedup_best_over_ref': 1.081695655447633, 'xsmm_custom_avg': 1.3280999999999987, 'xsmm_custom_best': 1.3280999999999987, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 1.4365999999999999, 'xsmm_reference_best': 1.4365999999999999, 'xsmm_reference_cpu_freq': 2.999899, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 105600, 'speedup_avg_over_ref': 1.0324408811325636, 'speedup_best_over_ref': 1.0324408811325636, 'xsmm_custom_avg': 2.9643666666666664, 'xsmm_custom_best': 2.9643666666666664, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 3.0605333333333333, 'xsmm_reference_best': 3.0605333333333333, 'xsmm_reference_cpu_freq': 2.999961, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 105600, 'speedup_avg_over_ref': 1.0221837394465352, 'speedup_best_over_ref': 1.0221837394465352, 'xsmm_custom_avg': 6.794766666666665, 'xsmm_custom_best': 6.794766666666665, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 6.9455, 'xsmm_reference_best': 6.9455, 'xsmm_reference_cpu_freq': 2.999939, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.9196129785530399, 'speedup_best_over_ref': 0.9196129785530399, 'xsmm_custom_avg': 10.449033333333334, 'xsmm_custom_best': 10.449033333333334, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 9.609066666666667, 'xsmm_reference_best': 9.609066666666667, 'xsmm_reference_cpu_freq': 2.999944, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 105600, 'speedup_avg_over_ref': 0.9305102533977461, 'speedup_best_over_ref': 0.9305102533977461, 'xsmm_custom_avg': 16.483966666666667, 'xsmm_custom_best': 16.483966666666667, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 15.3385, 'xsmm_reference_best': 15.3385, 'xsmm_reference_cpu_freq': 2.999875, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 105600, 'speedup_avg_over_ref': 1.0531508219646513, 'speedup_best_over_ref': 1.0531508219646513, 'xsmm_custom_avg': 13.062199999999999, 'xsmm_custom_best': 13.062199999999999, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 13.756466666666666, 'xsmm_reference_best': 13.756466666666666, 'xsmm_reference_cpu_freq': 2.99995, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 105600, 'speedup_avg_over_ref': 1.0737937589926887, 'speedup_best_over_ref': 1.0737937589926887, 'xsmm_custom_avg': 10.239799999999999, 'xsmm_custom_best': 10.239799999999999, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 10.995433333333333, 'xsmm_reference_best': 10.995433333333333, 'xsmm_reference_cpu_freq': 2.999936, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 105600, 'speedup_avg_over_ref': 1.1179734295807096, 'speedup_best_over_ref': 1.1179734295807096, 'xsmm_custom_avg': 6.9450666666666665, 'xsmm_custom_best': 6.9450666666666665, 'xsmm_custom_kernel_type': 'dense', 'xsmm_reference_avg': 7.764399999999999, 'xsmm_reference_best': 7.764399999999999, 'xsmm_reference_cpu_freq': 2.99995, 'xsmm_reference_kernel_type': 'sparse'}
