{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999914, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 1800000, 'xsmm_reference_avg': 243.095, 'xsmm_reference_best': 243.095, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.99988, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 1500000, 'xsmm_reference_avg': 352.522, 'xsmm_reference_best': 352.522, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999957, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 402.638, 'xsmm_reference_best': 402.638, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999902, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 750000, 'xsmm_reference_avg': 419.97, 'xsmm_reference_best': 419.97, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999955, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 450000, 'xsmm_reference_avg': 478.88, 'xsmm_reference_best': 478.88, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999918, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 249984, 'xsmm_reference_avg': 564.636, 'xsmm_reference_best': 564.636, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999914, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 1800000, 'xsmm_reference_avg': 235.95799999999997, 'xsmm_reference_best': 235.95799999999997, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999855, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 1500000, 'xsmm_reference_avg': 353.469, 'xsmm_reference_best': 353.469, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999969, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 1124976, 'xsmm_reference_avg': 394.005, 'xsmm_reference_best': 394.005, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.99983, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 750000, 'xsmm_reference_avg': 425.22400000000005, 'xsmm_reference_best': 425.22400000000005, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999898, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 450000, 'xsmm_reference_avg': 435.11, 'xsmm_reference_best': 435.11, 'xsmm_reference_kernel_type': 'sparse'}
